path,sha256,bytes
mql/Experts/ExpectedValue_MultiCurrency_TickShockResearch.mq5,6A959AB6F45E4821AF4779848786BAD97E0DC12519B41A525D5FC3A11CB954C1,160624
mql/Include/TickShock/TickShockControlStudy.mqh,7B0DB9E2DB918076E84B77B2FBDE2FEE04913987ABCB4785CDBF2D2C6EEB4307,19812
mql/Include/TickShock/TickShockStatisticalDetector.mqh,E86ED51398E8A75D90A1DD3950D03AE2BE21DC72D2DBF13F0B8E668A41566F75,13086
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/compile.log,B939648366B41404611770C691CC508F6C8F90126BE88AD0A56176044B57F3ED,18506
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/control_candidates.csv,95B3BE0054B4E00275D49CAD73B3ACEE25CD6B69FEFD8C18D92A4355B6437B3C,9884
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/control_candidates.csv.runmeta,E2655027A591F3930E4FA44050269AE227A2981FD3218011DD6FCC6A08D5D2DE,2004
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/control_matches.csv,6C230F703C9FFFBCB18ECA79DAD92E691E6ECEAEA7576C30A8D86103A07059E1,3353
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/control_matches.csv.runmeta,0724D7546BC19A4CB3876833FE73FC33DC713D61C935C6D4CC1DFDB95860A854,1678
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/detector_features.csv,7EB254665C28C64819CA9851D02988FB6F4FF9D87DF89D4D386A35EB34F10B77,10881
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/detector_features.csv.runmeta,0FDA44C103420CD18CD66467A0FA114808E3EFD32B8BA4176F20774535466CD7,2328
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/events.csv,3F8F85063D7AE2094C1848E4F149A89AE871E007B345C42AEAC79B95E5403A5B,5150505
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/events.csv.runmeta,271073FF84A2DBE2D6904620A71DE51781E5109400A8FA3DA24D94222179E5B3,3420
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/executed_EA.ex5,246E93E654629D16399CFA4B90C3C7F5A8567938F34F26C072F35D12941DAD57,223396
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/run_command.txt,8071CDA40B5F8B4353C50510B1C6A49857525E2865879EE4CFDDB1D0AFA50F2C,126
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/strategy_funnel.csv,43A53E37456EC14090C6574DE38428BD8753CFC2F1C695DFF8D72B6FC3EC4640,7375
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/strategy_funnel.csv.runmeta,A0BD51BD5601811C28BBDFF4751C85304D574C1D5F578BD2D58E715F2E493709,2061
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/strict.set,3B9AFDAE7C3DD498B4032DE74476F90AD23BCBD191F73D95311AD245894DA74F,1656
reports/backtest/runs/20260827_ts15b_strict_v0_realizable_202503/summary.csv,A004E541979A9433E045C3C82B118337FBEAF044A15ABC6A2BA365EEE1755326,223979
