event_id,market_cluster_id,response_episode_id,server_time_msc,server_time,utc,jst,timezone_status,symbol,direction,severity,candidate_time_msc,confirmed_time_msc,cluster_breadth,partition
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,1742530690000,2025-03-21 04:18:10.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1742530689750,1742530690000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,1742530711000,2025-03-21 04:18:31.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P995,1742530710750,1742530711000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,1742530817750,2025-03-21 04:20:17.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1742530817500,1742530817750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,1742531793250,2025-03-21 04:36:33.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P995,1742531793000,1742531793250,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,1742531924500,2025-03-21 04:38:44.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1742531924250,1742531924500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742532777250_16920,7357,2194,1742532777250,2025-03-21 04:52:57.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,LONG,P995,1742532777000,1742532777250,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742532850500_16921,7358,2194,1742532850500,2025-03-21 04:54:10.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,LONG,P995,1742532850250,1742532850500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742532959000_16922,7359,2194,1742532959000,2025-03-21 04:55:59.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,LONG,P990,1742532958750,1742532959000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742533321500_16923,7360,2195,1742533321500,2025-03-21 05:02:01.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,SHORT,P990,1742533321250,1742533321500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415000_16924,7361,2195,1742533415000,2025-03-21 05:03:35.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1742533414750,1742533415000,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415250_16925,7361,2195,1742533415250,2025-03-21 05:03:35.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P995,1742533415000,1742533415250,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533595750_16926,7362,2196,1742533595750,2025-03-21 05:06:35.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1742533595500,1742533595750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742533621500_16927,7363,2196,1742533621500,2025-03-21 05:07:01.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P990,1742533621250,1742533621500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742534092750_16928,7364,2197,1742534092750,2025-03-21 05:14:52.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,LONG,P995,1742534092500,1742534092750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742534175250_16929,7365,2197,1742534175250,2025-03-21 05:16:15.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P995,1742534175000,1742534175250,3,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742534175500_16930,7365,2197,1742534175500,2025-03-21 05:16:15.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P990,1742534175250,1742534175500,3,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742534175250_16931,7365,2197,1742534175250,2025-03-21 05:16:15.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,LONG,P990,1742534175000,1742534175250,3,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742534537250_16932,7366,2198,1742534537250,2025-03-21 05:22:17.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P995,1742534537000,1742534537250,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742535497000_16933,7367,2199,1742535497000,2025-03-21 05:38:17.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,LONG,P990,1742535496750,1742535497000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742535913750_16934,7368,2200,1742535913750,2025-03-21 05:45:13.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P990,1742535913500,1742535913750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742536059750_16935,7369,2201,1742536059750,2025-03-21 05:47:39.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,SHORT,P995,1742536059500,1742536059750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742538541500_16936,7370,2202,1742538541500,2025-03-21 06:29:01.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1742538541250,1742538541500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742538640500_16937,7371,2202,1742538640500,2025-03-21 06:30:40.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,SHORT,P990,1742538640250,1742538640500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742538858250_16938,7372,2203,1742538858250,2025-03-21 06:34:18.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1742538858000,1742538858250,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742538891500_16939,7373,2203,1742538891500,2025-03-21 06:34:51.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P990,1742538891250,1742538891500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742540523000_16940,7374,2204,1742540523000,2025-03-21 07:02:03.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P995,1742540522750,1742540523000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742541460750_16941,7375,2205,1742541460750,2025-03-21 07:17:40.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P999,1742541460500,1742541460750,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1742541461000_16942,7375,2205,1742541461000,2025-03-21 07:17:41.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1742541460750,1742541461000,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742542431500_16943,7376,2206,1742542431500,2025-03-21 07:33:51.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P990,1742542431250,1742542431500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742543581750_16944,7377,2207,1742543581750,2025-03-21 07:53:01.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,SHORT,P995,1742543581500,1742543581750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742543726500_16945,7378,2208,1742543726500,2025-03-21 07:55:26.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,LONG,P990,1742543726250,1742543726500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742544002000_16946,7379,2209,1742544002000,2025-03-21 08:00:02.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P995,1742544001750,1742544002000,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w500_1742544002250_16947,7379,2209,1742544002250,2025-03-21 08:00:02.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P995,1742544002000,1742544002250,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742544652500_16948,7380,2210,1742544652500,2025-03-21 08:10:52.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P995,1742544652250,1742544652500,3,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w500_1742544652750_16949,7380,2210,1742544652750,2025-03-21 08:10:52.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P990,1742544652500,1742544652750,3,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742544652500_16950,7380,2210,1742544652500,2025-03-21 08:10:52.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,LONG,P990,1742544652250,1742544652500,3,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742544858750_16951,7381,2211,1742544858750,2025-03-21 08:14:18.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,GBPUSD,SHORT,P995,1742544858500,1742544858750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742545459500_16952,7382,2212,1742545459500,2025-03-21 08:24:19.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1742545459250,1742545459500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742545497250_16954,7384,2212,1742545497250,2025-03-21 08:24:57.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P999,1742545497000,1742545497250,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w500_1742545497500_16955,7384,2212,1742545497500,2025-03-21 08:24:57.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P990,1742545497250,1742545497500,2,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742545493000_16953,7383,2212,1742545493000,2025-03-21 08:24:53.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1742545492750,1742545493000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742545799250_16956,7385,2213,1742545799250,2025-03-21 08:29:59.250,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P995,1742545799000,1742545799250,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742546069000_16957,7386,2214,1742546069000,2025-03-21 08:34:29.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,LONG,P990,1742546068750,1742546069000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742546193000_16958,7387,2215,1742546193000,2025-03-21 08:36:33.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,SHORT,P990,1742546192750,1742546193000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742546331750_16959,7388,2216,1742546331750,2025-03-21 08:38:51.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,LONG,P995,1742546331500,1742546331750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742546349500_16960,7389,2216,1742546349500,2025-03-21 08:39:09.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,LONG,P995,1742546349250,1742546349500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742547362500_16961,7390,2217,1742547362500,2025-03-21 08:56:02.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P995,1742547362250,1742547362500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742547427000_16962,7391,2217,1742547427000,2025-03-21 08:57:07.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1742547426750,1742547427000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742547512000_16963,7392,2217,1742547512000,2025-03-21 08:58:32.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P990,1742547511750,1742547512000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742547679500_16964,7393,2218,1742547679500,2025-03-21 09:01:19.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1742547679250,1742547679500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742547801000_16965,7394,2219,1742547801000,2025-03-21 09:03:21.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,LONG,P995,1742547800750,1742547801000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742547883500_16966,7395,2219,1742547883500,2025-03-21 09:04:43.500,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P990,1742547883250,1742547883500,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742548007000_16967,7396,2220,1742548007000,2025-03-21 09:06:47.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDCAD,SHORT,P995,1742548006750,1742548007000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742548999000_16968,7397,2221,1742548999000,2025-03-21 09:23:19.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P995,1742548998750,1742548999000,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742549165750_16969,7398,2222,1742549165750,2025-03-21 09:26:05.750,,,TIMEZONE_MAPPING_NOT_VERIFIED,AUDUSD,SHORT,P990,1742549165500,1742549165750,1,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742549184000_16970,7399,2222,1742549184000,2025-03-21 09:26:24.000,,,TIMEZONE_MAPPING_NOT_VERIFIED,USDJPY,LONG,P995,1742549183750,1742549184000,2,INTERNAL_CONFIRMATION
