response_episode_id,start_msc,end_confirmed_msc,market_clusters,representative_events,window_end_msc,partition
2191,1742530690000,1742530817750,3,3,1742530937750,INTERNAL_CONFIRMATION
2192,1742531793250,1742531793250,1,1,1742531913250,INTERNAL_CONFIRMATION
2193,1742531924500,1742531924500,1,1,1742532044500,INTERNAL_CONFIRMATION
2194,1742532777250,1742532959000,3,3,1742533079000,INTERNAL_CONFIRMATION
2195,1742533321500,1742533415000,2,2,1742533535000,INTERNAL_CONFIRMATION
2196,1742533595750,1742533621500,2,2,1742533741500,INTERNAL_CONFIRMATION
2197,1742534092750,1742534175250,2,2,1742534295250,INTERNAL_CONFIRMATION
2198,1742534537250,1742534537250,1,1,1742534657250,INTERNAL_CONFIRMATION
2199,1742535497000,1742535497000,1,1,1742535617000,INTERNAL_CONFIRMATION
2200,1742535913750,1742535913750,1,1,1742536033750,INTERNAL_CONFIRMATION
2201,1742536059750,1742536059750,1,1,1742536179750,INTERNAL_CONFIRMATION
2202,1742538541500,1742538640500,2,2,1742538760500,INTERNAL_CONFIRMATION
2203,1742538858250,1742538891500,2,2,1742539011500,INTERNAL_CONFIRMATION
2204,1742540523000,1742540523000,1,1,1742540643000,INTERNAL_CONFIRMATION
2205,1742541460750,1742541460750,1,1,1742541580750,INTERNAL_CONFIRMATION
2206,1742542431500,1742542431500,1,1,1742542551500,INTERNAL_CONFIRMATION
2207,1742543581750,1742543581750,1,1,1742543701750,INTERNAL_CONFIRMATION
2208,1742543726500,1742543726500,1,1,1742543846500,INTERNAL_CONFIRMATION
2209,1742544002000,1742544002000,1,1,1742544122000,INTERNAL_CONFIRMATION
2210,1742544652500,1742544652500,1,1,1742544772500,INTERNAL_CONFIRMATION
2211,1742544858750,1742544858750,1,1,1742544978750,INTERNAL_CONFIRMATION
2212,1742545459500,1742545497250,3,3,1742545617250,INTERNAL_CONFIRMATION
2213,1742545799250,1742545799250,1,1,1742545919250,INTERNAL_CONFIRMATION
2214,1742546069000,1742546069000,1,1,1742546189000,INTERNAL_CONFIRMATION
2215,1742546193000,1742546193000,1,1,1742546313000,INTERNAL_CONFIRMATION
2216,1742546331750,1742546349500,2,2,1742546469500,INTERNAL_CONFIRMATION
2217,1742547362500,1742547512000,3,3,1742547632000,INTERNAL_CONFIRMATION
2218,1742547679500,1742547679500,1,1,1742547799500,INTERNAL_CONFIRMATION
2219,1742547801000,1742547883500,2,2,1742548003500,INTERNAL_CONFIRMATION
2220,1742548007000,1742548007000,1,1,1742548127000,INTERNAL_CONFIRMATION
2221,1742548999000,1742548999000,1,1,1742549119000,INTERNAL_CONFIRMATION
2222,1742549165750,1742549294750,3,3,1742549414750,INTERNAL_CONFIRMATION
2223,1742549481500,1742549566500,2,2,1742549686500,INTERNAL_CONFIRMATION
2224,1742549851750,1742549851750,1,1,1742549971750,INTERNAL_CONFIRMATION
2225,1742550310250,1742550310250,1,1,1742550430250,INTERNAL_CONFIRMATION
2226,1742551201250,1742551245000,2,2,1742551365000,INTERNAL_CONFIRMATION
2227,1742551524750,1742551552250,2,2,1742551672250,INTERNAL_CONFIRMATION
2228,1742552101000,1742552162750,2,2,1742552282750,INTERNAL_CONFIRMATION
2229,1742552306500,1742552433500,4,4,1742552553500,INTERNAL_CONFIRMATION
2230,1742552772500,1742552886250,2,2,1742553006250,INTERNAL_CONFIRMATION
2231,1742553019000,1742553019000,1,1,1742553139000,INTERNAL_CONFIRMATION
2232,1742553194250,1742553273500,2,2,1742553393500,INTERNAL_CONFIRMATION
2233,1742553601500,1742553626500,2,2,1742553746500,INTERNAL_CONFIRMATION
2234,1742553816750,1742553889750,3,3,1742554009750,INTERNAL_CONFIRMATION
2235,1742554138000,1742554523500,7,7,1742554643500,INTERNAL_CONFIRMATION
2236,1742554737500,1742554737500,1,1,1742554857500,INTERNAL_CONFIRMATION
2237,1742555255500,1742555583250,6,6,1742555703250,INTERNAL_CONFIRMATION
2238,1742555719750,1742555827000,2,2,1742555947000,INTERNAL_CONFIRMATION
2239,1742556041000,1742556041000,1,1,1742556161000,INTERNAL_CONFIRMATION
2240,1742556338500,1742556481250,4,4,1742556601250,INTERNAL_CONFIRMATION
2241,1742556680500,1742556741250,2,2,1742556861250,INTERNAL_CONFIRMATION
2242,1742557172250,1742557172250,1,1,1742557292250,INTERNAL_CONFIRMATION
2243,1742557506750,1742557506750,1,1,1742557626750,INTERNAL_CONFIRMATION
2244,1742557711000,1742557711000,1,1,1742557831000,INTERNAL_CONFIRMATION
2245,1742558286500,1742558344000,2,2,1742558464000,INTERNAL_CONFIRMATION
2246,1742558565500,1742558565500,1,1,1742558685500,INTERNAL_CONFIRMATION
2247,1742559254500,1742559254500,1,1,1742559374500,INTERNAL_CONFIRMATION
2248,1742560536750,1742560536750,1,1,1742560656750,INTERNAL_CONFIRMATION
2249,1742561403250,1742561403250,1,1,1742561523250,INTERNAL_CONFIRMATION
2250,1742561729500,1742561729500,1,1,1742561849500,INTERNAL_CONFIRMATION
2251,1742562012500,1742562012500,1,1,1742562132500,INTERNAL_CONFIRMATION
2252,1742562358250,1742562358250,1,1,1742562478250,INTERNAL_CONFIRMATION
2253,1742562487000,1742562487000,1,1,1742562607000,INTERNAL_CONFIRMATION
2254,1742564620500,1742564620500,1,1,1742564740500,INTERNAL_CONFIRMATION
2255,1742564894750,1742564894750,1,1,1742565014750,INTERNAL_CONFIRMATION
2256,1742565309250,1742565309250,1,1,1742565429250,INTERNAL_CONFIRMATION
2257,1742565716250,1742565716250,1,1,1742565836250,INTERNAL_CONFIRMATION
2258,1742566042750,1742566054250,2,2,1742566174250,INTERNAL_CONFIRMATION
2259,1742566488500,1742566501250,2,2,1742566621250,INTERNAL_CONFIRMATION
2260,1742566740250,1742566845000,2,2,1742566965000,INTERNAL_CONFIRMATION
2261,1742567216000,1742567216000,1,1,1742567336000,INTERNAL_CONFIRMATION
2262,1742567579500,1742567753750,4,4,1742567873750,INTERNAL_CONFIRMATION
2263,1742568700250,1742568700250,1,1,1742568820250,INTERNAL_CONFIRMATION
2264,1742569393500,1742569393500,1,1,1742569513500,INTERNAL_CONFIRMATION
2265,1742569897250,1742569897250,1,1,1742570017250,INTERNAL_CONFIRMATION
2266,1742571002000,1742571072500,4,4,1742571192500,INTERNAL_CONFIRMATION
2267,1742571201750,1742571201750,1,1,1742571321750,INTERNAL_CONFIRMATION
2268,1742571640750,1742571656500,3,3,1742571776500,INTERNAL_CONFIRMATION
2269,1742571909750,1742571909750,1,1,1742572029750,INTERNAL_CONFIRMATION
2270,1742572070000,1742572185500,3,3,1742572305500,INTERNAL_CONFIRMATION
2271,1742572535000,1742572654000,2,2,1742572774000,INTERNAL_CONFIRMATION
2272,1742572915500,1742573021250,4,4,1742573141250,INTERNAL_CONFIRMATION
2273,1742573495000,1742573555250,2,2,1742573675250,INTERNAL_CONFIRMATION
2274,1742573841750,1742573841750,1,1,1742573961750,INTERNAL_CONFIRMATION
2275,1742574017000,1742574194500,5,5,1742574314500,INTERNAL_CONFIRMATION
2276,1742574602500,1742574631000,3,3,1742574751000,INTERNAL_CONFIRMATION
2277,1742574834250,1742574950500,3,3,1742575070500,INTERNAL_CONFIRMATION
2278,1742575199750,1742575218500,2,2,1742575338500,INTERNAL_CONFIRMATION
2279,1742575365250,1742575437000,4,4,1742575557000,INTERNAL_CONFIRMATION
2280,1742575590000,1742575590000,1,1,1742575710000,INTERNAL_CONFIRMATION
2281,1742575827250,1742575827250,1,1,1742575947250,INTERNAL_CONFIRMATION
2282,1742576412750,1742576495000,2,2,1742576615000,INTERNAL_CONFIRMATION
2283,1742577057500,1742577127000,2,2,1742577247000,INTERNAL_CONFIRMATION
2284,1742577475750,1742577475750,1,1,1742577595750,INTERNAL_CONFIRMATION
2285,1742577849500,1742577849500,1,1,1742577969500,INTERNAL_CONFIRMATION
2286,1742578253750,1742578352250,3,3,1742578472250,INTERNAL_CONFIRMATION
2287,1742578825250,1742578825250,1,1,1742578945250,INTERNAL_CONFIRMATION
2288,1742578952000,1742578952000,1,1,1742579072000,INTERNAL_CONFIRMATION
2289,1742579425500,1742579425500,1,1,1742579545500,INTERNAL_CONFIRMATION
2290,1742579623250,1742579623250,1,1,1742579743250,INTERNAL_CONFIRMATION
2291,1742579760000,1742579760000,1,1,1742579880000,INTERNAL_CONFIRMATION
2292,1742580032250,1742580060750,3,3,1742580180750,INTERNAL_CONFIRMATION
2293,1742580288250,1742580288250,1,1,1742580408250,INTERNAL_CONFIRMATION
2294,1742580523000,1742580523000,1,1,1742580643000,INTERNAL_CONFIRMATION
2295,1742580867750,1742580867750,1,1,1742580987750,INTERNAL_CONFIRMATION
2296,1742582820750,1742582820750,1,1,1742582940750,INTERNAL_CONFIRMATION
2297,1742583148250,1742583392000,12,12,1742583512000,INTERNAL_CONFIRMATION
2298,1742583536250,1742583536250,1,1,1742583656250,INTERNAL_CONFIRMATION
2299,1742583700000,1742584116500,19,19,1742584236500,INTERNAL_CONFIRMATION
2300,1742584272500,1742584400250,3,3,1742584520250,INTERNAL_CONFIRMATION
2301,1742584561250,1742584624500,3,3,1742584744500,INTERNAL_CONFIRMATION
2302,1742584759000,1742584762250,2,2,1742584882250,INTERNAL_CONFIRMATION
2303,1742584987750,1742584987750,1,1,1742585107750,INTERNAL_CONFIRMATION
2304,1742585403750,1742585403750,1,1,1742585523750,INTERNAL_CONFIRMATION
2305,1742586475750,1742586584000,4,4,1742586704000,INTERNAL_CONFIRMATION
2306,1742586708500,1742586708500,1,1,1742586828500,INTERNAL_CONFIRMATION
2307,1742587339750,1742587339750,1,1,1742587459750,INTERNAL_CONFIRMATION
2308,1742589460250,1742589460250,1,1,1742589580250,INTERNAL_CONFIRMATION
2309,1742589819500,1742589819500,1,1,1742589939500,INTERNAL_CONFIRMATION
2310,1742589961250,1742589969000,2,2,1742590089000,INTERNAL_CONFIRMATION
2311,1742591051750,1742591055000,2,2,1742591175000,INTERNAL_CONFIRMATION
2312,1742592018250,1742592018250,1,1,1742592138250,INTERNAL_CONFIRMATION
2313,1742592251250,1742592251250,1,1,1742592371250,INTERNAL_CONFIRMATION
2314,1742593253000,1742593253000,1,1,1742593373000,INTERNAL_CONFIRMATION
2315,1742596681500,1742596681500,1,1,1742596801500,INTERNAL_CONFIRMATION
2316,1742598001250,1742598067000,2,2,1742598187000,INTERNAL_CONFIRMATION
