gate_a,gate_b,both_pass,both_fail,a_pass_b_fail
statistical_shock,statistical_shock,4885,0,0
statistical_shock,direction_available,4885,0,0
statistical_shock,directional_burst,3822,0,1063
statistical_shock,activity_elevated,850,0,4035
statistical_shock,liquidity_normal,4724,0,161
statistical_shock,cost_feasible,4,0,4881
statistical_shock,efficiency_gate,3822,0,1063
statistical_shock,persistence_gate,4885,0,0
direction_available,statistical_shock,4885,0,0
direction_available,direction_available,4885,0,0
direction_available,directional_burst,3822,0,1063
direction_available,activity_elevated,850,0,4035
direction_available,liquidity_normal,4724,0,161
direction_available,cost_feasible,4,0,4881
direction_available,efficiency_gate,3822,0,1063
direction_available,persistence_gate,4885,0,0
directional_burst,statistical_shock,3822,0,0
directional_burst,direction_available,3822,0,0
directional_burst,directional_burst,3822,1063,0
directional_burst,activity_elevated,556,769,3266
directional_burst,liquidity_normal,3707,46,115
directional_burst,cost_feasible,4,1063,3818
directional_burst,efficiency_gate,3822,1063,0
directional_burst,persistence_gate,3822,0,0
activity_elevated,statistical_shock,850,0,0
activity_elevated,direction_available,850,0,0
activity_elevated,directional_burst,556,769,294
activity_elevated,activity_elevated,850,4035,0
activity_elevated,liquidity_normal,799,110,51
activity_elevated,cost_feasible,3,4034,847
activity_elevated,efficiency_gate,556,769,294
activity_elevated,persistence_gate,850,0,0
liquidity_normal,statistical_shock,4724,0,0
liquidity_normal,direction_available,4724,0,0
liquidity_normal,directional_burst,3707,46,1017
liquidity_normal,activity_elevated,799,110,3925
liquidity_normal,liquidity_normal,4724,161,0
liquidity_normal,cost_feasible,4,161,4720
liquidity_normal,efficiency_gate,3707,46,1017
liquidity_normal,persistence_gate,4724,0,0
cost_feasible,statistical_shock,4,0,0
cost_feasible,direction_available,4,0,0
cost_feasible,directional_burst,4,1063,0
cost_feasible,activity_elevated,3,4034,1
cost_feasible,liquidity_normal,4,161,0
cost_feasible,cost_feasible,4,4881,0
cost_feasible,efficiency_gate,4,1063,0
cost_feasible,persistence_gate,4,0,0
efficiency_gate,statistical_shock,3822,0,0
efficiency_gate,direction_available,3822,0,0
efficiency_gate,directional_burst,3822,1063,0
efficiency_gate,activity_elevated,556,769,3266
efficiency_gate,liquidity_normal,3707,46,115
efficiency_gate,cost_feasible,4,1063,3818
efficiency_gate,efficiency_gate,3822,1063,0
efficiency_gate,persistence_gate,3822,0,0
persistence_gate,statistical_shock,4885,0,0
persistence_gate,direction_available,4885,0,0
persistence_gate,directional_burst,3822,0,1063
persistence_gate,activity_elevated,850,0,4035
persistence_gate,liquidity_normal,4724,0,161
persistence_gate,cost_feasible,4,0,4881
persistence_gate,efficiency_gate,3822,0,1063
persistence_gate,persistence_gate,4885,0,0
