event_id,market_cluster_id,response_episode_id,barrier_local_sigma,result,continuation_hit_msc,reversal_hit_msc,partition
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,0.5,CONTINUATION_FIRST,1742530692418.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,1.0,CONTINUATION_FIRST,1742530692418.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,2.0,CONTINUATION_FIRST,1742530695759.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,0.5,REVERSAL_FIRST,,1742530711289.0,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,1.0,REVERSAL_FIRST,,1742530713052.0,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,2.0,REVERSAL_FIRST,,1742530714065.0,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,0.5,CONTINUATION_FIRST,1742530818040.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,1.0,CONTINUATION_FIRST,1742530818249.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,2.0,CONTINUATION_FIRST,1742530818476.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,0.5,REVERSAL_FIRST,,1742531793880.0,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,1.0,REVERSAL_FIRST,,1742531793880.0,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,2.0,REVERSAL_FIRST,,1742531794559.0,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,0.5,CONTINUATION_FIRST,1742531926924.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,1.0,CONTINUATION_FIRST,1742531926924.0,,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,2.0,CONTINUATION_FIRST,1742531931231.0,,INTERNAL_CONFIRMATION
