event_id,market_cluster_id,response_episode_id,symbol,partition,common_strategy_eligible,detection_continuation_reachable,post_burst_continuation_reachable,pullback_continuation_reachable,failed_shock_reversal_reachable,detection_entry_msc,post_burst_entry_msc,pullback_entry_msc,reversal_entry_msc,record_status
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742530690475,1742530691170.0,,1742530691170.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742530711087,1742530711741.0,,1742530714737.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742530817828,1742530820134.0,,1742530828109.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742531793646,1742531795852.0,,1742531795852.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,USDJPY,INTERNAL_CONFIRMATION,False,True,True,True,False,1742531924936,1742531929016.0,1742531930959.0,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742532777250_16920,7357,2194,GBPUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742532777931,1742532780052.0,,1742532781969.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742532850500_16921,7358,2194,USDCAD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742532850533,1742532855838.0,,1742532855838.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742532959000_16922,7359,2194,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742532959035,1742532961061.0,,1742532963191.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742533321500_16923,7360,2195,GBPUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742533321575,1742533325114.0,,1742533325390.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415000_16924,7361,2195,USDJPY,INTERNAL_CONFIRMATION,False,True,True,True,False,1742533415356,1742533417839.0,1742533428531.0,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415250_16925,7361,2195,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,False,1742533415356,1742533428531.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533595750_16926,7362,2196,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742533595956,1742533597207.0,,1742533597207.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742533621500_16927,7363,2196,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742533621999,1742533622338.0,,1742533626271.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742534092750_16928,7364,2197,GBPUSD,INTERNAL_CONFIRMATION,False,True,True,False,False,1742534092793,1742534100156.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742534175250_16929,7365,2197,USDCAD,INTERNAL_CONFIRMATION,False,True,True,False,False,1742534175312,1742534177760.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742534175500_16930,7365,2197,USDCAD,INTERNAL_CONFIRMATION,False,True,True,False,False,1742534175550,1742534179208.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742534175250_16931,7365,2197,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742534177669,1742534181700.0,,1742534181700.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742534537250_16932,7366,2198,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742534538160,1742534538423.0,,1742534539130.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742535497000_16933,7367,2199,USDCAD,INTERNAL_CONFIRMATION,False,True,True,True,False,1742535497069,1742535501033.0,1742535505573.0,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742535913750_16934,7368,2200,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742535914427,1742535921598.0,,1742535921598.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742536059750_16935,7369,2201,GBPUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742536060392,1742536060622.0,,1742536063287.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742538541500_16936,7370,2202,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742538545413,1742538550371.0,,1742538550766.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742538640500_16937,7371,2202,GBPUSD,INTERNAL_CONFIRMATION,False,True,True,False,False,1742538640760,1742538644986.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742538858250_16938,7372,2203,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742538858380,1742538863530.0,,1742538863530.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742538891500_16939,7373,2203,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,False,1742538894973,1742538897107.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742540523000_16940,7374,2204,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,False,1742540525064,1742540527810.0,,,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742541460750_16941,7375,2205,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742541460935,1742541465248.0,,1742541465248.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w500_1742541461000_16942,7375,2205,USDJPY,INTERNAL_CONFIRMATION,False,True,True,False,True,1742541461143,1742541465248.0,,1742541465248.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742542431500_16943,7376,2206,USDCAD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742542440326,1742542446350.0,,1742542450587.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742543581750_16944,7377,2207,GBPUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742543582470,1742543588792.0,,1742543588792.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742543726500_16945,7378,2208,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742543728342,1742543731488.0,,1742543731488.0,COMPLETE_120S
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742544002000_16946,7379,2209,AUDUSD,INTERNAL_CONFIRMATION,False,True,True,False,True,1742544002078,1742544002944.0,,1742544003801.0,COMPLETE_120S
