event_id,market_cluster_id,response_episode_id,symbol,server_hour,horizon_ms,status,tick_msc,quote_msc,target_lag_ms,quote_age_ms,bid,ask,mid,raw_log_return,continuation_return,absolute_return,spread,partition
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,USDJPY,4,250,VALID,1742530690714,1742530690714,464,0,149.139,149.155,149.147,6.704817e-06,6.704817e-06,6.704817e-06,0.016,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,USDJPY,4,250,VALID,1742530711289,1742530711289,39,0,149.134,149.152,149.143,2.6820257e-05,-2.6820257e-05,2.6820257e-05,0.018,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,USDJPY,4,250,VALID,1742530818040,1742530818040,40,0,149.133,149.15,149.1415,-1.3409994e-05,1.3409994e-05,1.3409994e-05,0.017,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,AUDUSD,4,250,VALID,1742531793880,1742531793880,380,0,0.63019,0.63042,0.630305,3.1731174e-05,-3.1731174e-05,3.1731174e-05,0.00023,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,USDJPY,4,250,VALID,1742531925245,1742531925245,495,0,149.106,149.122,149.114,-6.706256e-06,6.706256e-06,6.706256e-06,0.016,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742532777250_16920,7357,2194,GBPUSD,4,250,STALE,1742532779272,1742532779272,1772,0,1.29649,1.29669,1.29659,1.5425196e-05,1.5425196e-05,1.5425196e-05,0.0002,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742532850500_16921,7358,2194,USDCAD,4,250,VALID,1742532850763,1742532850763,13,0,1.43152,1.43178,1.43165,-3.1431769e-05,-3.1431769e-05,3.1431769e-05,0.00026,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742532959000_16922,7359,2194,AUDUSD,4,250,VALID,1742532960179,1742532960179,929,0,0.62979,0.63002,0.629905,-7.937673e-06,-7.937673e-06,7.937673e-06,0.00023,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742533321500_16923,7360,2195,GBPUSD,5,250,VALID,1742533322080,1742533322080,330,0,1.29647,1.29667,1.29657,-7.712627e-06,7.712627e-06,7.712627e-06,0.0002,INTERNAL_CONFIRMATION
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415000_16924,7361,2195,USDJPY,5,250,VALID,1742533415564,1742533415564,314,0,149.002,149.018,149.01,-6.710936e-06,6.710936e-06,6.710936e-06,0.016,INTERNAL_CONFIRMATION
