event_id,market_cluster_id,response_episode_id,symbol,direction,partition,mfe,mae,time_to_mfe_ms,time_to_mae_ms,origin_recross_msc,initial_shock_size,local_sigma_response,reference_mid,validation_status
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530690000_16915,7352,2191,USDJPY,LONG,INTERNAL_CONFIRMATION,0.0285,0.007,111900,21087,1742530690714.0,0.002,1.4865152e-05,149.146,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w1000_1742530711000_16916,7353,2191,USDJPY,SHORT,INTERNAL_CONFIRMATION,0.004,0.0355,112726,90900,1742530716305.0,0.024,4.9528181e-05,149.139,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742530817750_16917,7354,2191,USDJPY,SHORT,INTERNAL_CONFIRMATION,0.0085,0.0085,5976,112189,1742530831923.0,0.007,1.486273e-05,149.1435,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742531793250_16918,7355,2192,AUDUSD,SHORT,INTERNAL_CONFIRMATION,0.0,0.00011,0,118850,1742531793880.0,5e-06,2.012275e-05,0.630285,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742531924500_16919,7356,2193,USDJPY,SHORT,INTERNAL_CONFIRMATION,0.0475,0.001,105381,24595,,0.0045,1.4875523e-05,149.115,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742532777250_16920,7357,2194,GBPUSD,LONG,INTERNAL_CONFIRMATION,4e-05,7e-05,17604,72581,1742532780632.0,0.0,1.6466422e-05,1.29657,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742532850500_16921,7358,2194,USDCAD,LONG,INTERNAL_CONFIRMATION,4.5e-05,7.5e-05,77427,4444,1742532850763.0,5e-06,1.7807419e-05,1.431695,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742532959000_16922,7359,2194,AUDUSD,LONG,INTERNAL_CONFIRMATION,2.5e-05,5e-05,21430,67049,1742532959237.0,0.0,2.0120436e-05,0.62991,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742533321500_16923,7360,2195,GBPUSD,SHORT,INTERNAL_CONFIRMATION,0.0002,1e-05,33116,3614,1742533322080.0,4e-05,1.6461311e-05,1.29658,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415000_16924,7361,2195,USDJPY,SHORT,INTERNAL_CONFIRMATION,0.0155,0.004,24473,103471,,0.012,1.4872925e-05,149.011,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533415250_16925,7361,2195,USDJPY,SHORT,INTERNAL_CONFIRMATION,0.0155,0.004,24223,103221,1742533415564.0,0.001,1.4872904e-05,149.011,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742533595750_16926,7362,2196,USDJPY,SHORT,INTERNAL_CONFIRMATION,0.018,0.011,52651,15756,1742533607894.0,0.004,1.4869468e-05,148.9665,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742533621500_16927,7363,2196,AUDUSD,SHORT,INTERNAL_CONFIRMATION,0.000165,1e-05,98194,4771,1742533622338.0,1e-05,2.0120174e-05,0.63007,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742534092750_16928,7364,2197,GBPUSD,LONG,INTERNAL_CONFIRMATION,4e-05,0.00017,8084,65141,1742534119609.0,1e-05,1.6463273e-05,1.29658,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742534175250_16929,7365,2197,USDCAD,SHORT,INTERNAL_CONFIRMATION,5e-05,7e-05,33169,68697,1742534243947.0,5.5e-05,1.7820828e-05,1.431655,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742534175500_16930,7365,2197,USDCAD,SHORT,INTERNAL_CONFIRMATION,4.5e-05,7.5e-05,32919,68447,1742534177760.0,0.0,1.7820828e-05,1.43165,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742534175250_16931,7365,2197,AUDUSD,LONG,INTERNAL_CONFIRMATION,7.5e-05,2.5e-05,33411,3881,1742534179131.0,2.5e-05,2.0124998e-05,0.629955,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742534537250_16932,7366,2198,AUDUSD,SHORT,INTERNAL_CONFIRMATION,0.00012,5e-05,122749,22341,1742534538423.0,4.5e-05,2.0123308e-05,0.629625,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDCAD_TAIL_V1_PERSISTENT_stat_w250_1742535497000_16933,7367,2199,USDCAD,LONG,INTERNAL_CONFIRMATION,3.5e-05,0.00013,8573,87908,1742535519272.0,1e-05,1.7818393e-05,1.431925,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_AUDUSD_TAIL_V1_PERSISTENT_stat_w250_1742535913750_16934,7368,2200,AUDUSD,SHORT,INTERNAL_CONFIRMATION,0.0,0.000215,0,52112,1742535914979.0,2e-05,2.0121607e-05,0.629455,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742536059750_16935,7369,2201,GBPUSD,SHORT,INTERNAL_CONFIRMATION,0.00014,8e-05,5315,125551,1742536060622.0,2e-05,1.6461575e-05,1.29582,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742538541500_16936,7370,2202,USDJPY,LONG,INTERNAL_CONFIRMATION,0.0035,0.0155,5444,90827,1742538550371.0,0.0005,1.4864175e-05,149.067,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_GBPUSD_TAIL_V1_PERSISTENT_stat_w250_1742538640500_16937,7371,2202,GBPUSD,SHORT,INTERNAL_CONFIRMATION,0.00011,0.00012,6749,13668,1742538652262.0,4e-05,1.6457918e-05,1.29518,VALID
ts15c_tail_v1_persistent_response_202503_r5_20260828_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1742538858250_16938,7372,2203,USDJPY,LONG,INTERNAL_CONFIRMATION,0.009,0.011,99612,90847,1742538858623.0,0.0005,1.486543e-05,149.1095,VALID
