symbol,market_clusters,episodes,mean_continuation_10s
AUDUSD,364,254,9.997376994505494e-06
EURUSD,154,101,-1.390170062987013e-05
GBPUSD,418,250,2.0159798397129185e-06
USDCAD,887,486,1.1765452160090192e-05
USDCHF,122,84,-5.598434098360656e-06
USDJPY,949,548,2.0277398946259217e-07
