symbol,server_hour,horizon_ms,events,valid,mean_continuation,median_continuation,mean_absolute,mean_spread
AUDUSD,0,250,7,7,3.5155893285714283e-05,2.3815478e-05,4.197693928571429e-05,0.0005685714285714286
AUDUSD,0,500,7,7,3.5155893285714283e-05,2.3815478e-05,4.197693928571429e-05,0.0005685714285714286
AUDUSD,0,1000,7,7,3.175729742857143e-05,2.3815478e-05,3.857834342857143e-05,0.0005728571428571429
AUDUSD,0,2000,7,7,-2.2580600000000006e-06,1.5887138e-05,2.9488394e-05,0.00053
AUDUSD,0,3000,7,7,-2.155395842857143e-05,1.587667e-05,4.4238176714285714e-05,0.0005342857142857144
AUDUSD,0,5000,7,7,-1.3607170142857143e-05,1.587667e-05,3.8561006428571426e-05,0.0005328571428571429
AUDUSD,0,10000,7,7,1.021987914285714e-05,1.5911405e-05,2.1549340571428572e-05,0.0005485714285714285
AUDUSD,0,15000,7,7,9.986954614285714e-05,7.1448135e-05,0.0001044012767142857,0.0005557142857142858
AUDUSD,0,30000,7,7,0.00011575629914285713,0.000142901374,0.00017246811828571426,0.00049
AUDUSD,0,60000,7,7,0.00014978731642857144,0.000206416374,0.0002541976135714286,0.0005471428571428572
AUDUSD,0,120000,7,7,0.0006297977004285715,0.000548252162,0.000725248075,0.0006685714285714286
AUDUSD,1,250,20,20,-5.1638366e-06,-1.5898196e-05,2.02856847e-05,0.0002595
AUDUSD,1,500,20,20,-7.151415e-06,-1.5898196e-05,2.06849026e-05,0.00026
AUDUSD,1,1000,20,20,-1.312367865e-05,-7.9587115e-06,2.6643059250000003e-05,0.0002615
AUDUSD,1,2000,20,20,-8.75401955e-06,-1.5885244999999998e-05,3.1015869950000004e-05,0.000264
AUDUSD,1,3000,20,20,-1.788845035e-05,-1.9880749999999998e-05,3.5404177349999997e-05,0.0002595
AUDUSD,1,5000,20,20,-1.0703948100000002e-05,-1.19151165e-05,6.96324218e-05,0.0002615
AUDUSD,1,10000,20,20,-2.9355285749999996e-05,-2.7857176000000003e-05,9.944037215e-05,0.000259
AUDUSD,1,15000,20,20,4.868587850000002e-06,-3.98281e-06,0.00010501120235000001,0.00026199999999999997
AUDUSD,1,30000,20,20,1.92287272e-05,1.1895557e-05,0.00017349371789999999,0.000254
AUDUSD,1,60000,20,20,3.366364230000001e-05,-1.58800815e-05,0.00027456157080000003,0.00025100000000000003
AUDUSD,1,120000,20,20,9.052935879999999e-05,3.5877808999999995e-05,0.0003648432432,0.00024650000000000003
AUDUSD,2,250,15,15,6.369990600000001e-06,7.961308e-06,2.54995806e-05,0.00022133333333333334
AUDUSD,2,500,15,15,3.1815453333333333e-06,7.961308e-06,2.6561684e-05,0.00022133333333333334
AUDUSD,2,1000,15,15,1.9122584533333335e-05,0.0,3.18760976e-05,0.00022133333333333334
AUDUSD,2,2000,15,15,1.0611498866666669e-05,1.5878183e-05,6.80139886e-05,0.00022
AUDUSD,2,3000,15,15,3.1742673333333356e-06,2.3871761e-05,7.75816312e-05,0.00022133333333333334
AUDUSD,2,5000,15,15,5.7919542266666675e-05,3.1756113e-05,7.7040054e-05,0.00022066666666666667
AUDUSD,2,10000,15,15,6.856528873333334e-05,3.1881147e-05,0.00011105618886666667,0.00022066666666666667
AUDUSD,2,15000,15,15,3.7212447333333308e-06,4.7821339e-05,0.00018332726606666667,0.00022066666666666667
AUDUSD,2,30000,15,15,-5.1042448266666676e-05,0.0,0.00019022894973333334,0.00021866666666666665
AUDUSD,2,60000,15,15,-4.520483406666666e-05,3.1756113e-05,0.00029490509566666663,0.00022066666666666667
AUDUSD,2,120000,15,15,-0.00015948795826666666,5.5572536e-05,0.000313453678,0.00021066666666666667
AUDUSD,3,250,27,27,1.4992985333333332e-05,7.963908e-06,3.7924503629629636e-05,0.00023333333333333333
AUDUSD,3,500,27,27,1.2054909555555554e-05,7.963908e-06,3.6748317481481474e-05,0.0002311111111111111
AUDUSD,3,1000,27,27,2.4109894407407406e-05,1.5875914e-05,4.9979403814814815e-05,0.00023296296296296297
AUDUSD,3,2000,27,27,5.497568244444444e-05,1.5919004e-05,7.673111851851852e-05,0.00023925925925925926
AUDUSD,3,3000,27,27,6.994953777777777e-05,3.1733439e-05,9.877783481481482e-05,0.00023518518518518517
AUDUSD,3,5000,27,27,4.4949033407407414e-05,0.0,0.00012142462866666667,0.00022740740740740742
AUDUSD,3,10000,27,27,-3.3823242074074075e-05,-5.5516121e-05,0.00012847175259259259,0.00022370370370370372
AUDUSD,3,15000,27,27,-0.00014018928118518517,-5.5516121e-05,0.00026364254259259257,0.00022962962962962962
AUDUSD,3,30000,27,27,-9.937518533333333e-05,-0.000135376726,0.00017108137014814815,0.00021740740740740743
AUDUSD,3,60000,27,27,-0.00012525356455555555,-0.00010340069,0.0002745128258148148,0.00021666666666666668
AUDUSD,3,120000,27,27,-0.0001850366987037037,-9.5173891e-05,0.00040243534714814815,0.00021333333333333336
AUDUSD,4,250,72,72,2.5372433750000004e-06,-3.9688365e-06,2.1528262958333332e-05,0.00021777777777777778
AUDUSD,4,500,72,72,1.655215388888889e-06,0.0,2.3960084194444444e-05,0.0002180555555555556
AUDUSD,4,1000,72,72,7.847020069444444e-06,0.0,2.9264646236111115e-05,0.00021833333333333335
AUDUSD,4,2000,72,72,1.038807348611111e-05,-0.0,3.931663965277778e-05,0.00021791666666666666
