period_id,variant,m15_wave2_adjacent_mode,m15_wave2_adjacent_fib_side,m15_wave2_fib_zone,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,off,both,none,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,breaktype,allow_adjacent_break_type_only,both,deep_618_786,5,0,0.0,-79.46000000000001,0,-79.46000000000001,0.0,-3.2081,-0.64162,0.0,79.46000000000001,0.7946,-1.0,2,0.4,0,0.0,3,0.6,0.2217,0.7276800000000001,0.0,0.0,0.0,0.0,0.0
full2025_validation,breaktype,allow_adjacent_break_type_only,both,preferred_382_618,32,14,0.4375,133.04000000000002,366.8900000000001,-233.85,1.568911695531324,5.4171000000000005,0.16928437500000001,1.5616194080141,68.39,0.6839000000000001,1.9453136423453725,4,0.125,10,0.3125,18,0.5625,0.855475,0.4960812499999999,0.71875,0.53125,0.4375,0.21875,0.0
full2025_validation,breaktype,allow_adjacent_break_type_only,both,shallow_236_382,13,5,0.38461538461538464,80.70999999999998,161.46999999999997,-80.75999999999999,1.9993808816245664,3.2846,0.2526615384615385,2.0023497818059752,36.31,0.36310000000000003,2.2228036353621583,1,0.07692307692307693,5,0.38461538461538464,7,0.5384615384615384,0.8109769230769229,0.4364769230769231,0.6923076923076923,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.0
full2025_validation,combine,combine_best_two_adjacent,both,deep_618_786,5,0,0.0,-76.01,0,-76.01,0.0,-3.2081,-0.64162,0.0,76.01,0.7601,-1.0,2,0.4,0,0.0,3,0.6,0.2217,0.7276800000000001,0.0,0.0,0.0,0.0,0.0
full2025_validation,combine,combine_best_two_adjacent,both,no_fib,106,20,0.18867924528301888,-574.1300000000001,482.72,-1056.85,0.4567535601078678,-24.597600000000003,-0.23205283018867928,0.4564738949433881,581.8900000000001,5.818900000000001,-0.9866641461444603,13,0.12264150943396226,14,0.1320754716981132,79,0.7452830188679245,0.5885226415094343,0.5433754716981134,0.4716981132075472,0.29245283018867924,0.22641509433962265,0.12264150943396226,0.009433962264150943
full2025_validation,combine,combine_best_two_adjacent,both,preferred_382_618,26,13,0.5,143.94000000000003,334.88,-190.94,1.753849376767571,6.353400000000001,0.2443615384615385,1.7927777292521925,45.56999999999999,0.45569999999999994,3.1586570111915746,4,0.15384615384615385,10,0.38461538461538464,12,0.46153846153846156,0.8583846153846153,0.5186230769230769,0.7307692307692307,0.5384615384615384,0.4230769230769231,0.2692307692307692,0.0
full2025_validation,combine,combine_best_two_adjacent,both,shallow_236_382,10,3,0.3,23.259999999999998,93.75999999999999,-70.5,1.3299290780141844,0.9737,0.09737,1.3294089786528636,57.0,0.5700000000000001,0.40807017543859647,1,0.1,3,0.3,6,0.6,0.7235699999999999,0.50628,0.6,0.5,0.4,0.3,0.0
full2025_validation,context,relax_context_fib_room_only,both,deep_618_786,9,1,0.1111111111111111,-69.94000000000001,30.75,-100.69000000000001,0.30539278975072,-2.9452,-0.32724444444444445,0.3051971030220104,93.29,0.9329000000000001,-0.7497052202808447,1,0.1111111111111111,1,0.1111111111111111,7,0.7777777777777778,0.43594444444444447,0.5839555555555555,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.0
full2025_validation,context,relax_context_fib_room_only,both,no_fib,47,16,0.3404255319148936,52.51999999999998,410.63000000000005,-358.1099999999999,1.1466588478400497,2.068200000000001,0.044004255319148956,1.1364239022170037,125.86,1.2586,0.417289051326871,3,0.06382978723404255,12,0.2553191489361702,32,0.6808510638297872,0.7510680851063833,0.5652531914893618,0.723404255319149,0.425531914893617,0.3617021276595745,0.23404255319148937,0.02127659574468085
full2025_validation,context,relax_context_fib_room_only,both,preferred_382_618,38,14,0.3684210526315789,17.45,330.17,-312.71999999999997,1.055800716295728,0.8374999999999997,0.02203947368421052,1.063743958594969,110.62,1.1062,0.1577472428132345,6,0.15789473684210525,8,0.21052631578947367,24,0.631578947368421,0.7882657894736842,0.5297105263157894,0.7105263157894737,0.5,0.3684210526315789,0.15789473684210525,0.0
full2025_validation,context,relax_context_fib_room_only,both,shallow_236_382,49,12,0.24489795918367346,-118.30999999999997,291.37000000000006,-409.68,0.7112136301503614,-4.8963,-0.09992448979591836,0.7158138509042791,169.57,1.6957,-0.6977059621395293,4,0.08163265306122448,9,0.1836734693877551,36,0.7346938775510204,0.6098224489795917,0.5351653061224491,0.5102040816326531,0.32653061224489793,0.2653061224489796,0.16326530612244897,0.0
full2025_validation,fib_deep,relax_fib_neighbor_only,deep_only,deep_618_786,5,0,0.0,-79.46000000000001,0,-79.46000000000001,0.0,-3.2081,-0.64162,0.0,79.46000000000001,0.7946,-1.0,2,0.4,0,0.0,3,0.6,0.2217,0.7276800000000001,0.0,0.0,0.0,0.0,0.0
