period_id,variant,m5_pattern_quality_group,near_miss_bucket,m15_required_light_reject_reason,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,unknown,not_near_miss,not_evaluated,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,breaktype,high_quality,not_near_miss,none,47,17,0.3617021276595745,110.79,479.3800000000001,-368.5899999999999,1.3005778778588681,4.4956,0.09565106382978722,1.2971217078087314,123.71,1.2371,0.8955622019238543,6,0.1276595744680851,14,0.2978723404255319,27,0.574468085106383,0.7733042553191489,0.48855106382978736,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0
full2025_validation,breaktype,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,breaktype,medium_quality,not_near_miss,none,2,1,0.5,-8.29,17.19,-25.48,0.674646781789639,-0.30489999999999995,-0.15244999999999997,0.6951,25.48,0.25479999999999997,-0.325353218210361,1,0.5,0,0.0,1,0.5,0.6890999999999999,0.7012,0.5,0.5,0.5,0.0,0.0
full2025_validation,combine,high_quality,near_miss,wave2_retrace_too_shallow,106,20,0.18867924528301888,-556.7300000000001,482.72,-1039.45,0.4643994420126028,-23.918899999999997,-0.22564999999999996,0.4634238809787131,564.4900000000001,5.644900000000002,-0.9862530779996103,12,0.11320754716981132,14,0.1320754716981132,80,0.7547169811320755,0.5800792452830192,0.5400660377358493,0.46226415094339623,0.2830188679245283,0.2169811320754717,0.12264150943396226,0.009433962264150943
full2025_validation,combine,high_quality,not_near_miss,none,38,15,0.39473684210526316,93.17999999999999,396.84999999999997,-303.67,1.3068462475713767,4.209500000000002,0.11077631578947374,1.3292607569986,106.05,1.0605,0.8786421499292786,6,0.15789473684210525,12,0.3157894736842105,20,0.5263157894736842,0.7672868421052631,0.5168736842105263,0.631578947368421,0.47368421052631576,0.3684210526315789,0.23684210526315788,0.0
full2025_validation,combine,low_quality,near_miss,wave2_retrace_too_shallow,1,0,0.0,-26.58,0,-26.58,0.0,-1.0721,-1.0721,0.0,26.58,0.2658,-1.0,1,1.0,0,0.0,0,0.0,1.018,1.0721,1.0,1.0,1.0,0.0,0.0
full2025_validation,combine,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,combine,medium_quality,not_near_miss,none,1,0,0.0,-24.6,0,-24.6,0.0,-1.0,-1.0,0.0,24.6,0.246,-1.0,1,1.0,0,0.0,0,0.0,0.0794,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,context,high_quality,near_miss,missing_recent_wave1_break,24,5,0.20833333333333334,-115.66999999999999,82.02,-197.68999999999997,0.41489200263038095,-5.0563,-0.21067916666666667,0.40469294527644356,144.22,1.4422,-0.8020385522118985,2,0.08333333333333333,2,0.08333333333333333,20,0.8333333333333334,0.5425958333333334,0.45393749999999994,0.5833333333333334,0.20833333333333334,0.125,0.0,0.0
full2025_validation,context,high_quality,near_miss,wave2_retrace_too_deep,2,2,1.0,31.79,31.79,0,inf,1.3816,0.6908,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.0664,0.4835,1.0,1.0,0.5,0.0,0.0
full2025_validation,context,high_quality,near_miss,wave2_retrace_too_shallow,82,23,0.2804878048780488,-115.50000000000001,599.63,-715.1300000000002,0.8384909037517652,-4.569400000000001,-0.055724390243902445,0.8474043647414385,260.32,2.6032,-0.44368469575906583,7,0.08536585365853659,18,0.21951219512195122,57,0.6951219512195121,0.7009402439024391,0.587639024390244,0.6097560975609756,0.4146341463414634,0.32926829268292684,0.1951219512195122,0.012195121951219513
full2025_validation,context,high_quality,not_near_miss,none,31,11,0.3548387096774194,73.75999999999999,306.9,-233.14,1.3163764261816935,2.9898000000000002,0.09644516129032259,1.3022870199987864,81.45,0.8145,0.905586249232658,4,0.12903225806451613,9,0.2903225806451613,18,0.5806451612903226,0.7555032258064516,0.4866258064516129,0.6451612903225806,0.45161290322580644,0.3870967741935484,0.25806451612903225,0.0
full2025_validation,context,low_quality,near_miss,wave2_retrace_too_shallow,1,1,1.0,10.79,10.79,0,inf,0.4536,0.4536,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.1639,0.5683,1.0,1.0,1.0,0.0,0.0
full2025_validation,context,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,context,medium_quality,near_miss,wave2_retrace_too_shallow,1,0,0.0,-10.64,0,-10.64,0.0,-0.438,-0.438,0.0,10.64,0.10640000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.4601,0.6501,0.0,0.0,0.0,0.0,0.0
full2025_validation,context,medium_quality,not_near_miss,none,1,0,0.0,-24.6,0,-24.6,0.0,-1.0,-1.0,0.0,24.6,0.246,-1.0,1,1.0,0,0.0,0,0.0,0.0794,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,fib_deep,high_quality,not_near_miss,none,47,17,0.3617021276595745,110.79,479.3800000000001,-368.5899999999999,1.3005778778588681,4.4956,0.09565106382978722,1.2971217078087314,123.71,1.2371,0.8955622019238543,6,0.1276595744680851,14,0.2978723404255319,27,0.574468085106383,0.7733042553191489,0.48855106382978736,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0
full2025_validation,fib_deep,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,fib_deep,medium_quality,not_near_miss,none,2,1,0.5,-8.29,17.19,-25.48,0.674646781789639,-0.30489999999999995,-0.15244999999999997,0.6951,25.48,0.25479999999999997,-0.325353218210361,1,0.5,0,0.0,1,0.5,0.6890999999999999,0.7012,0.5,0.5,0.5,0.0,0.0
full2025_validation,fib_shallow,high_quality,near_miss,wave2_retrace_too_shallow,108,22,0.2037037037037037,-543.13,496.31999999999994,-1039.45,0.4774832844292654,-23.4177,-0.21683055555555555,0.4746673725629193,550.89,5.5089,-0.9859137032801467,12,0.1111111111111111,14,0.12962962962962962,82,0.7592592592592593,0.5906314814814819,0.5352925925925928,0.4722222222222222,0.2962962962962963,0.2222222222222222,0.12962962962962962,0.009259259259259259
full2025_validation,fib_shallow,high_quality,not_near_miss,none,38,15,0.39473684210526316,93.17999999999999,396.84999999999997,-303.67,1.3068462475713767,4.209500000000002,0.11077631578947374,1.3292607569986,106.05,1.0605,0.8786421499292786,6,0.15789473684210525,12,0.3157894736842105,20,0.5263157894736842,0.7672868421052631,0.5168736842105263,0.631578947368421,0.47368421052631576,0.3684210526315789,0.23684210526315788,0.0
full2025_validation,fib_shallow,low_quality,near_miss,wave2_retrace_too_shallow,1,0,0.0,-26.58,0,-26.58,0.0,-1.0721,-1.0721,0.0,26.58,0.2658,-1.0,1,1.0,0,0.0,0,0.0,1.018,1.0721,1.0,1.0,1.0,0.0,0.0
full2025_validation,fib_shallow,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,fib_shallow,medium_quality,not_near_miss,none,1,0,0.0,-24.6,0,-24.6,0.0,-1.0,-1.0,0.0,24.6,0.246,-1.0,1,1.0,0,0.0,0,0.0,0.0794,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,highq,high_quality,near_miss,missing_recent_wave1_break,22,4,0.18181818181818182,-122.91999999999999,64.49,-187.41,0.34411184035003467,-5.295,-0.2406818181818182,0.34808303169092125,150.79,1.5078999999999998,-0.8151734199880628,2,0.09090909090909091,2,0.09090909090909091,18,0.8181818181818182,0.5248727272727273,0.46191818181818173,0.5454545454545454,0.18181818181818182,0.13636363636363635,0.0,0.0
full2025_validation,highq,high_quality,near_miss,wave2_retrace_too_deep,2,2,1.0,30.81,30.81,0,inf,1.3816,0.6908,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.0664,0.4835,1.0,1.0,0.5,0.0,0.0
full2025_validation,highq,high_quality,near_miss,wave2_retrace_too_shallow,192,45,0.234375,-683.7700000000002,1085.4199999999996,-1769.1899999999998,0.6135123983291787,-28.700099999999974,-0.14947968749999987,0.6245123256343361,709.7800000000002,7.097800000000001,-0.9633548423455155,22,0.11458333333333333,34,0.17708333333333334,136,0.7083333333333334,0.6530182291666661,0.5762192708333332,0.5520833333333334,0.359375,0.2916666666666667,0.15625,0.005208333333333333
full2025_validation,highq,high_quality,not_near_miss,none,26,10,0.38461538461538464,95.01,269.02,-174.01000000000002,1.5460031032699268,4.032600000000001,0.15510000000000004,1.5362999215352489,58.349999999999994,0.5834999999999999,1.6282776349614398,2,0.07692307692307693,8,0.3076923076923077,16,0.6153846153846154,0.7564076923076921,0.45593461538461544,0.6538461538461539,0.46153846153846156,0.38461538461538464,0.2692307692307692,0.0
full2025_validation,highq,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,high_quality,not_near_miss,none,47,17,0.3617021276595745,110.79,479.3800000000001,-368.5899999999999,1.3005778778588681,4.4956,0.09565106382978722,1.2971217078087314,123.71,1.2371,0.8955622019238543,6,0.1276595744680851,14,0.2978723404255319,27,0.574468085106383,0.7733042553191489,0.48855106382978736,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0
full2025_validation,light,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,medium_quality,not_near_miss,none,2,1,0.5,-8.29,17.19,-25.48,0.674646781789639,-0.30489999999999995,-0.15244999999999997,0.6951,25.48,0.25479999999999997,-0.325353218210361,1,0.5,0,0.0,1,0.5,0.6890999999999999,0.7012,0.5,0.5,0.5,0.0,0.0
full2025_validation,light_breakdown,high_quality,not_near_miss,none,47,17,0.3617021276595745,110.79,479.3800000000001,-368.5899999999999,1.3005778778588681,4.4956,0.09565106382978722,1.2971217078087314,123.71,1.2371,0.8955622019238543,6,0.1276595744680851,14,0.2978723404255319,27,0.574468085106383,0.7733042553191489,0.48855106382978736,0.6382978723404256,0.46808510638297873,0.3829787234042553,0.23404255319148937,0.0
full2025_validation,light_breakdown,low_quality,not_near_miss,none,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0
full2025_validation,light_breakdown,medium_quality,not_near_miss,none,2,1,0.5,-8.29,17.19,-25.48,0.674646781789639,-0.30489999999999995,-0.15244999999999997,0.6951,25.48,0.25479999999999997,-0.325353218210361,1,0.5,0,0.0,1,0.5,0.6890999999999999,0.7012,0.5,0.5,0.5,0.0,0.0
full2025_validation,nearmiss_diag,high_quality,near_miss,missing_recent_wave1_break,20,4,0.2,-103.0,63.39,-166.39,0.3809724142075846,-4.5827,-0.229135,0.38154361057504155,130.17000000000002,1.3017,-0.7912729507567027,1,0.05,2,0.1,17,0.85,0.4736700000000001,0.47736,0.45,0.2,0.15,0.0,0.0
