rank,selected,combine_mask_after_selection,period_id,variant,variant_name,trades,profit_factor,avg_r,avg_mfe_r,reached_1_0r_rate,reached_1_3r_rate,time_exit_rate,tp_exit_rate,mfe_lift_ok,selection_score
1,True,12,q1_quick,fib_deep,relax_fib_neighbor_deep_only,18,1.1644578313253011,0.04721666666666667,0.7552,0.3333333333333333,0.2222222222222222,0.6111111111111112,0.2777777777777778,True,18.144022757697453
2,True,12,q1_quick,breaktype,allow_adjacent_break_type_only,18,1.1644578313253011,0.04721666666666667,0.7552,0.3333333333333333,0.2222222222222222,0.6111111111111112,0.2777777777777778,True,18.144022757697453
3,False,12,q1_quick,relax_w1,relax_wave1_age_only,19,1.0487062404870624,0.01108947368421052,0.670457894736842,0.2631578947368421,0.21052631578947367,0.631578947368421,0.2631578947368421,True,13.069693983817992
4,False,12,q1_quick,relax_w2,relax_wave2_age_only,19,1.0487062404870624,0.01108947368421052,0.670457894736842,0.2631578947368421,0.21052631578947367,0.631578947368421,0.2631578947368421,True,13.069693983817992
5,False,12,q1_quick,fib_shallow,relax_fib_neighbor_shallow_only,51,0.8299804475342168,-0.0602470588235294,0.6807509803921569,0.3137254901960784,0.17647058823529413,0.6666666666666666,0.21568627450980393,True,3.882941730244131
6,False,12,q1_quick,highq,allow_high_quality_m5_near_miss_only,81,0.5423039438632966,-0.18195432098765435,0.6253444444444445,0.24691358024691357,0.1111111111111111,0.7037037037037037,0.14814814814814814,True,-11.562516116922591
7,False,12,q1_quick,context,relax_context_fib_room_only,40,0.6039976310334616,-0.1375725,0.5847825000000001,0.2,0.125,0.775,0.125,False,-6.667273689665383
