period_id,variant,result_bucket,symbol,direction,session_label,entry_pattern,m15_wave2_type,m15_wave2_fib_zone,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,light,loser_or_flat,EURJPY,LONG,new_york,inverse_head_and_shoulders,fib_pullback,deep_618_786,1,0,0.0,-7.29,0,-7.29,0.0,-0.293,-0.293,0.0,7.29,0.0729,-1.0,0,0.0,0,0.0,1,1.0,0.0215,0.3952,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURJPY,SHORT,london,double_top,shallow_pullback,preferred_382_618,1,0,0.0,-24.99,0,-24.99,0.0,-1.0043,-1.0043,0.0,24.99,0.24989999999999998,-1.0,1,1.0,0,0.0,0,0.0,0.4188,1.0043,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURJPY,SHORT,london_newyork_overlap,double_top,fib_pullback,preferred_382_618,1,0,0.0,-13.91,0,-13.91,0.0,-0.5635,-0.5635,0.0,13.91,0.1391,-1.0,0,0.0,0,0.0,1,1.0,0.5691,0.7072,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURJPY,SHORT,new_york,head_and_shoulders,fib_pullback,deep_618_786,1,0,0.0,-14.57,0,-14.57,0.0,-0.5961,-0.5961,0.0,14.57,0.1457,-1.0,0,0.0,0,0.0,1,1.0,0.3522,0.8768,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURUSD,LONG,london_newyork_overlap,double_bottom,fib_pullback,shallow_236_382,1,0,0.0,-24.09,0,-24.09,0.0,-1.0,-1.0,0.0,24.09,0.2409,-1.0,1,1.0,0,0.0,0,0.0,0.0594,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURUSD,SHORT,london_newyork_overlap,double_top,shallow_pullback,preferred_382_618,1,0,0.0,-23.7,0,-23.7,0.0,-1.0,-1.0,0.0,23.7,0.23700000000000002,-1.0,1,1.0,0,0.0,0,0.0,0.1097,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURUSD,SHORT,london_newyork_overlap,head_and_shoulders,shallow_pullback,preferred_382_618,1,0,0.0,-8.52,0,-8.52,0.0,-0.3747,-0.3747,0.0,8.52,0.0852,-1.0,0,0.0,0,0.0,1,1.0,0.3799,0.3747,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,EURUSD,SHORT,new_york,head_and_shoulders,shallow_pullback,shallow_236_382,1,0,0.0,-7.13,0,-7.13,0.0,-0.2952,-0.2952,0.0,7.13,0.0713,-1.0,0,0.0,0,0.0,1,1.0,1.2952,0.581,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,loser_or_flat,GBPJPY,LONG,london_newyork_overlap,double_bottom,shallow_pullback,preferred_382_618,1,0,0.0,-21.38,0,-21.38,0.0,-0.8708,-0.8708,0.0,21.38,0.21379999999999996,-1.0,0,0.0,0,0.0,1,1.0,0.5129,0.9004,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,GBPJPY,LONG,new_york,double_bottom,fib_pullback,preferred_382_618,1,0,0.0,-9.4,0,-9.4,0.0,-0.409,-0.409,0.0,9.4,0.09400000000000001,-1.0,0,0.0,0,0.0,1,1.0,0.2553,0.5248,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,GBPJPY,LONG,new_york,inverse_head_and_shoulders,deep_pullback,preferred_382_618,1,0,0.0,-4.78,0,-4.78,0.0,-0.2131,-0.2131,0.0,4.78,0.0478,-1.0,0,0.0,0,0.0,1,1.0,0.1829,0.2664,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,LONG,london_newyork_overlap,inverse_head_and_shoulders,shallow_pullback,deep_618_786,1,0,0.0,-7.9,0,-7.9,0.0,-0.319,-0.319,0.0,7.9,0.079,-1.0,0,0.0,0,0.0,1,1.0,0.4267,0.3664,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,LONG,london_newyork_overlap,inverse_head_and_shoulders,shallow_pullback,shallow_236_382,1,0,0.0,-4.68,0,-4.68,0.0,-0.1873,-0.1873,0.0,4.68,0.0468,-1.0,0,0.0,0,0.0,1,1.0,0.2049,0.265,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,LONG,tokyo,double_bottom,shallow_pullback,preferred_382_618,1,0,0.0,-10.96,0,-10.96,0.0,-0.4369,-0.4369,0.0,10.96,0.10960000000000002,-1.0,0,0.0,0,0.0,1,1.0,0.9563,0.5243,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london,head_and_shoulders,fib_pullback,preferred_382_618,1,0,0.0,-13.69,0,-13.69,0.0,-0.5479,-0.5479,0.0,13.69,0.1369,-1.0,0,0.0,0,0.0,1,1.0,0.8032,0.5479,1.0,1.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london,head_and_shoulders,shallow_pullback,preferred_382_618,1,0,0.0,-3.59,0,-3.59,0.0,-0.1474,-0.1474,0.0,3.59,0.0359,-1.0,0,0.0,0,0.0,1,1.0,1.2628,0.4744,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london,head_and_shoulders,shallow_pullback,shallow_236_382,2,0,0.0,-15.32,0,-15.32,0.0,-0.6203000000000001,-0.31015000000000004,0.0,15.32,0.1532,-1.0,0,0.0,0,0.0,2,1.0,0.13865,0.31015000000000004,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london,sweep_high_reclaim,fib_pullback,deep_618_786,1,0,0.0,-25.48,0,-25.48,0.0,-1.0,-1.0,0.0,25.48,0.25479999999999997,-1.0,1,1.0,0,0.0,0,0.0,0.0794,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london_newyork_overlap,double_top,fib_pullback,preferred_382_618,1,0,0.0,-5.09,0,-5.09,0.0,-0.2205,-0.2205,0.0,5.09,0.0509,-1.0,0,0.0,0,0.0,1,1.0,1.076,0.2205,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london_newyork_overlap,double_top,shallow_pullback,preferred_382_618,1,0,0.0,-26.21,0,-26.21,0.0,-1.0833,-1.0833,0.0,26.21,0.2621,-1.0,1,1.0,0,0.0,0,0.0,0.6111,1.0833,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london_newyork_overlap,double_top,shallow_pullback,shallow_236_382,1,0,0.0,-15.11,0,-15.11,0.0,-0.5926,-0.5926,0.0,15.11,0.15109999999999998,-1.0,0,0.0,0,0.0,1,1.0,0.6593,0.7704,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london_newyork_overlap,head_and_shoulders,fib_pullback,preferred_382_618,3,0,0.0,-27.43,0,-27.43,0.0,-1.1413000000000002,-0.3804333333333334,0.0,27.43,0.2743,-1.0,0,0.0,0,0.0,3,1.0,0.4453,0.3804333333333334,0.3333333333333333,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london_newyork_overlap,head_and_shoulders,shallow_pullback,preferred_382_618,1,0,0.0,-3.41,0,-3.41,0.0,-0.1406,-0.1406,0.0,3.41,0.0341,-1.0,0,0.0,0,0.0,1,1.0,0.4922,0.1406,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,loser_or_flat,USDJPY,SHORT,london_newyork_overlap,head_and_shoulders,shallow_pullback,shallow_236_382,1,0,0.0,-9.94,0,-9.94,0.0,-0.4,-0.4,0.0,9.94,0.09939999999999999,-1.0,0,0.0,0,0.0,1,1.0,0.6424,0.4,1.0,0.0,0.0,0.0,0.0
