period_id,variant,m15_wave2_age_bars,m15_required_light_pass,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,-1,false,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,breaktype,10,true,1,1,1.0,15.47,15.47,0,inf,0.623,0.623,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2304,0.2147,1.0,1.0,1.0,0.0,0.0
full2025_validation,breaktype,11,true,1,0,0.0,-10.96,0,-10.96,0.0,-0.4369,-0.4369,0.0,10.96,0.10960000000000002,-1.0,0,0.0,0,0.0,1,1.0,0.9563,0.5243,1.0,1.0,0.0,0.0,0.0
full2025_validation,breaktype,12,true,1,0,0.0,-24.09,0,-24.09,0.0,-1.0,-1.0,0.0,24.09,0.2409,-1.0,1,1.0,0,0.0,0,0.0,0.0594,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,breaktype,24,true,21,7,0.3333333333333333,-9.860000000000005,188.46,-198.32,0.9502823719241631,-0.4349999999999997,-0.020714285714285702,0.9465825085345188,87.91,0.8791,-0.1121601638038904,4,0.19047619047619047,5,0.23809523809523808,12,0.5714285714285714,0.6832095238095239,0.5442047619047619,0.6190476190476191,0.3333333333333333,0.2857142857142857,0.19047619047619047,0.0
full2025_validation,breaktype,4,true,5,3,0.6,76.94,94.22,-17.28,5.452546296296296,3.2247,0.64494,5.637854163670358,17.28,0.1728,4.452546296296296,0,0.0,3,0.6,2,0.4,1.20898,0.35078,1.0,1.0,0.8,0.4,0.0
full2025_validation,breaktype,5,true,7,3,0.42857142857142855,45.620000000000005,95.45,-49.83,1.915512743327313,1.8771999999999995,0.2681714285714285,1.9214608285882582,25.11,0.2511,1.8168060533651933,1,0.14285714285714285,3,0.42857142857142855,3,0.42857142857142855,0.7342714285714285,0.5025428571428572,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0
full2025_validation,breaktype,6,true,9,3,0.3333333333333333,-7.040000000000002,68.42,-75.46000000000001,0.9067055393586005,-0.22309999999999985,-0.024788888888888874,0.9268500606577265,52.24999999999999,0.5225,-0.1347368421052632,1,0.1111111111111111,2,0.2222222222222222,6,0.6666666666666666,0.6478777777777779,0.5120888888888888,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0
full2025_validation,breaktype,7,true,2,0,0.0,-13.04,0,-13.04,0.0,-0.5473,-0.27365,0.0,13.04,0.1304,-1.0,0,0.0,0,0.0,2,1.0,0.8548499999999999,0.41655,0.5,0.5,0.5,0.0,0.0
full2025_validation,breaktype,8,true,2,2,1.0,66.34,66.34,0,inf,2.6315,1.31575,inf,0.0,0.0,inf,0,0.0,2,1.0,0,0.0,1.31575,0.5429,1.0,1.0,1.0,1.0,0.0
