period_id,variant,symbol,direction,session_label,month,weekday,entry_pattern,m5_pattern_quality_group,m15_wave1_break_type,m15_wave2_type,m15_wave2_fib_zone,exit_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,light,EURJPY,LONG,new_york,2025-04,Thu,inverse_head_and_shoulders,high_quality,return_high_break_or_bos_up,fib_pullback,deep_618_786,time,1,0,0.0,-7.29,0,-7.29,0.0,-0.293,-0.293,0.0,7.29,0.0729,-1.0,0,0.0,0,0.0,1,1.0,0.0215,0.3952,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,EURJPY,SHORT,london,2025-02,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,shallow_236_382,tp,1,1,1.0,33.16,33.16,0,inf,1.3005,1.3005,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3005,0.0939,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,EURJPY,SHORT,london,2025-03,Tue,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,full_sl,1,0,0.0,-24.99,0,-24.99,0.0,-1.0043,-1.0043,0.0,24.99,0.24989999999999998,-1.0,1,1.0,0,0.0,0,0.0,0.4188,1.0043,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,EURJPY,SHORT,london_newyork_overlap,2025-04,Thu,double_top,high_quality,return_low_break_or_bos_down,fib_pullback,preferred_382_618,time,1,0,0.0,-13.91,0,-13.91,0.0,-0.5635,-0.5635,0.0,13.91,0.1391,-1.0,0,0.0,0,0.0,1,1.0,0.5691,0.7072,1.0,0.0,0.0,0.0,0.0
full2025_validation,light,EURJPY,SHORT,new_york,2025-04,Fri,head_and_shoulders,high_quality,return_low_break_or_bos_down,fib_pullback,deep_618_786,time,1,0,0.0,-14.57,0,-14.57,0.0,-0.5961,-0.5961,0.0,14.57,0.1457,-1.0,0,0.0,0,0.0,1,1.0,0.3522,0.8768,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,EURJPY,SHORT,tokyo,2025-07,Wed,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,tp,1,1,1.0,32.5,32.5,0,inf,1.3127,1.3127,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3127,0.2736,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,EURUSD,LONG,london_newyork_overlap,2025-03,Fri,double_bottom,high_quality,return_high_break_or_bos_up,deep_pullback,preferred_382_618,tp,1,1,1.0,32.68,32.68,0,inf,1.303,1.303,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.303,0.553,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,EURUSD,LONG,london_newyork_overlap,2025-04,Fri,double_bottom,high_quality,return_high_break_or_bos_up,fib_pullback,shallow_236_382,full_sl,1,0,0.0,-24.09,0,-24.09,0.0,-1.0,-1.0,0.0,24.09,0.2409,-1.0,1,1.0,0,0.0,0,0.0,0.0594,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,EURUSD,LONG,london_newyork_overlap,2025-09,Wed,double_bottom,high_quality,return_high_break_or_bos_up,fib_pullback,preferred_382_618,time,1,1,1.0,15.47,15.47,0,inf,0.623,0.623,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,1.2304,0.2147,1.0,1.0,1.0,0.0,0.0
full2025_validation,light,EURUSD,SHORT,london,2025-04,Tue,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,tp,1,1,1.0,30.72,30.72,0,inf,1.3196,1.3196,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3196,0.2423,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,EURUSD,SHORT,london_newyork_overlap,2025-04,Tue,double_top,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,full_sl,1,0,0.0,-23.7,0,-23.7,0.0,-1.0,-1.0,0.0,23.7,0.23700000000000002,-1.0,1,1.0,0,0.0,0,0.0,0.1097,1.0,0.0,0.0,0.0,0.0,0.0
full2025_validation,light,EURUSD,SHORT,london_newyork_overlap,2025-04,Tue,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,tp,1,1,1.0,31.36,31.36,0,inf,1.3176,1.3176,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3765,0.1706,1.0,1.0,1.0,1.0,0.0
full2025_validation,light,EURUSD,SHORT,london_newyork_overlap,2025-04,Wed,head_and_shoulders,high_quality,return_low_break_or_bos_down,shallow_pullback,preferred_382_618,time,1,0,0.0,-8.52,0,-8.52,0.0,-0.3747,-0.3747,0.0,8.52,0.0852,-1.0,0,0.0,0,0.0,1,1.0,0.3799,0.3747,0.0,0.0,0.0,0.0,0.0
