period_id,variant,m15_wave1_age_bars,m15_required_light_pass,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,-1,false,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,breaktype,0,true,7,2,0.2857142857142857,31.949999999999996,63.879999999999995,-31.93,2.0006263701847793,1.2986000000000004,0.18551428571428577,1.982671206961786,18.29,0.18289999999999998,1.7468562055768178,0,0.0,2,0.2857142857142857,5,0.7142857142857143,0.7744714285714285,0.23681428571428573,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0
full2025_validation,breaktype,1,true,9,5,0.5555555555555556,95.88999999999999,159.47,-63.58,2.508178672538534,3.9955,0.4439444444444444,2.558125024373123,25.480000000000004,0.2548,3.7633437990580836,2,0.2222222222222222,5,0.5555555555555556,2,0.2222222222222222,0.9833555555555554,0.5579333333333333,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.0
full2025_validation,breaktype,10,true,1,1,1.0,32.36,32.36,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0
full2025_validation,breaktype,11,true,1,0,0.0,-7.13,0,-7.13,0.0,-0.2952,-0.2952,0.0,7.13,0.0713,-1.0,0,0.0,0,0.0,1,1.0,1.2952,0.581,1.0,1.0,1.0,0.0,0.0
full2025_validation,breaktype,13,true,2,1,0.5,12.06,15.47,-3.41,4.536656891495602,0.4824,0.2412,4.431009957325747,3.41,0.0341,3.536656891495601,0,0.0,0,0.0,2,1.0,0.8613,0.17765,0.5,0.5,0.5,0.0,0.0
full2025_validation,breaktype,14,true,1,1,1.0,31.36,31.36,0,inf,1.3176,1.3176,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3765,0.1706,1.0,1.0,1.0,1.0,0.0
full2025_validation,breaktype,15,true,2,1,0.5,22.85,30.75,-7.9,3.892405063291139,0.9867000000000001,0.49335000000000007,4.093103448275862,7.899999999999999,0.07899999999999999,2.89240506329114,0,0.0,1,0.5,1,0.5,0.8933000000000001,0.1864,0.5,0.5,0.5,0.5,0.0
full2025_validation,breaktype,16,true,1,0,0.0,-7.29,0,-7.29,0.0,-0.293,-0.293,0.0,7.29,0.0729,-1.0,0,0.0,0,0.0,1,1.0,0.0215,0.3952,0.0,0.0,0.0,0.0,0.0
full2025_validation,breaktype,17,true,1,0,0.0,-11.68,0,-11.68,0.0,-0.4843,-0.4843,0.0,11.68,0.1168,-1.0,0,0.0,0,0.0,1,1.0,0.435,0.6368,0.0,0.0,0.0,0.0,0.0
