period_id,variant,m15_wave1_break_type,m15_required_light_pass,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,none,false,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,breaktype,return_high_break_or_bos_up,true,14,6,0.42857142857142855,87.72,178.2,-90.48000000000002,1.9694960212201587,3.4252000000000002,0.24465714285714288,1.918505805690381,45.22,0.4522,1.9398496240601504,1,0.07142857142857142,5,0.35714285714285715,8,0.5714285714285714,0.7415428571428571,0.5023642857142857,0.5714285714285714,0.5,0.42857142857142855,0.21428571428571427,0.0
full2025_validation,breaktype,return_low_break_or_bos_down,true,36,13,0.3611111111111111,46.56999999999999,350.16,-303.59000000000003,1.1533976744952072,2.0684,0.05745555555555556,1.1667876207524959,99.87,0.9987000000000001,0.46630619805747464,6,0.16666666666666666,10,0.2777777777777778,20,0.5555555555555556,0.795688888888889,0.5042805555555554,0.6666666666666666,0.4722222222222222,0.3888888888888889,0.25,0.0
full2025_validation,combine,return_high_break_or_bos_up,false,47,10,0.2127659574468085,-219.1699999999999,200.23000000000002,-419.4000000000001,0.4774201239866475,-9.598099999999999,-0.20421489361702125,0.47096045197740116,243.2599999999999,2.432599999999999,-0.9009701553892954,4,0.0851063829787234,5,0.10638297872340426,38,0.8085106382978723,0.5124106382978724,0.5156425531914894,0.3829787234042553,0.2553191489361702,0.14893617021276595,0.10638297872340426,0.0
full2025_validation,combine,return_high_break_or_bos_up,true,12,5,0.4166666666666667,68.52999999999999,136.04,-67.51,2.015108872759591,2.9674999999999994,0.2472916666666666,2.038204527166498,40.03,0.40030000000000004,1.711966025480889,1,0.08333333333333333,4,0.3333333333333333,7,0.5833333333333334,0.7116833333333333,0.46665833333333323,0.5,0.5,0.4166666666666667,0.16666666666666666,0.0
full2025_validation,combine,return_low_break_or_bos_down,false,60,10,0.16666666666666666,-364.13999999999993,282.49,-646.6300000000001,0.4368649768801323,-15.3929,-0.2565483333333333,0.44039045316561554,382.44,3.8244,-0.9521493567618449,9,0.15,9,0.15,42,0.7,0.640385,0.5680650000000002,0.5333333333333333,0.31666666666666665,0.2833333333333333,0.13333333333333333,0.016666666666666666
full2025_validation,combine,return_low_break_or_bos_down,true,28,11,0.39285714285714285,31.84000000000001,292.59999999999997,-260.76000000000005,1.1221046172725875,1.5449000000000004,0.055175000000000016,1.141391492165764,81.22,0.8122,0.39202166953952244,6,0.21428571428571427,9,0.32142857142857145,13,0.4642857142857143,0.7856785714285713,0.5665785714285714,0.6785714285714286,0.4642857142857143,0.35714285714285715,0.2857142857142857,0.0
full2025_validation,context,none,false,22,5,0.22727272727272727,-97.83,82.02,-179.85,0.45604670558799,-4.282300000000001,-0.19465000000000005,0.44526918493186185,126.38,1.2638,-0.7740940022155405,2,0.09090909090909091,2,0.09090909090909091,18,0.8181818181818182,0.5680681818181817,0.4516727272727273,0.6363636363636364,0.22727272727272727,0.13636363636363635,0.0,0.0
full2025_validation,context,return_high_break_or_bos_up,false,38,13,0.34210526315789475,51.17999999999996,306.68000000000006,-255.50000000000003,1.2003131115459884,2.2441000000000004,0.05905526315789475,1.2075257083672408,87.65,0.8765000000000001,0.5839132915002847,1,0.02631578947368421,9,0.23684210526315788,28,0.7368421052631579,0.6443026315789474,0.5553552631578947,0.5,0.34210526315789475,0.2894736842105263,0.23684210526315788,0.02631578947368421
full2025_validation,context,return_high_break_or_bos_up,true,12,5,0.4166666666666667,64.61,141.47,-76.86000000000001,1.8406193078324222,2.5648,0.21373333333333333,1.7790535204422577,40.07,0.4007,1.6124282505615173,1,0.08333333333333333,4,0.3333333333333333,7,0.5833333333333334,0.6773333333333333,0.4987083333333333,0.5,0.4166666666666667,0.4166666666666667,0.25,0.0
