period_id,variant,required_light_bucket,m15_required_light_reject_reason,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate
full2025_validation,base,required_light_reject,not_evaluated,318,77,0.24213836477987422,-1144.89,1647.43,-2792.3199999999993,0.5899861047444421,-50.320699999999974,-0.15824119496855338,0.5936911578994966,1179.96,11.7996,-0.9702786535136785,33,0.10377358490566038,49,0.1540880503144654,236,0.7421383647798742,0.5970767295597484,0.5698836477987422,0.4968553459119497,0.31761006289308175,0.24528301886792453,0.12578616352201258,0.0031446540880503146
full2025_validation,breaktype,required_light_pass,none,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0
full2025_validation,combine,required_light_pass,none,40,16,0.4,100.37000000000002,428.64,-328.27000000000004,1.305754409480001,4.512400000000001,0.11281000000000004,1.327348437035264,106.04999999999998,1.0604999999999998,0.9464403583215467,7,0.175,13,0.325,20,0.5,0.7634799999999999,0.5366025000000001,0.625,0.475,0.375,0.25,0.0
full2025_validation,combine,required_light_reject,wave2_retrace_too_shallow,107,20,0.18691588785046728,-583.3100000000001,482.72,-1066.03,0.45282027710289585,-24.991000000000003,-0.23356074766355142,0.45254003373567864,591.07,5.9107,-0.9868712673625798,13,0.12149532710280374,14,0.1308411214953271,80,0.7476635514018691,0.5841719626168228,0.5450383177570095,0.4672897196261682,0.2897196261682243,0.22429906542056074,0.12149532710280374,0.009345794392523364
full2025_validation,context,required_light_pass,none,33,12,0.36363636363636365,80.95000000000002,338.68999999999994,-257.74,1.314076200822534,3.2927000000000013,0.09977878787878791,1.3023433052357076,106.04999999999998,1.0604999999999998,0.7633191890617635,5,0.15151515151515152,10,0.30303030303030304,18,0.5454545454545454,0.7516030303030303,0.5123727272727273,0.6363636363636364,0.45454545454545453,0.3939393939393939,0.2727272727272727,0.0
full2025_validation,context,required_light_reject,missing_recent_wave1_break,24,5,0.20833333333333334,-115.66999999999999,82.02,-197.68999999999997,0.41489200263038095,-5.0563,-0.21067916666666667,0.40469294527644356,144.22,1.4422,-0.8020385522118985,2,0.08333333333333333,2,0.08333333333333333,20,0.8333333333333334,0.5425958333333334,0.45393749999999994,0.5833333333333334,0.20833333333333334,0.125,0.0,0.0
full2025_validation,context,required_light_reject,wave2_retrace_too_deep,2,2,1.0,31.79,31.79,0,inf,1.3816,0.6908,inf,0.0,0.0,inf,0,0.0,0,0.0,2,1.0,1.0664,0.4835,1.0,1.0,0.5,0.0,0.0
full2025_validation,context,required_light_reject,wave2_retrace_too_shallow,84,24,0.2857142857142857,-115.35000000000001,610.42,-725.7700000000002,0.8410653512820863,-4.5538,-0.05421190476190476,0.8501176664198142,270.96,2.7096,-0.4257085916740479,7,0.08333333333333333,18,0.21428571428571427,59,0.7023809523809523,0.7035845238095239,0.588152380952381,0.6071428571428571,0.4166666666666667,0.3333333333333333,0.19047619047619047,0.011904761904761904
full2025_validation,fib_deep,required_light_pass,none,50,19,0.38,134.29000000000002,528.3600000000001,-394.06999999999994,1.3407770193112905,5.493600000000001,0.10987200000000001,1.340572207929079,123.71,1.2371,1.085522593161426,7,0.14,15,0.3,28,0.56,0.780528,0.5037440000000001,0.64,0.48,0.4,0.24,0.0
full2025_validation,fib_shallow,required_light_pass,none,40,16,0.4,100.37000000000002,428.64,-328.27000000000004,1.305754409480001,4.512400000000001,0.11281000000000004,1.327348437035264,106.04999999999998,1.0604999999999998,0.9464403583215467,7,0.175,13,0.325,20,0.5,0.7634799999999999,0.5366025000000001,0.625,0.475,0.375,0.25,0.0
