run_id,stage,count
"full2025_j_full_fractal_diag","symbols_scanned","445734"
"full2025_j_full_fractal_diag","parent_flips_detected","4536"
"full2025_j_full_fractal_diag","valid_parent_wave1","4536"
"full2025_j_full_fractal_diag","parent_wave2_started","3967"
"full2025_j_full_fractal_diag","parent_wave2_invalidated","71"
"full2025_j_full_fractal_diag","child_countertrend_confirmed","7869"
"full2025_j_full_fractal_diag","child_trend_flips_detected","2839"
"full2025_j_full_fractal_diag","first_flip_signals","2839"
"full2025_j_full_fractal_diag","signals_consumed","2839"
"full2025_j_full_fractal_diag","trades_taken","154"
"full2025_j_full_fractal_diag","expired_signals","0"
