segment,trades,wins,win_rate,net_profit,total_r,expectancy_r,pf_money,pf_r,maxdd_closed_r,maxdd_closed_money,long,short,tp,sl,timeout,hold_mean_seconds,hold_max_seconds,commission,fee,swap,extra_cost_pips
0,94,60,0.6382978723404256,218.15,23.028249454510856,0.2449813771756474,1.8807024626564395,1.8682057605923992,3.9786860542784996,36.14,37,57,42,22,30,583.3381276595744,906.226,0.0,0.0,-2.63,0.0
1,142,80,0.5633802816901409,81.98000000000002,8.547581580311359,0.06019423648106591,1.1534631224260572,1.1513670470470023,12.686051798479895,119.22,43,99,56,51,35,521.7234859154929,904.474,0.0,0.0,0.0,0.0
2,63,36,0.5714285714285714,59.36,6.080406984694442,0.09651439658245146,1.2731078904991946,1.2680150584773138,6.858134717452983,64.39,7,56,24,21,18,530.7601428571429,903.14,0.0,0.0,0.0,0.0
3,51,27,0.5294117647058824,8.790000000000001,0.8574483739544416,0.01681271321479297,1.0411671037841888,1.038727213397346,9.883551685990659,94.97999999999999,6,45,20,20,11,507.185411764706,902.418,0.0,0.0,0.0,0.0
