field,value
エキスパート:,ExpectedValue_MultiCurrency_TickShockTechnicalCandidate
銘柄:,EURUSD
期間:,M1 (2025.04.01 - 2025.05.01)
パラメータ:,"InpSymbols=EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF"
会社:,Vantage Trading Ltd
通貨:,USD
初期証拠金:,10 000.00
レバレッジ:,1:100
ヒストリー品質:,100% リアルティック
バー:,31621
ティック:,2189869
銘柄:,6
総損益:,368.28
残高絶対ドローダウン:,7.03
証拠金絶対ドローダウン:,10.82
総利益:,1 581.05
残高最大ドローダウン:,119.22 (1.17%)
証拠金最大ドローダウン:,123.40 (1.21%)
総損失:,-1 212.77
残高相対ドローダウン:,1.17% (119.22)
証拠金相対ドローダウン:,1.21% (123.40)
プロフィットファクター:,1.30
期待利得:,1.05
証拠金維持率:,4798.91%
リカバリファクター:,2.98
シャープレシオ:,22.31
Z-Score:,-1.25 (78.87%)
AHPR:,1.0001 (0.01%)
LR Correlation:,0.96
OnTester 結果:,0
GHPR:,1.0001 (0.01%)
LR Standard Error:,31.11
取引数:,350
ショート (勝率 %):,257 (58.37%)
ロング (勝率 %):,93 (59.14%)
約定数:,700
勝ちトレード (勝率 %):,205 (58.57%)
負けトレード (負率 %):,145 (41.43%)
最大 勝ちトレード:,13.05
最大 負けトレード:,-12.10
平均 勝ちトレード:,7.71
平均 負けトレード:,-8.36
最大 連勝数 (金額):,8 (65.16)
最大 連敗数 (金額):,9 (-82.79)
最大 連勝利益額 (数):,65.16 (8)
最大 連敗損失額 (数):,-82.79 (9)
平均 連勝利益額 (数):,3
平均 連敗数:,2
"Correlation (Profits,MFE):",0.90
"Correlation (Profits,MAE):",0.80
"Correlation (MFE,MAE):",0.7250
ポジション最短保持時間:,0:00:08
ポジション最長保持時間:,0:15:07
ポジション平均保持時間:,0:08:57
