episode_id,symbol,direction,t0_msc,processing_msc,action_msc,quote_msc,status,retcode,detail
tstech_candidate_202504_USDJPY_mh_15,USDJPY,-1,1743637963000,1743637963666,1743637963967,1743637963842,ENTRY,10009,order=2 deal=2 external=0 request=0
tstech_candidate_202504_USDJPY_mh_15,USDJPY,-1,1743637963000,1743637963666,1743638870193,1743638859125,CLOSE_TIME,10009,order=3 deal=3 external=0 request=1
tstech_candidate_202504_USDJPY_mh_17,USDJPY,1,1743651021500,1743651021570,1743651021972,1743651021951,ENTRY,10009,order=4 deal=4 external=0 request=2
tstech_candidate_202504_USDJPY_mh_18,USDJPY,1,1743652080250,1743652080402,1743652081013,1743652080942,ENTRY,10009,order=6 deal=6 external=0 request=3
tstech_candidate_202504_USDJPY_mh_21,USDJPY,-1,1743676239750,1743676240223,1743676240520,1743676240323,ENTRY,10009,order=8 deal=8 external=0 request=4
tstech_candidate_202504_GBPUSD_mh_6,GBPUSD,-1,1743680427000,1743680427720,1743680428008,1743680427865,ENTRY,10009,order=10 deal=10 external=0 request=5
tstech_candidate_202504_USDCHF_mh_5,USDCHF,-1,1743695978000,1743695978329,1743695978627,1743695978612,ENTRY,10009,order=12 deal=12 external=0 request=6
tstech_candidate_202504_GBPUSD_mh_10,GBPUSD,1,1743698007250,1743698007475,1743698008175,1743698008110,ENTRY,10009,order=14 deal=14 external=0 request=7
tstech_candidate_202504_GBPUSD_mh_10,GBPUSD,1,1743698007250,1743698007475,1743698908242,1743698907823,CLOSE_TIME,10009,order=15 deal=15 external=0 request=8
tstech_candidate_202504_GBPUSD_mh_11,GBPUSD,1,1743699495250,1743699495437,1743699495639,1743699495638,ENTRY,10009,order=16 deal=16 external=0 request=9
tstech_candidate_202504_USDCHF_mh_7,USDCHF,-1,1743700622000,1743700622292,1743700622502,1743700622461,ENTRY,10009,order=18 deal=18 external=0 request=10
tstech_candidate_202504_USDCHF_mh_7,USDCHF,-1,1743700622000,1743700622292,1743701522714,1743701522589,CLOSE_TIME,10009,order=19 deal=19 external=0 request=11
tstech_candidate_202504_USDJPY_mh_37,USDJPY,-1,1743704614500,1743704614869,1743704617738,1743704617242,ENTRY,10009,order=20 deal=20 external=0 request=12
tstech_candidate_202504_USDJPY_mh_38,USDJPY,-1,1743705773500,1743705773600,1743705774003,1743705773935,ENTRY,10009,order=22 deal=22 external=0 request=13
tstech_candidate_202504_USDCAD_mh_7,USDCAD,-1,1743705985500,1743705986262,1743705986262,0,OVERLAP_SKIP,0,
tstech_candidate_202504_USDJPY_mh_40,USDJPY,-1,1743708645750,1743708646450,1743708648157,1743708648097,ENTRY,10009,order=24 deal=24 external=0 request=14
tstech_candidate_202504_GBPUSD_mh_15,GBPUSD,1,1743708805000,1743708805133,1743708805133,0,OVERLAP_SKIP,0,
tstech_candidate_202504_EURUSD_mh_6,EURUSD,1,1743709175000,1743709175588,1743709175588,1743709175588,ENTRY,10009,order=26 deal=26 external=0 request=15
tstech_candidate_202504_EURUSD_mh_6,EURUSD,1,1743709175000,1743709175588,1743710075960,1743710075960,CLOSE_TIME,10009,order=27 deal=27 external=0 request=16
tstech_candidate_202504_USDJPY_mh_45,USDJPY,1,1743732851250,1743732851533,1743732854346,1743732854311,ENTRY,10009,order=28 deal=28 external=0 request=17
tstech_candidate_202504_USDJPY_mh_46,USDJPY,1,1743734764500,1743734764720,1743734765325,1743734765224,ENTRY,10009,order=30 deal=30 external=0 request=18
tstech_candidate_202504_GBPUSD_mh_22,GBPUSD,-1,1743749761250,1743749763954,1743749764156,1743749764028,COST_DISTANCE_REJECT,0,
tstech_candidate_202504_GBPUSD_mh_23,GBPUSD,-1,1743750731250,1743750731739,1743750733349,1743750733246,COST_DISTANCE_REJECT,0,
