symbol,trades,wins,win_rate,net_profit,total_r,expectancy_r,pf_money,pf_r,maxdd_closed_r,maxdd_closed_money,long,short,tp,sl,timeout,hold_mean_seconds,hold_max_seconds,commission,fee,swap,extra_cost_pips
AUDUSD,29,20,0.6896551724137931,65.88000000000001,6.885092789608005,0.2374169927451036,1.8233970753655793,1.8186201710840364,2.1248723186925433,20.940000000000005,5,24,13,7,9,573.2367931034482,902.559,0.0,0.0,0.0,0.0
EURUSD,67,38,0.5671641791044776,35.17,3.7847228349989717,0.05648840052237271,1.14083209866656,1.1430199978878641,5.6356236157209,53.97,27,40,26,24,17,501.76179104477615,903.955,0.0,0.0,0.0,0.0
GBPUSD,68,39,0.5735294117647058,83.84999999999998,8.628651016838404,0.1268919267182118,1.3547254420847787,1.3477512204034172,9.806250432909462,94.28999999999999,14,54,28,22,18,523.560794117647,903.812,0.0,0.0,0.0,0.0
USDCAD,36,17,0.4722222222222222,-3.4199999999999955,-0.3703028671393991,-0.010286190753872196,0.9767204410863793,0.9755902337074583,6.226713230274243,60.19,2,34,13,14,9,544.7545000000001,903.14,0.0,0.0,0.0,0.0
USDCHF,50,25,0.5,-24.21,-2.572709565029808,-0.05145419130059616,0.8842734225621415,0.885167492249569,6.661562050439384,61.47,4,46,17,20,13,531.35796,902.51,0.0,0.0,0.0,0.0
USDJPY,100,64,0.64,211.01,22.158232184194926,0.22158232184194926,1.7262683279410758,1.7250679234520598,3.379379555688942,32.61999999999993,41,59,45,27,28,561.99763,906.226,0.0,0.0,-2.63,0.0
