name,magic,deposit,pattern,period,from,to,set,ini,trades,win_rate,avg_win_r,avg_loss_r,expectancy_r,pf,max_consecutive_losses,max_dd_r,max_dd_percent,start_balance_usd,final_balance_usd,final_equity_usd,net_profit_usd,net_profit_percent,min_equity_usd,ruin_triggered,ruin_reason,min_margin_level,effective_risk_percent_avg,effective_risk_percent_max,planned_risk_money_avg,planned_risk_points_avg_exec,planned_risk_points_med_exec,min_lot_forced_count,min_lot_forced_executable_count,blocked_effective_risk_too_high_count,margin_insufficient_count,spread_too_wide,live_order_send_failed,live_position_tracking_failed,live_sl_tp_invalid,live_lot_invalid,invalid_lot_or_risk
g039_usd_small_100_baseline_025_2025,2026051801,100,baseline_025,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_baseline_025_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_baseline_025_2025.ini,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,False,,0.0,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,4073
g039_usd_small_100_baseline_025_2026_jan_apr,2026051802,100,baseline_025,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_baseline_025_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_baseline_025_2026_jan_apr.ini,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,False,,0.0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,1313
g039_usd_small_100_baseline_025_2024_2026,2026051803,100,baseline_025,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_baseline_025_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_baseline_025_2024_2026.ini,1,0.0,0.0,-1.0,-1.0,0.0,1,1.0,0.23,100.0,99.77,99.77,-0.23000000000000398,-0.23000000000000798,99.77,False,,0,0.23,0.23,0.23,36.0,36.0,0,0,0,0,1,0,0,0,0,9531
g039_usd_small_100_ladder_10_5_1_2025,2026051804,100,ladder_10_5_1,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_ladder_10_5_1_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_ladder_10_5_1_2025.ini,20,55.0,1.4935484464183537,-1.0369238795205082,0.354835899745866,1.7604456192310924,3,3.1682378314668203,33.69913122999543,100.0,166.97,166.97,66.97,66.97,100.0,True,small_capital_margin_insufficient_repeated,0,9.19552969019,9.8163943906,12.77,307.0,312.0,2,0,0,870,5,0,0,0,0,0
g039_usd_small_100_ladder_10_5_1_2026_jan_apr,2026051805,100,ladder_10_5_1,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_ladder_10_5_1_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_ladder_10_5_1_2026_jan_apr.ini,1,0.0,0.0,-1.0,-1.0,0.0,1,1.0,10.992769200703536,100.0,91.09,91.09,-8.909999999999997,-8.909999999999997,91.09,True,small_capital_margin_insufficient_repeated,0,8.91,8.91,8.91,175.0,175.0,0,0,0,370,5,0,0,0,0,0
g039_usd_small_100_ladder_10_5_1_2024_2026,2026051806,100,ladder_10_5_1,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_ladder_10_5_1_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_ladder_10_5_1_2024_2026.ini,4,50.0,1.515878793761729,-1.217146786022433,0.1493660038696481,1.245436303303676,1,1.430543572044866,19.9938219168,100.0,103.6,103.6,3.5999999999999943,3.600000000000003,91.97,True,small_capital_margin_insufficient_repeated,0,9.13225952645,9.8836577145,9.55,199.25,182.0,8,0,1,2621,13,0,0,0,0,0
g039_usd_small_100_safer_5_2_1_2025,2026051807,100,safer_5_2_1,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_safer_5_2_1_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_safer_5_2_1_2025.ini,78,46.15384615384615,1.4944577759129158,-1.0420117606458132,0.12866648699667688,1.2293179945794916,7,10.459131091928308,40.67675952731242,100.0,125.0,125.0,25.0,25.0,100.0,False,,0,4.478527187270513,5.3056234719,6.363846153846154,237.82051282051282,195.0,48,2,0,82,8,0,0,0,0,0
g039_usd_small_100_safer_5_2_1_2026_jan_apr,2026051808,100,safer_5_2_1,2026_jan_apr,2026.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_safer_5_2_1_2026_jan_apr.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_safer_5_2_1_2026_jan_apr.ini,25,52.0,1.4832971152568981,-1.0111202832543036,0.2859767639715212,1.5892324927189947,3,3.0075642965204237,17.642818525860513,100.0,137.96,137.96,37.96000000000001,37.960000000000015,95.55,True,small_capital_margin_insufficient_repeated,0,4.54007918534,7.4820880246,5.4552,225.08,175.0,13,2,0,53,7,0,0,0,0,0
g039_usd_small_100_safer_5_2_1_2024_2026,2026051809,100,safer_5_2_1,2024_2026,2024.01.01,2026.04.30,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_safer_5_2_1_2024_2026.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_safer_5_2_1_2024_2026.ini,51,45.09803921568628,1.4696122271120244,-1.0330237056649343,0.09561602872467456,1.1685902904750434,8,10.576983382565075,39.278700232101414,100.0,117.69,117.69,17.689999999999998,17.690000000000005,69.09,True,small_capital_margin_insufficient_repeated,0,4.375149728478432,4.9878075815,3.9474509803921567,170.92156862745097,148.0,122,0,1,327,25,0,0,0,0,0
g039_usd_small_500_baseline_025_2025,2026051810,500,baseline_025,2025,2025.01.01,2025.12.31,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_baseline_025_2025.set,C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_baseline_025_2025.ini,60,38.333333333333336,1.4956315110666123,-1.0367113390766807,-0.06597991318841852,0.8967943633043036,9,12.792135717825024,2.6080432765,500.0,496.06,496.06,-3.9399999999999977,-0.7879999999999998,493.3,False,,0,0.19826384082,0.2471268987,0.9911666666666666,134.55,141.0,0,0,0,0,10,0,0,0,0,2233
