"name","magic","deposit","pattern","period","from","to","set","ini"
"g039_usd_small_100_baseline_025_2025","2026051801","100","baseline_025","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_baseline_025_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_baseline_025_2025.ini"
"g039_usd_small_100_baseline_025_2026_jan_apr","2026051802","100","baseline_025","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_baseline_025_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_baseline_025_2026_jan_apr.ini"
"g039_usd_small_100_baseline_025_2024_2026","2026051803","100","baseline_025","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_baseline_025_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_baseline_025_2024_2026.ini"
"g039_usd_small_100_ladder_10_5_1_2025","2026051804","100","ladder_10_5_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_ladder_10_5_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_ladder_10_5_1_2025.ini"
"g039_usd_small_100_ladder_10_5_1_2026_jan_apr","2026051805","100","ladder_10_5_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_ladder_10_5_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_ladder_10_5_1_2026_jan_apr.ini"
"g039_usd_small_100_ladder_10_5_1_2024_2026","2026051806","100","ladder_10_5_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_ladder_10_5_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_ladder_10_5_1_2024_2026.ini"
"g039_usd_small_100_safer_5_2_1_2025","2026051807","100","safer_5_2_1","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_safer_5_2_1_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_safer_5_2_1_2025.ini"
"g039_usd_small_100_safer_5_2_1_2026_jan_apr","2026051808","100","safer_5_2_1","2026_jan_apr","2026.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_safer_5_2_1_2026_jan_apr.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_safer_5_2_1_2026_jan_apr.ini"
"g039_usd_small_100_safer_5_2_1_2024_2026","2026051809","100","safer_5_2_1","2024_2026","2024.01.01","2026.04.30","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_100_safer_5_2_1_2024_2026.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_100_safer_5_2_1_2024_2026.ini"
"g039_usd_small_500_baseline_025_2025","2026051810","500","baseline_025","2025","2025.01.01","2025.12.31","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\presets\g039_usd_small_500_baseline_025_2025.set","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\runs\2026-05-18-expected-value-nwave-g039-usd-small-capital\ini\g039_usd_small_500_baseline_025_2025.ini"
