feature,importance_mean,importance_std
spread_5s_atr,0.22810044680427902,0.07923268398156828
spread_10s_atr,0.2074736377024506,0.07076298044417458
spread_atr_t0,0.1988020873972567,0.07556640951820703
spread_30s_atr,0.15830538467295088,0.08417767154053372
realized_abs_60s_atr,0.09640374607314858,0.019280586766012936
return_900s_action_atr,0.08941779611358544,0.020352530893221223
atr14_m5_slope_3bars,0.08286340417599719,0.020282933682319676
range_1800s_atr,0.08078592082227563,0.06489735123549786
spread_efficiency_interaction,0.07142536944451558,0.0474877182044383
abs_return_10s_atr,0.0678377838105895,0.016040932046927116
return_120s_action_atr,0.06541640761678798,0.017285570636134215
return_60s_action_atr,0.062224834014298104,0.024185406731518654
realized_abs_30s_atr,0.05976215800961767,0.009452737210491564
tick_ratio_30s_prev30s,0.058863627875408595,0.03693081721451847
direction_consistency_30s_action,0.05873525811213676,0.015086035539377202
spread_percentile,0.05720899935871354,0.038967710475171884
m5_ema20_slope_action_atr,0.054676511769658154,0.013252030151616587
return_5s_action_atr,0.05201934900423011,0.012511573175890738
spread_change_10s_atr,0.050022655456348916,0.010099758648222887
flow_efficiency_interaction,0.04513223328999847,0.009825233591624474
day_range_position_action,0.04504254336498311,0.019010781670610225
range_30s_atr,0.03888700152286421,0.011467376511759582
shock_to_range_60s,0.036125891424474345,0.012844315703907955
tick_ratio_5s_prev5s,0.035540551792130705,0.03219548163923029
return_30s_vs_prev30s,0.033658239167871286,0.01849801013041808
range_180s_atr,0.03324946864955659,0.02329425427735929
distance_low_900s_action_atr,0.03317979156030506,0.012222611307497503
pre_extension_15m_action_atr,0.03293620311007537,0.006386508188489994
spread_change_30s_atr,0.03262815449665024,0.00884545171630775
return_30s_action_atr,0.030328206401451462,0.01598615617410274
range_position_900s_action,0.02969831154254966,0.00757642203222277
activity_percentile,0.02901545590457364,0.009734671185431164
return_300s_action_atr,0.0287955283382496,0.02527743936212806
pre_return_5m_action_atr,0.026596163692189444,0.013318280797758186
range_900s_atr,0.02600427234674868,0.012453580496201403
distance_high_900s_action_atr,0.024879429939035413,0.014209789317700748
range_300s_atr,0.024730997807511302,0.0051050861861724325
momentum_efficiency_interaction,0.023226020449419637,0.012905168686400965
range_3600s_atr,0.023092012445391986,0.01324682174693546
ticks_5s,0.022566285268681686,0.018324256436272387
accel_10s_vs_prev30s,0.02208133855192691,0.018732188026586473
session,0.021530020000873507,0.014274121520218402
atr_spread_state,0.0197267159203398,0.013040090778393543
ticks_10s,0.01927085087052698,0.008488740448260559
confirmation_retention,0.018757133953037852,0.02633569320354497
range_60s_atr,0.0187442860467406,0.00803676237307094
ticks_30s,0.01855817205567385,0.038482519057511363
severity,0.01761936560643477,0.04056213594816757
return_10s_action_atr,0.01228430160590328,0.016507791276381457
spread_contraction_activity,0.01095281378248979,0.027865700427161612
realized_abs_300s_atr,0.006181544371158832,0.014455568662273901
ticks_60s,0.0061049026256302045,0.013406440431192698
candidate_direction,0.006049020000303928,0.00575320520586192
spread_change_5s_atr,0.001546652839530116,0.01439894588594878
tick_activity_ratio,0.0,0.0
action,0.0,0.0
m15_alignment_action,0.0,0.0
detection_efficiency,0.0,0.0
realized_abs_180s_atr,-0.0012638430542959433,0.004398776738049436
atr_percentile,-0.003502516290600932,0.004550603021162433
atr14_m5,-0.024323750273170974,0.04828427689660766
ticks_120s,-0.04775050498473552,0.013897600828787118
