check,expected,actual,tolerance,status
episode_count,2696.0,2696.0,0.0,PASS
action_rows,5392.0,5392.0,0.0,PASS
duplicate_action_key,0.0,0.0,0.0,PASS
continuation_tp,84.0,84.0,0.0,PASS
reversal_tp,104.0,104.0,0.0,PASS
both_tp,0.0,0.0,0.0,PASS
both_sl,2508.0,2508.0,0.0,PASS
oof_episode_count,1620.0,1620.0,0.0,PASS
top25_trades,25.0,25.0,0.0,PASS
top25_tp,4.0,4.0,0.0,PASS
top25_mean_r,-0.584,-0.584,1e-12,PASS
top50_trades,50.0,50.0,0.0,PASS
top50_tp,6.0,6.0,0.0,PASS
top50_mean_r,-0.688,-0.688,1e-12,PASS
top75_trades,75.0,75.0,0.0,PASS
top75_tp,10.0,10.0,0.0,PASS
top75_mean_r,-0.6533333333333333,-0.6533333333333333,1e-12,PASS
top100_trades,100.0,100.0,0.0,PASS
top100_tp,10.0,10.0,0.0,PASS
top100_mean_r,-0.74,-0.74,1e-12,PASS
top150_trades,150.0,150.0,0.0,PASS
top150_tp,11.0,11.0,0.0,PASS
top150_mean_r,-0.8093333333333333,-0.8093333333333333,1e-12,PASS
top200_trades,200.0,200.0,0.0,PASS
top200_tp,17.0,17.0,0.0,PASS
top200_mean_r,-0.779,-0.779,1e-12,PASS
top300_trades,300.0,300.0,0.0,PASS
top300_tp,20.0,20.0,0.0,PASS
top300_mean_r,-0.8266666666666667,-0.8266666666666667,1e-12,PASS
top500_trades,500.0,500.0,0.0,PASS
top500_tp,23.0,23.0,0.0,PASS
top500_mean_r,-0.8804000000000001,-0.8804000000000001,1e-12,PASS
step15l_top327_cont_tp,23.0,23.0,0.0,PASS
step15l_top327_rev_tp,22.0,22.0,0.0,PASS
step15l_top327_both_sl,282.0,282.0,0.0,PASS
