transformed_feature,gain,split
num__spread_atr_t0,21721.53166694939,91
num__spread_10s_atr,11980.058590888977,50
num__spread_30s_atr,7003.2204549610615,62
num__spread_5s_atr,6964.438879966736,68
num__momentum_efficiency_interaction,2008.4721184968948,48
num__abs_return_10s_atr,1851.3931460380554,68
num__range_1800s_atr,1271.8915817439556,65
num__return_5s_action_atr,1232.578622072935,41
num__atr14_m5,1208.1364485025406,51
num__accel_10s_vs_prev30s,1005.2511674165726,56
num__spread_efficiency_interaction,984.0200591087341,24
num__flow_efficiency_interaction,972.6142072677612,48
num__atr14_m5_slope_3bars,835.6719475984573,43
num__range_180s_atr,834.0814862251282,34
num__realized_abs_60s_atr,833.4618487358093,42
num__range_30s_atr,821.1036713123322,25
num__return_120s_action_atr,801.3225936591625,41
num__tick_ratio_30s_prev30s,750.8672763109207,45
num__severity,747.5047775506973,46
num__return_900s_action_atr,729.8953022658825,40
num__confirmation_retention,690.6014002561569,43
num__tick_ratio_5s_prev5s,687.5416501760483,39
num__return_10s_action_atr,671.72187769413,29
num__range_position_900s_action,662.6617820262909,27
num__m5_ema20_slope_action_atr,658.2648064494133,42
num__realized_abs_30s_atr,640.720317363739,37
num__spread_percentile,628.6820631250739,28
num__distance_low_900s_action_atr,624.2738484144211,32
num__ticks_5s,618.5479846000671,16
num__shock_to_range_60s,617.7548112869263,43
num__range_60s_atr,617.5236028432846,25
num__return_60s_action_atr,594.5941066741943,36
num__return_300s_action_atr,560.2746577262878,28
num__return_30s_vs_prev30s,544.9868748188019,34
num__range_3600s_atr,544.738151833415,41
num__direction_consistency_30s_action,528.6111176013947,28
num__return_30s_action_atr,508.78915774822235,28
num__realized_abs_300s_atr,506.17969739437103,23
num__spread_change_5s_atr,494.5368003845215,25
num__ticks_30s,493.79256877303123,31
num__spread_change_10s_atr,484.57592964172363,30
num__activity_percentile,473.5230668783188,29
num__range_300s_atr,472.42621183395386,17
num__range_900s_atr,469.4610733985901,25
num__pre_extension_15m_action_atr,435.1497941017151,21
num__ticks_120s,423.79557633399963,22
num__day_range_position_action,414.0187771320343,29
num__ticks_60s,408.05358558893204,23
num__pre_return_5m_action_atr,407.6651390194893,25
num__distance_high_900s_action_atr,386.1111559867859,24
num__ticks_10s,358.19869899749756,15
num__spread_contraction_activity,348.71577167510986,19
num__spread_change_30s_atr,234.67540168762207,16
num__atr_spread_state,224.24255061149597,15
num__atr_percentile,170.20543956756592,9
cat__session_LONDON,119.40169906616211,4
num__realized_abs_180s_atr,79.19016027450562,6
cat__candidate_direction_LONG,71.37070083618164,3
cat__session_OTHER,32.45870018005371,2
cat__candidate_direction_SHORT,21.097000122070312,1
num__m15_alignment_action,18.118736684322357,2
num__tick_activity_ratio,0.0,0
num__detection_efficiency,0.0,0
cat__session_NEW_YORK,0.0,0
cat__session_OVERLAP,0.0,0
cat__session_TOKYO,0.0,0
cat__action_CONTINUATION,0.0,0
cat__action_REVERSAL,0.0,0
