policy,policy_value,trades,market_clusters,continuation_selected,reversal_selected,tp,sl,timeout,tradeable_episodes_selected,direction_correct,wrong_direction_selected,both_sl_selected,win_rate,mean_r,total_r,pf,max_consecutive_losses,cluster_bootstrap_mean_r_low,cluster_bootstrap_mean_r_high,positive_folds,observed_folds,median_r,p5_r,p95_r,symbol_mix,session_mix,mean_r_after_0.02r_cost,mean_r_after_0.05r_cost,mean_r_after_0.10r_cost,model_scope
TOP_COUNT,25,25,25,5,20,4,21,0,7,4,3,18,0.16,-0.584,-14.6,0.3047619047619048,11,-0.8959999999999999,-0.16799999999999998,0,4,-1.0,-1.0,1.6,EURUSD:1;USDJPY:24,LONDON:5;NEW_YORK:15;OTHER:2;OVERLAP:1;TOKYO:2,-0.604,-0.634,-0.6839999999999999,GLOBAL_NO_SYMBOL
TOP_COUNT,50,50,50,7,43,6,44,0,12,6,6,38,0.12,-0.688,-34.4,0.21818181818181817,18,-0.8959999999999999,-0.428,0,4,-1.0,-1.0,1.6,EURUSD:1;USDJPY:49,LONDON:8;NEW_YORK:24;OTHER:4;OVERLAP:7;TOKYO:7,-0.708,-0.738,-0.7879999999999999,GLOBAL_NO_SYMBOL
TOP_COUNT,75,75,75,12,63,10,65,0,16,10,6,59,0.13333333333333333,-0.6533333333333333,-49.0,0.24615384615384617,16,-0.8266666666666667,-0.4453333333333333,0,4,-1.0,-1.0,1.6,EURUSD:2;USDJPY:73,LONDON:12;NEW_YORK:35;OTHER:4;OVERLAP:15;TOKYO:9,-0.6733333333333333,-0.7033333333333334,-0.7533333333333333,GLOBAL_NO_SYMBOL
TOP_COUNT,100,100,100,19,81,10,90,0,18,10,8,82,0.1,-0.74,-74.0,0.17777777777777778,22,-0.87,-0.584,0,4,-1.0,-1.0,1.6,EURUSD:4;USDJPY:96,LONDON:18;NEW_YORK:46;OTHER:4;OVERLAP:21;TOKYO:11,-0.76,-0.79,-0.84,GLOBAL_NO_SYMBOL
TOP_COUNT,150,150,150,31,119,11,139,0,25,11,14,125,0.07333333333333333,-0.8093333333333333,-121.4,0.12661870503597122,38,-0.9133333333333333,-0.6880000000000001,0,4,-1.0,-1.0,1.6,EURUSD:12;USDJPY:138,LONDON:25;NEW_YORK:75;OTHER:5;OVERLAP:29;TOKYO:16,-0.8293333333333334,-0.8593333333333334,-0.9093333333333333,GLOBAL_NO_SYMBOL
TOP_COUNT,200,200,199,41,159,17,183,0,35,17,18,165,0.085,-0.779,-155.8,0.14863387978142079,53,-0.8706467661691543,-0.6765764925373134,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:20;USDCAD:1;USDJPY:178,LONDON:37;NEW_YORK:94;OTHER:6;OVERLAP:42;TOKYO:21,-0.799,-0.8290000000000001,-0.879,GLOBAL_NO_SYMBOL
TOP_COUNT,300,300,298,63,237,20,280,0,42,20,22,258,0.06666666666666667,-0.8266666666666667,-248.0,0.11428571428571431,83,-0.8966972657530654,-0.7495016611295682,0,4,-1.0,-1.0,1.6,AUDUSD:3;EURUSD:29;USDCAD:3;USDCHF:1;USDJPY:264,LONDON:53;NEW_YORK:128;OTHER:6;OVERLAP:64;TOKYO:49,-0.8466666666666667,-0.8766666666666667,-0.9266666666666666,GLOBAL_NO_SYMBOL
TOP_COUNT,500,500,482,96,404,23,477,0,47,23,24,453,0.046,-0.8804000000000001,-440.20000000000005,0.07714884696016774,84,-0.9263195108984582,-0.8321956605222735,0,4,-1.0,-1.0,-1.0,AUDUSD:20;EURUSD:56;USDCAD:15;USDCHF:10;USDJPY:399,LONDON:91;NEW_YORK:164;OTHER:17;OVERLAP:116;TOKYO:112,-0.9004000000000001,-0.9304000000000001,-0.9804,GLOBAL_NO_SYMBOL
TOP_COUNT,25,25,25,7,18,3,22,0,9,3,6,16,0.12,-0.688,-17.2,0.21818181818181823,13,-1.0,-0.3734000000000023,0,3,-1.0,-1.0,1.6,USDJPY:25,LONDON:5;NEW_YORK:11;OTHER:3;OVERLAP:3;TOKYO:3,-0.708,-0.738,-0.7879999999999999,USDJPY_ONLY
TOP_COUNT,50,50,50,15,35,6,44,0,13,6,7,37,0.12,-0.688,-34.4,0.21818181818181817,18,-0.8959999999999999,-0.428,1,4,-1.0,-1.0,1.6,USDJPY:50,LONDON:9;NEW_YORK:24;OTHER:3;OVERLAP:8;TOKYO:6,-0.708,-0.738,-0.7879999999999999,USDJPY_ONLY
