policy,policy_value,trades,market_clusters,continuation_selected,reversal_selected,tp,sl,timeout,tradeable_episodes_selected,direction_correct,wrong_direction_selected,both_sl_selected,win_rate,mean_r,total_r,pf,max_consecutive_losses,cluster_bootstrap_mean_r_low,cluster_bootstrap_mean_r_high,positive_folds,observed_folds,median_r,p5_r,p95_r,symbol_mix,session_mix,mean_r_after_0.02r_cost,mean_r_after_0.05r_cost,mean_r_after_0.10r_cost,scope,fold,mean_score,median_score
ALL,ALL,408,381,91,317,12,396,0,16,12,4,392,0.029411764705882353,-0.9235294117647059,-376.8,0.04848484848484849,109,-0.9624999999999999,-0.877099067164179,0,1,-1.0,-1.0,-1.0,AUDUSD:69;EURUSD:37;USDCAD:94;USDCHF:53;USDJPY:155,LONDON:117;NEW_YORK:90;OTHER:16;OVERLAP:98;TOKYO:87,-0.943529411764706,-0.973529411764706,-1.023529411764706,ALL_BEST_ACTION,1,0.1073189471567413,0.022582266644974883
ALL,ALL,402,380,79,323,4,398,0,10,4,6,392,0.009950248756218905,-0.9741293532338309,-391.6,0.016080402010050253,253,-0.9935806422185731,-0.9440157825892396,0,1,-1.0,-1.0,-1.0,AUDUSD:77;EURUSD:37;USDCAD:107;USDCHF:48;USDJPY:133,LONDON:109;NEW_YORK:90;OTHER:17;OVERLAP:88;TOKYO:98,-0.9941293532338309,-1.024129353233831,-1.074129353233831,ALL_BEST_ACTION,2,0.0917879462601654,0.011608186765262655
ALL,ALL,404,381,106,298,3,401,0,6,3,3,398,0.007425742574257425,-0.9806930693069307,-396.2,0.011970074812967583,280,-1.0,-0.9546106296758103,0,1,-1.0,-1.0,-1.0,AUDUSD:79;EURUSD:33;USDCAD:127;USDCHF:29;USDJPY:136,LONDON:95;NEW_YORK:130;OTHER:12;OVERLAP:65;TOKYO:102,-1.0006930693069307,-1.0306930693069307,-1.0806930693069308,ALL_BEST_ACTION,3,0.06144333088390306,0.011020852411997979
ALL,ALL,406,381,113,293,7,399,0,18,7,11,388,0.017241379310344827,-0.9551724137931035,-387.8,0.02807017543859649,194,-0.9870967741935485,-0.9191192242794074,0,1,-1.0,-1.0,-1.0,AUDUSD:80;EURUSD:44;USDCAD:120;USDCHF:37;USDJPY:125,LONDON:87;NEW_YORK:107;OTHER:5;OVERLAP:87;TOKYO:120,-0.9751724137931035,-1.0051724137931035,-1.0551724137931036,ALL_BEST_ACTION,4,0.11894258553447441,0.009493252346528126
