rows,positives,positive_rate,average_precision,roc_auc,model,feature_group,with_symbol,symbol_scope,fold,status,train_action_rows,validation_action_rows,train_episodes,validation_episodes,train_clusters,validation_clusters,episode_overlap,cluster_overlap,train_max_msc,validation_min_msc
816,16,0.0196078431372549,0.1229599077131711,0.8719531250000001,LOGISTIC,A_STEP15L_EXISTING,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.12514094839526319,0.884256926952141,LOGISTIC,A_STEP15L_EXISTING,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.03659768790125229,0.8040315876974231,LOGISTIC,A_STEP15L_EXISTING,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.12423040943485782,0.8823117828155611,LOGISTIC,A_STEP15L_EXISTING,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.13798872461833236,0.8401562499999999,LIGHTGBM,A_STEP15L_EXISTING,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.11799389119376172,0.8860201511335013,LIGHTGBM,A_STEP15L_EXISTING,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.0419309805135285,0.7647547797173733,LIGHTGBM,A_STEP15L_EXISTING,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.1377721808123888,0.8783935068569829,LIGHTGBM,A_STEP15L_EXISTING,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.12492719035830699,0.88234375,LOGISTIC,B_ACTION_MOMENTUM,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.08002263950756242,0.863727959697733,LOGISTIC,B_ACTION_MOMENTUM,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.04447130426943904,0.8266832917705735,LOGISTIC,B_ACTION_MOMENTUM,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.16833800745268368,0.8774839070808844,LOGISTIC,B_ACTION_MOMENTUM,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
816,16,0.0196078431372549,0.12749169022974927,0.848125,LIGHTGBM,B_ACTION_MOMENTUM,False,ALL,1,OK,2152,816,1076,408,1014,381,0,0,1741854894266,1741855230520
804,10,0.012437810945273632,0.20181894814537024,0.9102015113350126,LIGHTGBM,B_ACTION_MOMENTUM,False,ALL,2,OK,2968,804,1484,402,1395,380,0,0,1742305716880,1742307196326
808,6,0.007425742574257425,0.08297674620544838,0.8979634247714048,LIGHTGBM,B_ACTION_MOMENTUM,False,ALL,3,OK,3772,808,1886,404,1775,381,0,0,1742572915876,1742573024652
812,18,0.022167487684729065,0.10564770051538848,0.8828715365239295,LIGHTGBM,B_ACTION_MOMENTUM,False,ALL,4,OK,4580,812,2290,406,2156,381,0,0,1743045603499,1743045924836
