policy,policy_value,trades,market_clusters,continuation_selected,reversal_selected,tp,sl,timeout,tradeable_episodes_selected,direction_correct,wrong_direction_selected,both_sl_selected,win_rate,mean_r,total_r,pf,max_consecutive_losses,cluster_bootstrap_mean_r_low,cluster_bootstrap_mean_r_high,positive_folds,observed_folds,median_r,p5_r,p95_r,symbol_mix,session_mix,mean_r_after_0.02r_cost,mean_r_after_0.05r_cost,mean_r_after_0.10r_cost,model_scope
SCORE_THRESHOLD,0.2,248,246,53,195,17,231,0,39,17,22,209,0.06854838709677419,-0.8217741935483871,-203.8,0.11774891774891776,64,-0.9056451612903226,-0.7368421052631579,0,4,-1.0,-1.0,1.6,AUDUSD:2;EURUSD:23;USDCAD:1;USDCHF:1;USDJPY:221,LONDON:45;NEW_YORK:107;OTHER:6;OVERLAP:56;TOKYO:34,-0.8417741935483871,-0.8717741935483871,-0.9217741935483871,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.25,217,216,43,174,17,200,0,36,17,19,181,0.07834101382488479,-0.7963133640552996,-172.8,0.136,56,-0.880184331797235,-0.7111111111111112,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:21;USDCAD:1;USDJPY:194,LONDON:39;NEW_YORK:98;OTHER:6;OVERLAP:45;TOKYO:29,-0.8163133640552996,-0.8463133640552997,-0.8963133640552996,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.3,196,195,41,155,17,179,0,35,17,18,161,0.08673469387755102,-0.7744897959183674,-151.8,0.15195530726256984,52,-0.868020304568528,-0.6700086760592563,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:20;USDCAD:1;USDJPY:174,LONDON:35;NEW_YORK:93;OTHER:6;OVERLAP:42;TOKYO:20,-0.7944897959183674,-0.8244897959183675,-0.8744897959183674,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.35,170,169,35,135,12,158,0,30,12,18,140,0.07058823529411765,-0.8164705882352942,-138.8,0.12151898734177217,42,-0.9082352941176469,-0.711111111111111,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:15;USDJPY:154,LONDON:28;NEW_YORK:84;OTHER:5;OVERLAP:35;TOKYO:18,-0.8364705882352942,-0.8664705882352942,-0.9164705882352941,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.4,141,141,25,116,11,130,0,23,11,12,118,0.07801418439716312,-0.7971631205673759,-112.4,0.1353846153846154,37,-0.9078014184397163,-0.6865248226950355,0,4,-1.0,-1.0,1.6,EURUSD:10;USDJPY:131,LONDON:23;NEW_YORK:70;OTHER:5;OVERLAP:27;TOKYO:16,-0.817163120567376,-0.847163120567376,-0.8971631205673759,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.5,105,105,19,86,10,95,0,18,10,8,87,0.09523809523809523,-0.7523809523809524,-79.0,0.16842105263157894,23,-0.8761904761904762,-0.6038095238095238,0,4,-1.0,-1.0,1.6,EURUSD:5;USDJPY:100,LONDON:19;NEW_YORK:49;OTHER:4;OVERLAP:22;TOKYO:11,-0.7723809523809524,-0.8023809523809524,-0.8523809523809524,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.6,70,70,11,59,9,61,0,15,9,6,55,0.12857142857142856,-0.6657142857142857,-46.6,0.2360655737704918,14,-0.8514285714285714,-0.44285714285714284,0,4,-1.0,-1.0,1.6,EURUSD:2;USDJPY:68,LONDON:12;NEW_YORK:33;OTHER:4;OVERLAP:12;TOKYO:9,-0.6857142857142857,-0.7157142857142857,-0.7657142857142857,GLOBAL_NO_SYMBOL
SCORE_THRESHOLD,0.2,139,139,43,96,14,125,0,25,14,11,114,0.10071942446043165,-0.7381294964028777,-102.60000000000001,0.17920000000000005,30,-0.8690647482014389,-0.5884892086330936,0,4,-1.0,-1.0,1.6,USDJPY:139,LONDON:22;NEW_YORK:65;OTHER:4;OVERLAP:29;TOKYO:19,-0.7581294964028777,-0.7881294964028778,-0.8381294964028777,USDJPY_ONLY
SCORE_THRESHOLD,0.25,112,112,36,76,12,100,0,23,12,11,89,0.10714285714285714,-0.7214285714285715,-80.80000000000001,0.19200000000000003,26,-0.8607142857142858,-0.5589285714285716,0,4,-1.0,-1.0,1.6,USDJPY:112,LONDON:18;NEW_YORK:55;OTHER:4;OVERLAP:22;TOKYO:13,-0.7414285714285715,-0.7714285714285716,-0.8214285714285715,USDJPY_ONLY
SCORE_THRESHOLD,0.3,91,91,32,59,11,80,0,22,11,11,69,0.12087912087912088,-0.6857142857142858,-62.400000000000006,0.22000000000000003,21,-0.8571428571428571,-0.5142857142857142,1,4,-1.0,-1.0,1.6,USDJPY:91,LONDON:14;NEW_YORK:41;OTHER:4;OVERLAP:20;TOKYO:12,-0.7057142857142858,-0.7357142857142859,-0.7857142857142858,USDJPY_ONLY
SCORE_THRESHOLD,0.35,71,71,23,48,9,62,0,19,9,10,52,0.1267605633802817,-0.6704225352112676,-47.6,0.23225806451612904,16,-0.8535211267605634,-0.4507042253521127,1,4,-1.0,-1.0,1.6,USDJPY:71,LONDON:13;NEW_YORK:31;OTHER:4;OVERLAP:14;TOKYO:9,-0.6904225352112676,-0.7204225352112676,-0.7704225352112676,USDJPY_ONLY
SCORE_THRESHOLD,0.4,62,62,20,42,7,55,0,16,7,9,46,0.11290322580645161,-0.7064516129032258,-43.8,0.20363636363636362,16,-0.8741935483870968,-0.49677419354838703,1,4,-1.0,-1.0,1.6,USDJPY:62,LONDON:11;NEW_YORK:28;OTHER:4;OVERLAP:11;TOKYO:8,-0.7264516129032258,-0.7564516129032258,-0.8064516129032258,USDJPY_ONLY
SCORE_THRESHOLD,0.5,41,41,12,29,3,38,0,10,3,7,31,0.07317073170731707,-0.8097560975609757,-33.2,0.12631578947368424,23,-1.0,-0.5560975609756098,0,3,-1.0,-1.0,1.6,USDJPY:41,LONDON:6;NEW_YORK:20;OTHER:3;OVERLAP:6;TOKYO:6,-0.8297560975609757,-0.8597560975609757,-0.9097560975609756,USDJPY_ONLY
SCORE_THRESHOLD,0.6,23,23,5,18,3,20,0,9,3,6,14,0.13043478260869565,-0.6608695652173914,-15.200000000000001,0.24000000000000005,12,-1.0,-0.3217391304347826,0,3,-1.0,-1.0,1.6,USDJPY:23,LONDON:5;NEW_YORK:9;OTHER:3;OVERLAP:3;TOKYO:3,-0.6808695652173914,-0.7108695652173914,-0.7608695652173914,USDJPY_ONLY
