check,expected,actual,status
episode_count,2696,2696,PASS
action_row_count,5392,5392,PASS
continuation_tp_first,84,84,PASS
reversal_tp_first,104,104,PASS
both_tp_first,0,0,PASS
timeout_action_rows,0,0,PASS
duplicate_action_key,0,0,PASS
feature_timestamp_violation,0,0,PASS
target_leakage_predictor,0,0,PASS
episode_fold_overlap,0,0,PASS
cluster_fold_overlap,0,0,PASS
oof_chronology_violation,0,0,PASS
oof_episode_count,1620,1620,PASS
top327_continuation_tp,23,23,PASS
top327_reversal_tp,22,22,PASS
top327_both_sl,282,282,PASS
orders,0,0,PASS
trades,0,0,PASS
