policy,policy_value,trades,market_clusters,continuation_selected,reversal_selected,tp,sl,timeout,tradeable_episodes_selected,direction_correct,wrong_direction_selected,both_sl_selected,win_rate,mean_r,total_r,pf,max_consecutive_losses,cluster_bootstrap_mean_r_low,cluster_bootstrap_mean_r_high,positive_folds,observed_folds,median_r,p5_r,p95_r,symbol_mix,session_mix,mean_r_after_0.02r_cost,mean_r_after_0.05r_cost,mean_r_after_0.10r_cost,scope,week,mean_score,median_score
ALL,ALL,244,223,59,185,10,234,0,13,10,3,231,0.040983606557377046,-0.8934426229508197,-218.0,0.06837606837606838,48,-0.9486414958482703,-0.8236978422163229,0,1,-1.0,-1.0,-1.0,AUDUSD:41;EURUSD:28;USDCAD:54;USDCHF:38;USDJPY:83,LONDON:63;NEW_YORK:65;OTHER:11;OVERLAP:71;TOKYO:34,-0.9134426229508197,-0.9434426229508197,-0.9934426229508196,ALL_BEST_ACTION,2025-03-10/2025-03-16,0.11840386273468187,0.022582266644974883
ALL,ALL,597,569,126,471,7,590,0,14,7,7,583,0.011725293132328308,-0.9695142378559464,-578.8,0.018983050847457626,262,-0.991080999318593,-0.947205884883421,0,3,-1.0,-1.0,-1.0,AUDUSD:110;EURUSD:50;USDCAD:156;USDCHF:65;USDJPY:216,LONDON:163;NEW_YORK:139;OTHER:22;OVERLAP:122;TOKYO:151,-0.9895142378559464,-1.0195142378559463,-1.0695142378559463,ALL_BEST_ACTION,2025-03-17/2025-03-23,0.09172097607223473,0.013932413810877835
ALL,ALL,613,572,164,449,4,609,0,11,4,7,602,0.0065252854812398045,-0.9830342577487765,-602.6,0.010509031198686371,263,-0.9958133727884182,-0.9657880646839505,0,2,-1.0,-1.0,-1.0,AUDUSD:124;EURUSD:55;USDCAD:192;USDCHF:50;USDJPY:192,LONDON:149;NEW_YORK:175;OTHER:14;OVERLAP:115;TOKYO:160,-1.0030342577487765,-1.0330342577487766,-1.0830342577487766,ALL_BEST_ACTION,2025-03-24/2025-03-30,0.06796354645195034,0.009850343648603632
ALL,ALL,166,159,40,126,5,161,0,12,5,7,154,0.030120481927710843,-0.9216867469879518,-153.0,0.049689440993788817,41,-0.9841487435328898,-0.8496670385018423,0,1,-1.0,-1.0,-1.0,AUDUSD:30;EURUSD:18;USDCAD:46;USDCHF:14;USDJPY:58,LONDON:33;NEW_YORK:38;OTHER:3;OVERLAP:30;TOKYO:62,-0.9416867469879519,-0.9716867469879519,-1.0216867469879518,ALL_BEST_ACTION,2025-03-31/2025-04-06,0.17162084965782126,0.011502570510850244
ALL,ALL,17,17,2,15,4,13,0,4,4,0,13,0.23529411764705882,-0.388235294117647,-6.6,0.49230769230769234,6,-0.8470588235294118,0.07058823529411769,0,1,-1.0,-1.0,1.6,EURUSD:2;USDJPY:15,LONDON:4;NEW_YORK:8;OVERLAP:5,-0.40823529411764703,-0.438235294117647,-0.488235294117647,TOP_100,2025-03-10/2025-03-16,0.649443374080128,0.5839899390411464
ALL,ALL,37,37,8,29,2,35,0,5,2,3,32,0.05405405405405406,-0.8594594594594595,-31.8,0.09142857142857143,16,-1.0,-0.6486486486486487,0,3,-1.0,-1.0,-0.4800000000000111,EURUSD:1;USDJPY:36,LONDON:7;NEW_YORK:15;OTHER:4;OVERLAP:10;TOKYO:1,-0.8794594594594595,-0.9094594594594595,-0.9594594594594594,TOP_100,2025-03-17/2025-03-23,0.6636664454924155,0.6562930740493658
ALL,ALL,20,20,6,14,1,19,0,3,1,2,17,0.05,-0.8699999999999999,-17.4,0.08421052631578947,14,-1.0,-0.61,0,2,-1.0,-1.0,-0.8699999999999981,EURUSD:1;USDJPY:19,NEW_YORK:16;OVERLAP:3;TOKYO:1,-0.8899999999999999,-0.9199999999999999,-0.9699999999999999,TOP_100,2025-03-24/2025-03-30,0.6517479445141369,0.6061790495074298
ALL,ALL,26,26,3,23,3,23,0,6,3,3,20,0.11538461538461539,-0.7,-18.2,0.2086956521739131,8,-1.0,-0.39999999999999997,0,1,-1.0,-1.0,1.6,USDJPY:26,LONDON:7;NEW_YORK:7;OVERLAP:3;TOKYO:9,-0.72,-0.75,-0.7999999999999999,TOP_100,2025-03-31/2025-04-06,0.7212295784043465,0.7360185238944592
ALL,ALL,40,39,7,33,6,34,0,7,6,1,33,0.15,-0.61,-24.4,0.2823529411764706,8,-0.8699999999999999,-0.30200304878048817,0,1,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:5;USDJPY:34,LONDON:11;NEW_YORK:17;OVERLAP:11;TOKYO:1,-0.63,-0.66,-0.71,TOP_200,2025-03-10/2025-03-16,0.5129619436039234,0.5047051812489457
ALL,ALL,66,66,17,49,3,63,0,10,3,7,56,0.045454545454545456,-0.8818181818181818,-58.2,0.0761904761904762,34,-1.0,-0.7636363636363637,0,3,-1.0,-1.0,-1.0,EURUSD:4;USDCAD:1;USDJPY:61,LONDON:15;NEW_YORK:26;OTHER:6;OVERLAP:14;TOKYO:5,-0.9018181818181819,-0.9318181818181819,-0.9818181818181818,TOP_200,2025-03-17/2025-03-23,0.5433223022199446,0.5516368775596481
ALL,ALL,54,54,9,45,3,51,0,7,3,4,47,0.05555555555555555,-0.8555555555555556,-46.2,0.09411764705882354,21,-1.0,-0.7111111111111109,0,2,-1.0,-1.0,-0.09000000000001473,EURUSD:7;USDJPY:47,LONDON:2;NEW_YORK:39;OVERLAP:9;TOKYO:4,-0.8755555555555556,-0.9055555555555557,-0.9555555555555556,TOP_200,2025-03-24/2025-03-30,0.4932558826648986,0.48094039524529403
ALL,ALL,40,40,8,32,5,35,0,11,5,6,29,0.125,-0.675,-27.0,0.22857142857142856,10,-0.9349999999999999,-0.41500000000000004,0,1,-1.0,-1.0,1.6,EURUSD:4;USDJPY:36,LONDON:9;NEW_YORK:12;OVERLAP:8;TOKYO:11,-0.6950000000000001,-0.7250000000000001,-0.775,TOP_200,2025-03-31/2025-04-06,0.6001954069207155,0.6276475802832995
ALL,ALL,58,57,11,47,9,49,0,11,9,2,47,0.15517241379310345,-0.596551724137931,-34.6,0.2938775510204082,11,-0.8207656341320865,-0.3275862068965517,0,1,-1.0,-1.0,1.6,AUDUSD:2;EURUSD:9;USDCAD:1;USDJPY:46,LONDON:14;NEW_YORK:24;OVERLAP:15;TOKYO:5,-0.616551724137931,-0.646551724137931,-0.696551724137931,TOP_300,2025-03-10/2025-03-16,0.4127345820990183,0.39601710755886654
