policy,policy_value,trades,market_clusters,continuation_selected,reversal_selected,tp,sl,timeout,tradeable_episodes_selected,direction_correct,wrong_direction_selected,both_sl_selected,win_rate,mean_r,total_r,pf,max_consecutive_losses,cluster_bootstrap_mean_r_low,cluster_bootstrap_mean_r_high,positive_folds,observed_folds,median_r,p5_r,p95_r,symbol_mix,session_mix,mean_r_after_0.02r_cost,mean_r_after_0.05r_cost,mean_r_after_0.10r_cost,method,selection
ALL,ALL,1620,1523,1620,0,24,1596,0,50,24,26,1570,0.014814814814814815,-0.9614814814814814,-1557.6,0.024060150375939855,259,-0.9745771386970841,-0.9466985390338918,0,4,-1.0,-1.0,-1.0,AUDUSD:305;EURUSD:151;USDCAD:448;USDCHF:167;USDJPY:549,LONDON:408;NEW_YORK:417;OTHER:50;OVERLAP:338;TOKYO:407,-0.9814814814814814,-1.0114814814814814,-1.0614814814814815,ALWAYS_CONTINUATION,OOF_ALL
ALL,ALL,1620,1523,0,1620,26,1594,0,50,26,24,1570,0.016049382716049384,-0.9582716049382716,-1552.3999999999999,0.026097867001254712,360,-0.9725124378109454,-0.9404647507840848,0,4,-1.0,-1.0,-1.0,AUDUSD:305;EURUSD:151;USDCAD:448;USDCHF:167;USDJPY:549,LONDON:408;NEW_YORK:417;OTHER:50;OVERLAP:338;TOKYO:407,-0.9782716049382716,-1.0082716049382716,-1.0582716049382717,ALWAYS_REVERSAL,OOF_ALL
ALL,ALL,25,25,25,0,3,22,0,7,3,4,18,0.12,-0.688,-17.2,0.21818181818181823,12,-1.0,-0.37599999999999995,0,3,-1.0,-1.0,1.6,USDJPY:25,LONDON:6;NEW_YORK:13;OTHER:3;TOKYO:3,-0.708,-0.738,-0.7879999999999999,STEP15L_CLEAN_TOP_25_CONTINUATION,TOP_25
ALL,ALL,25,25,0,25,4,21,0,7,4,3,18,0.16,-0.584,-14.6,0.3047619047619048,8,-0.8959999999999999,-0.16799999999999998,1,3,-1.0,-1.0,1.6,USDJPY:25,LONDON:6;NEW_YORK:13;OTHER:3;TOKYO:3,-0.604,-0.634,-0.6839999999999999,STEP15L_CLEAN_TOP_25_REVERSAL,TOP_25
TOP_COUNT,25,25,25,5,20,4,21,0,7,4,3,18,0.16,-0.584,-14.6,0.3047619047619048,11,-0.8959999999999999,-0.16799999999999998,0,4,-1.0,-1.0,1.6,EURUSD:1;USDJPY:24,LONDON:5;NEW_YORK:15;OTHER:2;OVERLAP:1;TOKYO:2,-0.604,-0.634,-0.6839999999999999,STEP15M_DIRECT_TOP_25,TOP_25
ALL,ALL,50,50,50,0,5,45,0,11,5,6,39,0.1,-0.74,-37.0,0.17777777777777778,20,-0.948,-0.5319999999999999,0,3,-1.0,-1.0,1.6,EURUSD:1;USDJPY:49,LONDON:10;NEW_YORK:25;OTHER:4;OVERLAP:6;TOKYO:5,-0.76,-0.79,-0.84,STEP15L_CLEAN_TOP_50_CONTINUATION,TOP_50
ALL,ALL,50,50,0,50,6,44,0,11,6,5,39,0.12,-0.688,-34.4,0.21818181818181817,16,-0.8959999999999999,-0.428,0,3,-1.0,-1.0,1.6,EURUSD:1;USDJPY:49,LONDON:10;NEW_YORK:25;OTHER:4;OVERLAP:6;TOKYO:5,-0.708,-0.738,-0.7879999999999999,STEP15L_CLEAN_TOP_50_REVERSAL,TOP_50
TOP_COUNT,50,50,50,7,43,6,44,0,12,6,6,38,0.12,-0.688,-34.4,0.21818181818181817,18,-0.8959999999999999,-0.428,0,4,-1.0,-1.0,1.6,EURUSD:1;USDJPY:49,LONDON:8;NEW_YORK:24;OTHER:4;OVERLAP:7;TOKYO:7,-0.708,-0.738,-0.7879999999999999,STEP15M_DIRECT_TOP_50,TOP_50
ALL,ALL,75,75,75,0,6,69,0,16,6,10,59,0.08,-0.792,-59.400000000000006,0.1391304347826087,34,-0.9306666666666666,-0.6186666666666667,0,4,-1.0,-1.0,1.6,EURUSD:2;USDJPY:73,LONDON:18;NEW_YORK:33;OTHER:4;OVERLAP:12;TOKYO:8,-0.812,-0.8420000000000001,-0.892,STEP15L_CLEAN_TOP_75_CONTINUATION,TOP_75
ALL,ALL,75,75,0,75,10,65,0,16,10,6,59,0.13333333333333333,-0.6533333333333333,-49.0,0.24615384615384617,17,-0.8613333333333333,-0.4453333333333333,0,4,-1.0,-1.0,1.6,EURUSD:2;USDJPY:73,LONDON:18;NEW_YORK:33;OTHER:4;OVERLAP:12;TOKYO:8,-0.6733333333333333,-0.7033333333333334,-0.7533333333333333,STEP15L_CLEAN_TOP_75_REVERSAL,TOP_75
TOP_COUNT,75,75,75,12,63,10,65,0,16,10,6,59,0.13333333333333333,-0.6533333333333333,-49.0,0.24615384615384617,16,-0.8266666666666667,-0.4453333333333333,0,4,-1.0,-1.0,1.6,EURUSD:2;USDJPY:73,LONDON:12;NEW_YORK:35;OTHER:4;OVERLAP:15;TOKYO:9,-0.6733333333333333,-0.7033333333333334,-0.7533333333333333,STEP15M_DIRECT_TOP_75,TOP_75
ALL,ALL,100,100,100,0,10,90,0,23,10,13,77,0.1,-0.74,-74.0,0.17777777777777778,24,-0.87,-0.584,0,4,-1.0,-1.0,1.6,EURUSD:3;USDJPY:97,LONDON:20;NEW_YORK:45;OTHER:4;OVERLAP:21;TOKYO:10,-0.76,-0.79,-0.84,STEP15L_CLEAN_TOP_100_CONTINUATION,TOP_100
ALL,ALL,100,100,0,100,13,87,0,23,13,10,77,0.13,-0.662,-66.2,0.239080459770115,22,-0.8180000000000001,-0.48,0,4,-1.0,-1.0,1.6,EURUSD:3;USDJPY:97,LONDON:20;NEW_YORK:45;OTHER:4;OVERLAP:21;TOKYO:10,-0.682,-0.7120000000000001,-0.762,STEP15L_CLEAN_TOP_100_REVERSAL,TOP_100
TOP_COUNT,100,100,100,19,81,10,90,0,18,10,8,82,0.1,-0.74,-74.0,0.17777777777777778,22,-0.87,-0.584,0,4,-1.0,-1.0,1.6,EURUSD:4;USDJPY:96,LONDON:18;NEW_YORK:46;OTHER:4;OVERLAP:21;TOKYO:11,-0.76,-0.79,-0.84,STEP15M_DIRECT_TOP_100,TOP_100
ALL,ALL,150,150,150,0,12,138,0,25,12,13,125,0.08,-0.792,-118.80000000000001,0.13913043478260873,35,-0.896,-0.688,0,4,-1.0,-1.0,1.6,EURUSD:10;USDJPY:140,LONDON:28;NEW_YORK:70;OTHER:5;OVERLAP:32;TOKYO:15,-0.812,-0.8420000000000001,-0.892,STEP15L_CLEAN_TOP_150_CONTINUATION,TOP_150
ALL,ALL,150,150,0,150,13,137,0,25,13,12,125,0.08666666666666667,-0.7746666666666667,-116.2,0.1518248175182482,29,-0.8791,-0.6533333333333333,0,4,-1.0,-1.0,1.6,EURUSD:10;USDJPY:140,LONDON:28;NEW_YORK:70;OTHER:5;OVERLAP:32;TOKYO:15,-0.7946666666666667,-0.8246666666666668,-0.8746666666666667,STEP15L_CLEAN_TOP_150_REVERSAL,TOP_150
TOP_COUNT,150,150,150,31,119,11,139,0,25,11,14,125,0.07333333333333333,-0.8093333333333333,-121.4,0.12661870503597122,38,-0.9133333333333333,-0.6880000000000001,0,4,-1.0,-1.0,1.6,EURUSD:12;USDJPY:138,LONDON:25;NEW_YORK:75;OTHER:5;OVERLAP:29;TOKYO:16,-0.8293333333333334,-0.8593333333333334,-0.9093333333333333,STEP15M_DIRECT_TOP_150,TOP_150
ALL,ALL,200,199,200,0,18,182,0,35,18,17,165,0.09,-0.7659999999999999,-153.2,0.15824175824175826,33,-0.8693467336683417,-0.6601058510373651,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:18;USDJPY:181,LONDON:35;NEW_YORK:94;OTHER:6;OVERLAP:40;TOKYO:25,-0.7859999999999999,-0.816,-0.8659999999999999,STEP15L_CLEAN_TOP_200_CONTINUATION,TOP_200
ALL,ALL,200,199,0,200,17,183,0,35,17,18,165,0.085,-0.779,-155.8,0.14863387978142079,26,-0.8693467336683417,-0.6733668341708544,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:18;USDJPY:181,LONDON:35;NEW_YORK:94;OTHER:6;OVERLAP:40;TOKYO:25,-0.799,-0.8290000000000001,-0.879,STEP15L_CLEAN_TOP_200_REVERSAL,TOP_200
TOP_COUNT,200,200,199,41,159,17,183,0,35,17,18,165,0.085,-0.779,-155.8,0.14863387978142079,53,-0.8706467661691543,-0.6765764925373134,0,4,-1.0,-1.0,1.6,AUDUSD:1;EURUSD:20;USDCAD:1;USDJPY:178,LONDON:37;NEW_YORK:94;OTHER:6;OVERLAP:42;TOKYO:21,-0.799,-0.8290000000000001,-0.879,STEP15M_DIRECT_TOP_200,TOP_200
ALL,ALL,300,296,300,0,21,279,0,42,21,21,258,0.07,-0.8180000000000001,-245.4,0.12043010752688176,44,-0.8873426910299003,-0.7408421926910299,0,4,-1.0,-1.0,1.6,AUDUSD:4;EURUSD:32;USDCAD:3;USDCHF:1;USDJPY:260,LONDON:55;NEW_YORK:121;OTHER:7;OVERLAP:68;TOKYO:49,-0.8380000000000001,-0.8680000000000001,-0.918,STEP15L_CLEAN_TOP_300_CONTINUATION,TOP_300
ALL,ALL,300,296,0,300,21,279,0,42,21,21,258,0.07,-0.8180000000000001,-245.4,0.12043010752688176,42,-0.8884488448844884,-0.7469798657718122,0,4,-1.0,-1.0,1.6,AUDUSD:4;EURUSD:32;USDCAD:3;USDCHF:1;USDJPY:260,LONDON:55;NEW_YORK:121;OTHER:7;OVERLAP:68;TOKYO:49,-0.8380000000000001,-0.8680000000000001,-0.918,STEP15L_CLEAN_TOP_300_REVERSAL,TOP_300
