rows,positives,positive_rate,average_precision,roc_auc,model,feature_group,with_symbol,symbol_scope,oof_episodes,best_action_tp_rate,tradeable_episodes,direction_correct,direction_accuracy_on_tradeable,policy_mean_r,policy_total_r,policy_positive_folds
3240,50,0.015432098765432098,0.10316802434631858,0.8650282131661442,LIGHTGBM,A_STEP15L_EXISTING,False,ALL,1620,0.014197530864197531,50,23,0.46,-0.9630864197530864,-1560.2,0
3240,50,0.015432098765432098,0.0994447613048908,0.888294670846395,LIGHTGBM,B_ACTION_MOMENTUM,False,ALL,1620,0.019135802469135803,50,31,0.62,-0.9502469135802469,-1539.4,0
3240,50,0.015432098765432098,0.09985058232621837,0.8917429467084641,LIGHTGBM,C_SPREAD_ACTIVITY,False,ALL,1620,0.016666666666666666,50,27,0.54,-0.9566666666666667,-1549.8,0
3240,50,0.015432098765432098,0.09307287166569378,0.8960877742946709,LIGHTGBM,D_STRUCTURE_RANGE,False,ALL,1620,0.014814814814814815,50,24,0.48,-0.9614814814814814,-1557.6,0
3240,50,0.015432098765432098,0.09969974289900768,0.8960877742946708,LIGHTGBM,E_FULL,False,ALL,1620,0.016049382716049384,50,26,0.52,-0.9582716049382717,-1552.4,0
1098,39,0.03551912568306011,0.11962302288265371,0.8014091668482604,LIGHTGBM,E_FULL,False,USDJPY,549,0.03642987249544627,39,20,0.5128205128205128,-0.9052823315118397,-497.0,0
3240,50,0.015432098765432098,0.09852524765448747,0.8965830721003135,LIGHTGBM,E_FULL,True,ALL,1620,0.014814814814814815,50,24,0.48,-0.9614814814814814,-1557.6,0
1620,24,0.014814814814814815,0.13122682784319278,0.9194078947368421,LIGHTGBM_CONTINUATION_ONLY,E_FULL,False,ALL,1620,0.014814814814814815,50,24,0.48,-0.9614814814814814,-1557.6,0
1620,26,0.016049382716049384,0.1305136300719312,0.87643567223241,LIGHTGBM_REVERSAL_ONLY,E_FULL,False,ALL,1620,0.016049382716049384,50,26,0.52,-0.9582716049382717,-1552.4,0
3240,50,0.015432098765432098,0.09594855905507099,0.8785266457680251,LOGISTIC,A_STEP15L_EXISTING,False,ALL,1620,0.013580246913580247,50,22,0.44,-0.9646913580246913,-1562.8,0
3240,50,0.015432098765432098,0.0923181271702355,0.8771222570532915,LOGISTIC,B_ACTION_MOMENTUM,False,ALL,1620,0.016049382716049384,50,26,0.52,-0.9582716049382717,-1552.4,0
3240,50,0.015432098765432098,0.08230875943143368,0.8694921630094045,LOGISTIC,C_SPREAD_ACTIVITY,False,ALL,1620,0.017901234567901235,50,29,0.58,-0.9534567901234567,-1544.6,0
3240,50,0.015432098765432098,0.08343684286443281,0.8785579937304075,LOGISTIC,D_STRUCTURE_RANGE,False,ALL,1620,0.016049382716049384,50,26,0.52,-0.9582716049382717,-1552.4,0
3240,50,0.015432098765432098,0.07998445250939472,0.8817931034482758,LOGISTIC,E_FULL,False,ALL,1620,0.01728395061728395,50,28,0.56,-0.9550617283950616,-1547.1999999999998,0
3240,50,0.015432098765432098,0.07911791662557051,0.8782507836990595,LOGISTIC,E_FULL,True,ALL,1620,0.01728395061728395,50,28,0.56,-0.9550617283950616,-1547.1999999999998,0
