"mode","symbol","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"context_pullback","USDJPY","103","0.3204","-708.96","0.5548","-30.8483","-0.2995","0.5628"
"context_pullback","EURJPY","50","0.42","-70.16","0.8832","-3.8768","-0.0775","0.8601"
"context_pullback","GBPUSD","44","0.3182","-323.46","0.526","-13.9968","-0.3181","0.536"
"context_pullback","AUDJPY","24","0.3333","-173.78","0.5273","-7.3168","-0.3049","0.5557"
"context_pullback","GBPJPY","43","0.4651","0.64","1.0013","-0.5115","-0.0119","0.9779"
"context_pullback","EURUSD","34","0.3235","-165.35","0.6395","-6.6348","-0.1951","0.6776"
"volatility_breakout","USDJPY","111","0.4234","-119.31","0.9222","-5.3461","-0.0482","0.9178"
"volatility_breakout","GBPUSD","13","0.4615","-12.96","0.9206","-0.6569","-0.0505","0.9073"
"volatility_breakout","GBPJPY","18","0.2778","-159.51","0.4781","-6.8859","-0.3826","0.4782"
"volatility_breakout","EURJPY","14","0.1429","-226.13","0.2069","-9.741","-0.6958","0.2051"
"volatility_breakout","EURUSD","13","0.2308","-167.29","0.3414","-7.0857","-0.5451","0.3517"
"volatility_breakout","AUDJPY","6","0.6667","74.14","2.5849","3.2769","0.5462","2.6213"
"range_reversion","USDJPY","184","0.4457","-455.49","0.8403","-17.6917","-0.0962","0.8471"
"range_reversion","EURJPY","80","0.525","389.23","1.4313","16.152","0.2019","1.4456"
"range_reversion","EURUSD","82","0.3415","-458.74","0.642","-18.2301","-0.2223","0.6489"
"range_reversion","GBPUSD","67","0.4328","-115.89","0.8739","-4.4851","-0.0669","0.8806"
"range_reversion","GBPJPY","59","0.4407","-76.41","0.902","-3.0496","-0.0517","0.9035"
"range_reversion","AUDJPY","22","0.4091","-106.54","0.6948","-4.4203","-0.2009","0.6875"
