"mode","direction","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"context_pullback","SHORT","164","0.3598","-826.86","0.6513","-36.1148","-0.2202","0.6583"
"context_pullback","LONG","134","0.3582","-614.21","0.6651","-27.0702","-0.202","0.6737"
"volatility_breakout","LONG","86","0.3372","-532.78","0.6091","-22.931","-0.2666","0.608"
"volatility_breakout","SHORT","89","0.427","-78.28","0.9361","-3.5077","-0.0394","0.9326"
"range_reversion","LONG","246","0.4675","182.84","1.0578","7.1615","0.0291","1.0557"
"range_reversion","SHORT","248","0.4073","-1006.68","0.7431","-38.8863","-0.1568","0.7548"
