"mode","entry_time","exit_time","symbol","direction","result_r","net_profit","volume","reward_r","holding_bars","score","exit_reason"
"context_pullback","2025.01.02 12:00:00","2025.01.02 12:17:11","USDJPY","SHORT","-1.0160","-24.33","0.200","1.250","1","0.524","DEAL_REASON_SL"
"context_pullback","2025.01.02 11:45:00","2025.01.02 12:49:41","EURJPY","SHORT","1.2610","30.00","0.150","1.250","4","2.443","DEAL_REASON_TP"
"context_pullback","2025.01.02 13:30:00","2025.01.02 15:18:54","EURJPY","SHORT","1.3243","32.78","0.150","1.250","7","2.278","DEAL_REASON_TP"
"context_pullback","2025.01.02 17:15:00","2025.01.02 18:02:40","USDJPY","SHORT","-1.0000","-23.75","0.150","1.250","3","0.460","DEAL_REASON_SL"
"context_pullback","2025.01.02 21:00:00","2025.01.02 22:22:27","GBPUSD","SHORT","-1.0147","-24.84","0.180","1.250","5","2.883","DEAL_REASON_SL"
"context_pullback","2025.01.02 19:45:00","2025.01.03 00:15:00","EURJPY","SHORT","0.1283","2.20","0.120","1.250","18","2.224","DEAL_REASON_EXPERT"
"context_pullback","2025.01.03 05:30:00","2025.01.03 05:58:50","USDJPY","LONG","-1.0467","-25.64","0.360","1.250","1","0.072","DEAL_REASON_SL"
"context_pullback","2025.01.06 11:45:00","2025.01.06 12:28:33","USDJPY","LONG","1.3238","32.58","0.370","1.250","2","1.625","DEAL_REASON_TP"
"context_pullback","2025.01.06 16:15:00","2025.01.06 16:15:40","AUDJPY","LONG","-1.0000","-24.48","0.210","1.250","0","2.127","DEAL_REASON_SL"
"context_pullback","2025.01.06 17:30:00","2025.01.06 17:38:33","AUDJPY","LONG","-1.0196","-25.04","0.190","1.250","0","2.123","DEAL_REASON_SL"
"context_pullback","2025.01.06 17:00:00","2025.01.06 18:50:20","GBPJPY","LONG","1.2555","29.13","0.090","1.250","7","0.710","DEAL_REASON_TP"
"context_pullback","2025.01.06 18:30:01","2025.01.06 19:32:06","GBPUSD","LONG","-1.0000","-24.31","0.110","1.250","4","0.265","DEAL_REASON_SL"
"context_pullback","2025.01.06 20:00:00","2025.01.06 21:01:57","GBPUSD","LONG","-1.0176","-24.22","0.140","1.250","4","0.605","DEAL_REASON_SL"
"context_pullback","2025.01.06 17:00:00","2025.01.06 21:30:00","EURJPY","LONG","0.4428","10.54","0.110","1.250","18","0.924","DEAL_REASON_EXPERT"
"context_pullback","2025.01.06 20:45:00","2025.01.07 01:04:21","USDJPY","LONG","1.2483","31.91","0.260","1.250","17","0.617","DEAL_REASON_TP"
"context_pullback","2025.01.07 18:15:00","2025.01.07 18:31:36","USDJPY","LONG","-1.0045","-23.92","0.170","1.250","1","1.303","DEAL_REASON_SL"
"context_pullback","2025.01.07 19:15:00","2025.01.07 20:17:50","USDJPY","LONG","-1.0161","-24.08","0.150","1.250","4","1.212","DEAL_REASON_SL"
"context_pullback","2025.01.08 05:00:00","2025.01.08 09:01:25","USDJPY","LONG","-1.0000","-24.28","0.280","1.250","16","0.967","DEAL_REASON_SL"
"context_pullback","2025.01.08 11:30:00","2025.01.08 12:45:27","USDJPY","LONG","1.2481","30.51","0.300","1.250","5","2.026","DEAL_REASON_TP"
"context_pullback","2025.01.08 16:30:00","2025.01.08 17:00:29","USDJPY","LONG","-1.0130","-24.64","0.250","1.250","2","2.100","DEAL_REASON_SL"
"context_pullback","2025.01.08 17:45:00","2025.01.08 18:41:19","GBPUSD","SHORT","-1.0042","-24.10","0.100","1.250","3","0.815","DEAL_REASON_SL"
"context_pullback","2025.01.08 16:15:00","2025.01.08 18:53:26","EURUSD","SHORT","-1.0000","-24.16","0.160","1.250","10","0.834","DEAL_REASON_SL"
"context_pullback","2025.01.08 18:00:00","2025.01.08 22:30:00","USDJPY","LONG","0.2075","5.00","0.240","1.250","18","2.256","DEAL_REASON_EXPERT"
"context_pullback","2025.01.08 22:15:00","2025.01.08 23:02:39","GBPUSD","SHORT","-1.0000","-24.48","0.170","1.250","3","1.481","DEAL_REASON_SL"
"context_pullback","2025.01.09 11:45:00","2025.01.09 12:42:01","GBPJPY","SHORT","1.3147","31.12","0.100","1.250","3","3.842","DEAL_REASON_TP"
"context_pullback","2025.01.09 11:45:00","2025.01.09 12:42:01","GBPUSD","SHORT","1.2778","30.36","0.110","1.250","3","5.541","DEAL_REASON_TP"
"context_pullback","2025.01.09 13:15:01","2025.01.09 15:13:24","GBPUSD","SHORT","-1.0000","-23.30","0.100","1.250","7","5.093","DEAL_REASON_SL"
"context_pullback","2025.01.09 13:15:01","2025.01.09 15:32:20","GBPJPY","SHORT","-1.0163","-23.67","0.100","1.250","9","3.643","DEAL_REASON_SL"
"context_pullback","2025.01.09 16:00:00","2025.01.09 16:49:14","GBPJPY","SHORT","-1.0093","-24.54","0.120","1.250","3","3.549","DEAL_REASON_SL"
"context_pullback","2025.01.09 18:15:02","2025.01.09 19:08:32","GBPUSD","SHORT","-1.0000","-24.32","0.160","1.250","3","4.228","DEAL_REASON_SL"
"context_pullback","2025.01.10 23:15:00","2025.01.10 23:40:45","USDJPY","SHORT","-1.0684","-26.14","0.330","1.250","1","0.090","DEAL_REASON_SL"
"context_pullback","2025.01.10 20:00:00","2025.01.13 00:30:00","EURUSD","SHORT","-0.0170","-0.04","0.130","1.250","18","1.453","DEAL_REASON_EXPERT"
"context_pullback","2025.01.10 20:00:00","2025.01.13 00:30:20","GBPUSD","SHORT","0.7488","18.12","0.120","1.250","18","2.757","DEAL_REASON_EXPERT"
"context_pullback","2025.01.13 07:15:00","2025.01.13 07:38:32","USDJPY","SHORT","1.2910","30.79","0.280","1.250","1","0.934","DEAL_REASON_TP"
"context_pullback","2025.01.13 08:30:03","2025.01.13 09:22:11","GBPJPY","SHORT","1.2491","29.41","0.130","1.250","3","5.182","DEAL_REASON_TP"
"context_pullback","2025.01.13 08:45:00","2025.01.13 09:50:01","USDJPY","SHORT","1.2446","29.69","0.270","1.250","4","1.199","DEAL_REASON_TP"
"context_pullback","2025.01.13 11:15:00","2025.01.13 11:24:45","EURJPY","SHORT","1.2565","29.36","0.160","1.250","0","4.174","DEAL_REASON_TP"
"context_pullback","2025.01.13 11:15:00","2025.01.13 11:26:31","GBPJPY","SHORT","1.2537","29.35","0.110","1.250","0","5.180","DEAL_REASON_TP"
"context_pullback","2025.01.13 11:00:00","2025.01.13 11:27:15","GBPUSD","SHORT","1.3125","32.34","0.140","1.250","1","5.695","DEAL_REASON_TP"
"context_pullback","2025.01.13 11:15:00","2025.01.13 11:42:22","USDJPY","SHORT","1.2809","30.47","0.210","1.250","1","1.397","DEAL_REASON_TP"
"context_pullback","2025.01.13 13:15:00","2025.01.13 14:02:49","USDJPY","SHORT","-1.0048","-23.78","0.180","1.250","3","1.431","DEAL_REASON_SL"
"context_pullback","2025.01.13 13:15:00","2025.01.13 15:32:21","GBPUSD","SHORT","-1.0047","-23.76","0.110","1.250","9","4.949","DEAL_REASON_SL"
"context_pullback","2025.01.13 16:15:00","2025.01.13 16:34:32","USDJPY","SHORT","-1.0102","-24.03","0.190","1.250","1","1.336","DEAL_REASON_SL"
"context_pullback","2025.01.13 13:15:09","2025.01.13 16:36:13","AUDJPY","SHORT","-1.0000","-24.16","0.210","1.250","13","3.084","DEAL_REASON_SL"
"context_pullback","2025.01.13 13:15:09","2025.01.13 16:54:39","GBPJPY","SHORT","-1.0068","-22.68","0.080","1.250","14","4.309","DEAL_REASON_SL"
"context_pullback","2025.01.13 14:00:00","2025.01.13 16:56:32","EURJPY","SHORT","-1.0130","-23.80","0.120","1.250","11","3.319","DEAL_REASON_SL"
"context_pullback","2025.01.13 20:00:00","2025.01.13 20:22:16","USDJPY","SHORT","-1.0180","-24.83","0.230","1.250","1","1.498","DEAL_REASON_SL"
"context_pullback","2025.01.14 02:45:00","2025.01.14 03:30:33","USDJPY","SHORT","-1.0286","-25.13","0.220","1.250","3","1.496","DEAL_REASON_SL"
"context_pullback","2025.01.14 17:00:00","2025.01.14 17:04:42","GBPUSD","SHORT","-1.0142","-23.65","0.110","1.250","0","1.268","DEAL_REASON_SL"
"context_pullback","2025.01.14 19:15:00","2025.01.14 20:04:11","GBPUSD","SHORT","-1.0146","-22.99","0.110","1.250","3","0.947","DEAL_REASON_SL"
"context_pullback","2025.01.15 14:30:00","2025.01.15 14:49:11","USDJPY","SHORT","-1.0000","-24.34","0.260","1.250","1","0.168","DEAL_REASON_SL"
"context_pullback","2025.01.15 17:30:00","2025.01.15 17:46:29","EURUSD","LONG","-1.0000","-23.52","0.140","1.250","1","2.801","DEAL_REASON_SL"
"context_pullback","2025.01.15 18:00:00","2025.01.15 18:30:15","GBPUSD","LONG","-1.0078","-23.22","0.090","1.250","2","0.677","DEAL_REASON_SL"
"context_pullback","2025.01.15 18:30:00","2025.01.15 18:33:31","GBPJPY","SHORT","1.2594","27.83","0.100","1.250","0","0.010","DEAL_REASON_TP"
"context_pullback","2025.01.16 17:15:00","2025.01.16 17:18:32","GBPJPY","SHORT","-1.0160","-24.26","0.150","1.250","0","2.136","DEAL_REASON_SL"
"context_pullback","2025.01.16 17:15:00","2025.01.16 18:13:26","EURJPY","SHORT","1.2642","29.53","0.190","1.250","3","2.385","DEAL_REASON_TP"
"context_pullback","2025.01.16 18:00:00","2025.01.16 19:08:00","GBPJPY","SHORT","-1.0077","-23.36","0.140","1.250","4","2.518","DEAL_REASON_SL"
"context_pullback","2025.01.16 19:45:03","2025.01.16 23:02:40","GBPJPY","SHORT","1.2500","28.90","0.130","1.250","13","2.696","DEAL_REASON_TP"
"context_pullback","2025.01.16 19:15:00","2025.01.16 23:45:00","EURJPY","SHORT","1.1250","26.62","0.170","1.250","18","2.919","DEAL_REASON_EXPERT"
"context_pullback","2025.01.16 20:15:00","2025.01.17 00:45:10","EURUSD","LONG","-0.2867","-7.84","0.160","1.250","18","0.926","DEAL_REASON_EXPERT"
"context_pullback","2025.01.16 22:15:00","2025.01.17 02:00:46","USDJPY","SHORT","-1.0000","-26.82","0.240","1.250","15","3.481","DEAL_REASON_SL"
"context_pullback","2025.01.17 11:15:00","2025.01.17 11:25:18","GBPJPY","SHORT","-1.0037","-24.32","0.140","1.250","0","3.877","DEAL_REASON_SL"
"context_pullback","2025.01.17 18:15:00","2025.01.17 21:40:08","GBPUSD","SHORT","1.2474","29.04","0.120","1.250","13","0.061","DEAL_REASON_TP"
"context_pullback","2025.01.20 18:30:00","2025.01.20 19:24:56","EURJPY","LONG","-1.0600","-24.56","0.120","1.250","3","1.111","DEAL_REASON_SL"
"context_pullback","2025.01.20 18:30:00","2025.01.20 19:24:56","AUDJPY","LONG","-1.0941","-25.60","0.180","1.250","3","0.437","DEAL_REASON_SL"
"context_pullback","2025.01.20 19:45:00","2025.01.20 21:44:44","GBPJPY","LONG","1.2537","30.27","0.140","1.250","7","0.201","DEAL_REASON_TP"
"context_pullback","2025.01.20 20:30:00","2025.01.20 21:46:04","GBPUSD","LONG","1.2705","28.93","0.110","1.250","5","0.101","DEAL_REASON_TP"
"context_pullback","2025.01.20 19:45:00","2025.01.20 21:53:41","EURUSD","LONG","1.2593","27.54","0.090","1.250","8","0.853","DEAL_REASON_TP"
"context_pullback","2025.01.20 19:45:00","2025.01.20 22:05:01","EURJPY","LONG","1.2598","28.83","0.140","1.250","9","1.330","DEAL_REASON_TP"
"context_pullback","2025.01.21 06:30:00","2025.01.21 07:25:17","EURUSD","LONG","-1.0000","-24.31","0.170","1.250","3","2.120","DEAL_REASON_SL"
"context_pullback","2025.01.21 05:15:00","2025.01.21 07:31:00","GBPUSD","LONG","-1.0041","-22.23","0.090","1.250","9","1.124","DEAL_REASON_SL"
"context_pullback","2025.01.21 06:15:00","2025.01.21 08:13:01","USDJPY","SHORT","-1.0228","-23.39","0.090","1.250","7","0.101","DEAL_REASON_SL"
