"scenario","mode","signals","orders_sent","orders_failed","blocked","closed_trades","mt5_total_trades","net_profit","gross_profit","gross_loss","profit_factor","expected_payoff","balance_max_dd","equity_max_dd","recovery_factor","avg_r","r_profit_factor","win_rate_from_trades","final_equity","peak_equity","daily_stopped","drawdown_stopped","passed_trade_count","passed_pf_floor","passed_avg_r","passed_net","passed_dd_stop","passed_direction_balance","passed_currency_concentration","passed_2025_shallow_gate","promoted_to_3y_oos","failed_conditions"
"A","currency_strength_momentum","18060","272","0","17788","272","272","-1302.77","2785.13","-4087.9","0.68","-4.79","1511.37","1535.52","-0.85","-0.209341544117647","0.675041418152993","0.367647058823529","8697.23","10235.75","false","true","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;currency_concentration_or_negative_net"
"B","currency_strength_pullback","12026","252","0","11774","252","252","-1367.16","2406.45","-3773.61","0.64","-5.43","1507.89","1532.04","-0.89","-0.239391666666667","0.632654440630532","0.345238095238095","8632.84","10167.88","false","true","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;currency_concentration_or_negative_net"
"C","currency_strength_reversal_avoid","12102","213","0","11889","213","213","-1357.09","1945.37","-3302.46","0.59","-6.37","1498.54","1523.97","-0.89","-0.276681690140845","0.584237583361376","0.342723004694836","8642.91","10174.1","false","true","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;currency_concentration_or_negative_net"
"D","currency_strength_momentum_room_to_2r","5924","225","0","5699","225","225","-1500.73","1962.81","-3463.54","0.57","-6.67","1504.65","1522.06","-0.99","-0.289379555555556","0.575668785159773","0.328888888888889","8499.27","10024.88","false","true","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;currency_concentration_or_negative_net"
"E","currency_strength_pullback_room_to_2r","4399","218","1","4180","218","218","-1517.05","1803.51","-3320.56","0.54","-6.96","1517.05","1517.05","-1","-0.301598165137615","0.551680709800464","0.311926605504587","8482.95","10000","false","true","True","False","False","False","False","False","False","False","False","pf_lt_1.05;avg_r_le_0;net_le_0;dd_stopped;direction_balance_failed;currency_concentration_or_negative_net"
