"scenario","mode","entry_time","exit_time","strategy","symbol","direction","base_currency","quote_currency","base_strength","quote_strength","strength_diff","strength_rank_base","strength_rank_quote","pair_momentum_h1","pair_momentum_h4","strength_alignment","pair_alignment","entry_type","pullback_depth_atr","overextended_flag","room_to_1r","room_to_2r","failure_type","entry","exit","stop_loss","take_profit","risk_price","result_r","profit","commission","swap","net_profit","volume","reward_r","holding_bars","atr","spread_points","score","exit_reason","position_id"
"A","currency_strength_momentum","2025.01.02 02:30:00","2025.01.02 02:55:00","currency_strength_momentum","USDJPY","LONG","USD","JPY","1.98600","-1.02654","3.01254","1","5","2.16711","0.73355","true","true","strength_momentum","0.7677","false","6.0714","6.0714","no_follow_through","157.46500000","157.36300000","157.36700000","157.58300000","0.09800000","-1.0408","-25.93","0.00","0.00","-25.93","0.400","1.200","1","0.09821429","18.00","4.186","DEAL_REASON_SL","2"
"A","currency_strength_momentum","2025.01.02 03:00:00","2025.01.02 03:16:18","currency_strength_momentum","USDJPY","LONG","USD","JPY","1.54539","-0.44764","1.99302","1","3","0.40226","0.73355","true","true","strength_momentum","0.0251","false","5.1000","5.1000","other","157.44800000","157.59500000","157.32800000","157.59100000","0.12000000","1.2250","29.85","0.00","0.00","29.85","0.320","1.200","1","0.11957143","17.00","2.739","DEAL_REASON_TP","4"
"A","currency_strength_momentum","2025.01.02 03:30:00","2025.01.02 03:51:02","currency_strength_momentum","USDJPY","LONG","USD","JPY","1.39823","-0.15962","1.55784","1","3","0.40226","0.73355","true","true","strength_momentum","0.8725","false","3.3615","3.3615","no_follow_through","157.62300000","157.49300000","157.49300000","157.78000000","0.13000000","-1.0000","-24.76","0.00","0.00","-24.76","0.300","1.200","1","0.13042857","19.00","2.130","DEAL_REASON_SL","6"
"A","currency_strength_momentum","2025.01.02 04:00:00","2025.01.02 05:10:11","currency_strength_momentum","EURJPY","LONG","EUR","JPY","-0.42470","-1.77523","1.35053","4","5","0.79763","0.33636","true","true","strength_momentum","0.3706","false","11.2222","11.2222","no_follow_through","163.17000000","163.01700000","163.01700000","163.35300000","0.15300000","-1.0000","-24.29","0.00","0.00","-24.29","0.250","1.200","4","0.15271429","30.00","2.689","DEAL_REASON_SL","8"
"A","currency_strength_momentum","2025.01.02 10:00:00","2025.01.02 10:01:27","currency_strength_momentum","USDJPY","SHORT","USD","JPY","-0.21370","0.72732","-0.94102","3","2","-3.84047","1.93609","true","true","strength_momentum","1.1272","true","4.7754","4.7754","overextended_entry","156.67400000","156.81300000","156.81200000","156.50800000","0.13800000","-1.0072","-24.82","0.00","0.00","-24.82","0.280","1.200","0","0.13821429","19.00","1.719","DEAL_REASON_SL","10"
"A","currency_strength_momentum","2025.01.02 10:15:00","2025.01.02 10:24:50","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-0.99869","1.22426","-2.22295","4","1","-3.25479","1.21507","true","true","strength_momentum","1.8173","true","1.4925","1.4925","other","196.02400000","195.78200000","196.22500000","195.78200000","0.20100000","1.2040","29.35","0.00","0.00","29.35","0.190","1.200","0","0.20128571","38.00","2.722","DEAL_REASON_TP","14"
"A","currency_strength_momentum","2025.01.02 10:15:00","2025.01.02 10:25:14","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-1.30132","1.22426","-2.52557","5","1","-2.93598","0.51365","true","true","strength_momentum","1.1696","false","0.0000","0.0000","other","162.29700000","162.09300000","162.46200000","162.10000000","0.16500000","1.2364","29.96","0.00","0.00","29.96","0.230","1.200","0","0.16450000","32.00","2.972","DEAL_REASON_TP","13"
"A","currency_strength_momentum","2025.01.02 10:15:00","2025.01.02 10:25:49","currency_strength_momentum","USDJPY","SHORT","USD","JPY","0.07154","1.22426","-1.15272","2","1","-3.84047","1.93609","true","true","strength_momentum","0.5907","true","4.6345","4.6345","other","156.68700000","156.51400000","156.83200000","156.51400000","0.14500000","1.1931","28.74","0.00","0.00","28.74","0.260","1.200","0","0.14457143","16.00","1.917","DEAL_REASON_TP","12"
"A","currency_strength_momentum","2025.01.02 10:30:00","2025.01.02 10:35:58","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-1.30132","1.22426","-2.52557","5","1","-2.93598","0.51365","true","true","strength_momentum","2.1450","false","0.0000","0.0000","no_follow_through","161.99100000","162.18100000","162.17500000","161.77000000","0.18400000","-1.0326","-25.49","0.00","0.00","-25.49","0.210","1.200","0","0.18428571","30.00","2.972","DEAL_REASON_SL","20"
"A","currency_strength_momentum","2025.01.02 10:30:00","2025.01.02 10:39:07","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-0.99869","1.22426","-2.22295","4","1","-3.25479","1.21507","true","true","strength_momentum","2.9340","true","0.0000","0.0000","overextended_entry","195.57300000","195.80800000","195.80400000","195.29600000","0.23100000","-1.0173","-24.01","0.00","0.00","-24.01","0.160","1.200","0","0.23064286","38.00","2.573","DEAL_REASON_SL","19"
"A","currency_strength_momentum","2025.01.02 10:30:00","2025.01.02 10:48:31","currency_strength_momentum","USDJPY","SHORT","USD","JPY","0.07154","1.22426","-1.15272","2","1","-3.84047","1.93609","true","true","strength_momentum","1.1351","true","3.3161","3.3161","overextended_entry","156.52900000","156.68500000","156.68400000","156.34300000","0.15500000","-1.0065","-24.89","0.00","0.00","-24.89","0.250","1.200","1","0.15514286","17.00","1.785","DEAL_REASON_SL","18"
"A","currency_strength_momentum","2025.01.02 10:45:00","2025.01.02 10:55:06","currency_strength_momentum","EURJPY","SHORT","EUR","JPY","-1.30132","1.22426","-2.52557","5","1","-2.93598","0.51365","true","true","strength_momentum","0.7151","false","0.0000","0.0000","no_follow_through","162.21600000","162.41500000","162.41500000","161.97700000","0.19900000","-1.0000","-24.13","0.00","0.00","-24.13","0.190","1.200","0","0.19900000","30.00","2.972","DEAL_REASON_SL","24"
"A","currency_strength_momentum","2025.01.02 10:45:00","2025.01.02 10:58:00","currency_strength_momentum","GBPJPY","SHORT","GBP","JPY","-0.99869","1.22426","-2.22295","4","1","-3.25479","1.21507","true","true","strength_momentum","1.6812","true","0.0161","0.0161","overextended_entry","195.72800000","195.97800000","195.97600000","195.43000000","0.24800000","-1.0081","-23.93","0.00","0.00","-23.93","0.150","1.200","0","0.24821429","38.00","2.574","DEAL_REASON_SL","23"
