"mode","direction","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"currency_strength_momentum","LONG","83","0.289156626506024","-774.64","635.55","-1410.19","0.450683950389664","-33.4447","-0.402948192771084","0.442545595162296"
"currency_strength_momentum","SHORT","189","0.402116402116402","-528.13","2149.58","-2677.71","0.802768036867323","-23.4962","-0.124318518518519","0.796092500457782"
"currency_strength_pullback","LONG","86","0.290697674418605","-748.11","644.96","-1393.07","0.462977452676463","-32.3953","-0.376689534883721","0.462773420009618"
"currency_strength_pullback","SHORT","166","0.373493975903614","-619.05","1761.49","-2380.54","0.739953960025877","-27.9314","-0.168261445783133","0.731228042489437"
"currency_strength_reversal_avoid","LONG","85","0.270588235294118","-825.06","611.02","-1436.08","0.425477689265222","-36.3953","-0.42818","0.410242366594666"
"currency_strength_reversal_avoid","SHORT","128","0.390625","-532.03","1334.35","-1866.38","0.71494015152327","-22.5379","-0.17607734375","0.71839945024052"
"currency_strength_momentum_room_to_2r","LONG","96","0.3125","-680.89","805.6","-1486.49","0.54194780994154","-29.6406","-0.30875625","0.550352929397434"
"currency_strength_momentum_room_to_2r","SHORT","129","0.341085271317829","-819.84","1157.21","-1977.05","0.585321564957892","-35.4698","-0.274959689922481","0.594735994204932"
"currency_strength_pullback_room_to_2r","LONG","105","0.314285714285714","-705.81","880.65","-1586.46","0.555103816043266","-31.8063","-0.302917142857143","0.551383875867964"
"currency_strength_pullback_room_to_2r","SHORT","113","0.309734513274336","-811.24","922.86","-1734.1","0.532183841762297","-33.9421","-0.300372566371681","0.551958509225599"
