"mode","month","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"currency_strength_momentum","2025-01","272","0.367647058823529","-1302.77","2785.13","-4087.9","0.681310697424105","-56.9409","-0.209341544117647","0.675041418152993"
"currency_strength_pullback","2025-01","252","0.345238095238095","-1367.16","2406.45","-3773.61","0.637705009261688","-60.3267","-0.239391666666667","0.632654440630532"
"currency_strength_reversal_avoid","2025-01","213","0.342723004694836","-1357.09","1945.37","-3302.46","0.589066937979567","-58.9332","-0.276681690140845","0.584237583361376"
"currency_strength_momentum_room_to_2r","2025-01","225","0.328888888888889","-1500.73","1962.81","-3463.54","0.566706317813567","-65.1104","-0.289379555555556","0.575668785159773"
"currency_strength_pullback_room_to_2r","2025-01","218","0.311926605504587","-1517.05","1803.51","-3320.56","0.543134290601585","-65.7484","-0.301598165137615","0.551680709800464"
