"mode","strength_diff_bucket","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"currency_strength_momentum",">=2.0","57","0.280701754385965","-571.98","413.14","-985.12","0.419380380055222","-23.9664","-0.420463157894737","0.420718059778694"
"currency_strength_momentum","1.5_to_2.0","14","0.142857142857143","-210.9","70.56","-281.46","0.250692816030697","-9.5892","-0.684942857142857","0.23482895923269"
"currency_strength_momentum","1.0_to_1.5","10","0.5","-0.220000000000002","121.85","-122.07","0.998197755386254","-0.0863","-0.00863","0.983031852143138"
"currency_strength_momentum","-1.0_to_0","11","0.454545454545455","2.12","143.95","-141.83","1.01494747232602","-0.00519999999999987","-0.000472727272727261","0.999142635735602"
"currency_strength_momentum","<=-2.0","160","0.4125","-299.27","1858.97","-2158.24","0.861336088664838","-13.362","-0.0835125","0.856163896944371"
"currency_strength_momentum","-1.5_to_-1.0","9","0.222222222222222","-174.01","58.64","-232.65","0.252052439286482","-7.4944","-0.832711111111111","0.24564917613665"
"currency_strength_momentum","-2.0_to_-1.5","9","0.333333333333333","-56.97","88.02","-144.99","0.60707635009311","-2.6346","-0.292733333333333","0.583942643273376"
"currency_strength_momentum","0_to_1.0","2","0.5","8.46","30","-21.54","1.39275766016713","0.1972","0.0986","1.19627749576988"
"currency_strength_pullback",">=2.0","54","0.222222222222222","-697.68","286.14","-983.82","0.290845886442642","-29.801","-0.55187037037037","0.29015323124269"
"currency_strength_pullback","1.5_to_2.0","16","0.125","-243.32","52.22","-295.54","0.176693510184747","-11.0321","-0.68950625","0.170000827584131"
"currency_strength_pullback","<=-2.0","144","0.375","-525.58","1530.02","-2055.6","0.744317960692742","-23.5195","-0.163329861111111","0.737779214770301"
"currency_strength_pullback","-1.5_to_-1.0","7","0.285714285714286","-57.33","59.74","-117.07","0.510292987101734","-2.574","-0.367714285714286","0.497501171325941"
"currency_strength_pullback","-2.0_to_-1.5","8","0.375","-29.82","85.36","-115.18","0.741100885570411","-1.4673","-0.1834125","0.710660198769522"
"currency_strength_pullback","1.0_to_1.5","11","0.727272727272727","152.74","223.44","-70.7","3.16039603960396","6.8576","0.623418181818182","3.27940834302809"
"currency_strength_pullback","0_to_1.0","5","0.6","40.15","83.16","-43.01","1.93350383631714","1.5802","0.31604","1.7828585583354"
"currency_strength_pullback","-1.0_to_0","7","0.428571428571429","-6.32","86.37","-92.69","0.931815729852196","-0.3706","-0.0529428571428571","0.90815820777161"
"currency_strength_reversal_avoid",">=2.0","46","0.282608695652174","-454","332.76","-786.76","0.422949819512939","-19.6368","-0.426886956521739","0.411777745160005"
"currency_strength_reversal_avoid","1.5_to_2.0","16","0.1875","-214.37","97.94","-312.31","0.313598667990138","-9.3773","-0.58608125","0.307299092138019"
"currency_strength_reversal_avoid","1.0_to_1.5","15","0.4","-47.07","150.32","-197.39","0.761538071837479","-2.4098","-0.160653333333333","0.720388935301216"
"currency_strength_reversal_avoid","<=-2.0","98","0.428571428571429","-183.46","1106.87","-1290.33","0.857819317538924","-7.8146","-0.0797408163265306","0.859198172275305"
"currency_strength_reversal_avoid","-2.0_to_-1.5","11","0.363636363636364","-60.13","110.63","-170.76","0.647868353244319","-2.4211","-0.2201","0.669117546568996"
"currency_strength_reversal_avoid","0_to_1.0","8","0.125","-109.62","30","-139.62","0.214868929952729","-4.9714","-0.621425","0.194693275881619"
"currency_strength_reversal_avoid","-1.5_to_-1.0","11","0.0909090909090909","-259.96","30.66","-290.62","0.10549858922304","-10.9525","-0.995681818181818","0.102246739727375"
"currency_strength_reversal_avoid","-1.0_to_0","8","0.375","-28.48","86.19","-114.67","0.751635126885846","-1.3497","-0.1687125","0.730990771929125"
"currency_strength_momentum_room_to_2r",">=2.0","41","0.365853658536585","-168.09","425.8","-593.89","0.716967788647729","-6.5806","-0.16050243902439","0.749010244635488"
"currency_strength_momentum_room_to_2r","1.5_to_2.0","25","0.24","-288.66","156.25","-444.91","0.351194623631746","-12.8979","-0.515916","0.345938325633757"
"currency_strength_momentum_room_to_2r","1.0_to_1.5","17","0.294117647058824","-148.03","115.48","-263.51","0.438237638040302","-6.7609","-0.3977","0.425430657182435"
"currency_strength_momentum_room_to_2r","-1.0_to_0","24","0.5","37.66","306.32","-268.66","1.1401771756123","2.0528","0.0855333333333334","1.17339155847995"
"currency_strength_momentum_room_to_2r","-1.5_to_-1.0","24","0.208333333333333","-362.66","137.24","-499.9","0.274534906981396","-16.0505","-0.668770833333333","0.274792949670843"
"currency_strength_momentum_room_to_2r","<=-2.0","68","0.367647058823529","-315.49","655.14","-970.63","0.674963683380897","-13.3412","-0.196194117647059","0.689209021911822"
"currency_strength_momentum_room_to_2r","0_to_1.0","13","0.307692307692308","-76.11","108.07","-184.18","0.586762949288739","-3.4012","-0.261630769230769","0.585951670825979"
"currency_strength_momentum_room_to_2r","-2.0_to_-1.5","13","0.153846153846154","-179.35","58.51","-237.86","0.245985033212814","-8.1309","-0.625453846153846","0.23471721554491"
"currency_strength_pullback_room_to_2r",">=2.0","40","0.375","-183.65","371.91","-555.56","0.669432644538843","-7.5382","-0.188455","0.693921220709509"
"currency_strength_pullback_room_to_2r","1.5_to_2.0","25","0.12","-395.52","81.41","-476.93","0.17069590925293","-17.7432","-0.709728","0.16626177666048"
"currency_strength_pullback_room_to_2r","-1.5_to_-1.0","16","0.25","-139.8","113.62","-253.42","0.448346618262173","-6.1985","-0.38740625","0.445602203817327"
"currency_strength_pullback_room_to_2r","1.0_to_1.5","24","0.291666666666667","-172.33","202","-374.33","0.539630807041915","-8.2362","-0.343175","0.512495116782877"
"currency_strength_pullback_room_to_2r","<=-2.0","61","0.295081967213115","-513.1","479.53","-992.63","0.483090376071648","-21.3481","-0.349968852459016","0.504520061180392"
"currency_strength_pullback_room_to_2r","0_to_1.0","16","0.5","45.69","225.33","-179.64","1.25434201736807","1.7113","0.10695625","1.2114203822443"
"currency_strength_pullback_room_to_2r","-2.0_to_-1.5","14","0.285714285714286","-107.63","103.1","-210.73","0.489251649029564","-4.5092","-0.322085714285714","0.516579649860094"
"currency_strength_pullback_room_to_2r","-1.0_to_0","22","0.409090909090909","-50.71","226.61","-277.32","0.817142651088994","-1.8863","-0.0857409090909091","0.844909805469225"
