"scenario","mode","trades","sum_r","avg_r","median_r","min_r","max_r","stdev_r","p25_r","p75_r","avg_win_r","avg_loss_r","payoff_r"
"A","currency_strength_momentum","272","-56.9409000000001","-0.209341544117647","-1","-3.5355","1.7179","1.08275357952427","-1.012","1.2019","1.182842","-1.01875058139535","1.16107123922315"
"B","currency_strength_pullback","252","-60.3267000000001","-0.239391666666667","-1","-1.2857","1.7179","1.05031015731428","-1.0109","1.2025","1.19421379310345","-0.995292727272728","1.19986187016135"
"C","currency_strength_reversal_avoid","213","-58.9332","-0.276681690140845","-1","-3.5355","1.7179","1.05419412542373","-1.015","1.2","1.1344397260274","-1.01248071428571","1.12045563932319"
"D","currency_strength_momentum_room_to_2r","225","-65.1104","-0.289379555555556","-1","-3.5355","2.5905","1.06920287975244","-1.0152","1.2","1.19367567567568","-1.01617483443709","1.17467549404224"
"E","currency_strength_pullback_room_to_2r","218","-65.7484000000001","-0.301598165137615","-1","-1.2377","1.7179","1.01983801924679","-1.0101","1.2","1.17256376811594","-0.984263758389262","1.19131051826477"
