Mode,Month,Trades,ProfitR,ExpectancyR
C_SHORT_MODE,2024-01,31,-0.9995758975999998,-0.03224438379354838
C_SHORT_MODE,2024-02,33,9.5037110168,0.28799124293333334
C_SHORT_MODE,2024-03,17,5.4759645821,0.32211556365294114
C_SHORT_MODE,2024-04,37,-12.006151743,-0.32449058764864863
C_SHORT_MODE,2024-05,34,15.9906813299,0.4703141567617647
C_SHORT_MODE,2024-06,29,0.9905227269999999,0.03415595610344827
C_SHORT_MODE,2024-07,13,1.9972067038999999,0.1536312849153846
C_SHORT_MODE,2024-08,2,2.9985507246000003,1.4992753623000001
C_SHORT_MODE,2024-09,12,-2.0032854553000004,-0.16694045460833337
C_SHORT_MODE,2024-10,40,-7.4913748356999985,-0.18728437089249997
C_SHORT_MODE,2024-11,17,7.9994579336000005,0.47055634903529414
C_SHORT_MODE,2024-12,19,0.9942769503999997,0.0523303658105263
C_SHORT_MODE,2025-01,16,11.4871765653,0.71794853533125
C_SHORT_MODE,2025-03,17,2.9998775643,0.17646338613529414
C_SHORT_MODE,2025-04,1,1.496124031,1.496124031
C_SHORT_MODE,2025-05,18,14.5000053301,0.8055558516722222
C_SHORT_MODE,2025-06,18,4.500779134300001,0.25004328523888897
C_SHORT_MODE,2025-07,23,-0.5054911211000002,-0.02197787483043479
C_SHORT_MODE,2025-08,9,10.9882297403,1.220914415588889
C_SHORT_MODE,2025-09,13,-0.4962424328000006,-0.038172494830769274
C_SHORT_MODE,2025-10,22,-9.5,-0.4318181818181818
C_SHORT_MODE,2025-11,25,7.505151506899999,0.30020606027599994
C_SHORT_MODE,2025-12,9,3.4984328694,0.3887147632666667
C_SHORT_MODE,2026-01,16,1.5001764509000002,0.09376102818125001
C_SHORT_MODE,2026-02,10,2.4987280051000003,0.24987280051000002
C_SHORT_MODE,2026-03,24,0.9947684456999997,0.041448685237499984
J_SHORT_MODE,2024-01,20,0.006917608899999816,0.0003458804449999908
J_SHORT_MODE,2024-02,26,6.4850249856,0.2494240379076923
J_SHORT_MODE,2024-03,11,3.9697917426,0.36089015841818184
J_SHORT_MODE,2024-04,24,-9.006151743,-0.375256322625
J_SHORT_MODE,2024-05,19,5.987873175000001,0.3151512197368421
J_SHORT_MODE,2024-06,19,0.9884389740999999,0.0520231039
J_SHORT_MODE,2024-07,11,-1.0,-0.09090909090909091
J_SHORT_MODE,2024-08,2,2.9985507246000003,1.4992753623000001
J_SHORT_MODE,2024-09,9,-1.5007473842000003,-0.16674970935555558
J_SHORT_MODE,2024-10,26,1.5031012501999996,0.05781158654615383
J_SHORT_MODE,2024-11,12,5.4969890457999995,0.4580824204833333
J_SHORT_MODE,2024-12,12,-4.4981549815,-0.3748462484583333
J_SHORT_MODE,2025-01,12,7.9886834778,0.66572362315
J_SHORT_MODE,2025-03,12,2.9998775643,0.24998979702500002
J_SHORT_MODE,2025-04,1,1.496124031,1.496124031
J_SHORT_MODE,2025-05,13,7.0000053301000005,0.5384619484692308
J_SHORT_MODE,2025-06,11,1.4950070073,0.13590972793636363
J_SHORT_MODE,2025-07,14,0.9978201372,0.07127286694285714
J_SHORT_MODE,2025-08,5,4.9954145892,0.99908291784
J_SHORT_MODE,2025-09,9,-1.4999461364999997,-0.1666606818333333
J_SHORT_MODE,2025-10,17,-4.5,-0.2647058823529412
J_SHORT_MODE,2025-11,18,4.499302570799999,0.2499612539333333
J_SHORT_MODE,2025-12,6,3.9984328694,0.6664054782333334
J_SHORT_MODE,2026-01,11,3.9923251351999998,0.36293864865454545
J_SHORT_MODE,2026-02,6,3.9968553459000002,0.6661425576500001
J_SHORT_MODE,2026-03,14,0.9949984893999995,0.07107132067142853
