episode_id,symbol,horizon_seconds,target_msc,snapshot_quote_msc,snapshot_lag_ms,horizon_status,episode_status
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,30,1740999617465,1740999618579,1114,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,60,1740999647465,1740999647471,6,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,120,1740999707465,1740999709018,1553,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,300,1740999887465,1740999888353,888,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,600,1741000187465,1741000188064,599,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,900,1741000487465,1741000487586,121,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,1800,1741001387465,1741001388670,1205,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_1,USDJPY,3600,1741003187465,1741003187600,135,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,30,1741001059236,1741001059494,258,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,60,1741001089236,1741001089733,497,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,120,1741001149236,1741001149613,377,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,300,1741001329236,1741001334406,5170,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,600,1741001629236,1741001629798,562,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,900,1741001929236,1741001929308,72,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,1800,1741002829236,1741002830031,795,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_2,USDJPY,3600,1741004629236,1741004630568,1332,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,30,1741002109487,1741002110787,1300,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,60,1741002139487,1741002140480,993,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,120,1741002199487,1741002200201,714,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,300,1741002379487,1741002379495,8,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,600,1741002679487,1741002680775,1288,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,900,1741002979487,1741002981540,2053,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,1800,1741003879487,1741003879853,366,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_3,USDJPY,3600,1741005679487,1741005680915,1428,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,30,1741013644311,1741013644328,17,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,60,1741013674311,1741013675242,931,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,120,1741013734311,1741013734328,17,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,300,1741013914311,1741013914621,310,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,600,1741014214311,1741014214352,41,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,900,1741014514311,1741014514378,67,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,1800,1741015414311,1741015415735,1424,AVAILABLE,COMPLETE_3600S
ts15k_tradeable_move_r1_202503_USDJPY_mh_4,USDJPY,3600,1741017214311,1741017214435,124,AVAILABLE,COMPLETE_3600S
