symbol,episodes,clusters,relative_state_ready,high_movement,clean_continuation_rate,clean_reversal_rate,either_clean_rate,noisy_rate,median_pre_tp_mae_atr,median_time_to_hit_s,high_movement_episodes,high_movement_either_clean_rate,unselected_episodes,unselected_either_clean_rate
AUDUSD,500,500,323,36,0.0,0.0,0.0,0.976,1.0242611597733404,537.6949999999999,36,0.0,287,0.0
EURUSD,248,248,116,5,0.024193548387096774,0.06451612903225806,0.08870967741935484,0.9112903225806451,0.5041146082248529,206.0265,5,0.4,111,0.02702702702702703
USDCAD,631,631,443,47,0.004754358161648178,0.011093502377179081,0.01584786053882726,0.9587955625990491,0.9108021130609023,428.657,47,0.0425531914893617,396,0.005050505050505051
USDCHF,311,311,112,5,0.0,0.0,0.0,0.977491961414791,0.8942967713899226,438.506,5,0.0,107,0.0
USDJPY,1006,1006,789,92,0.07455268389662027,0.0805168986083499,0.1550695825049702,0.8449304174950298,0.4512966921520525,227.37099999999998,92,0.3695652173913043,697,0.10329985652797705
