tp_atr,max_hold_seconds,max_pre_tp_mae_atr,label,episode_count
0.3,600,0.15,NOISY_MOVE,2635
0.3,600,0.15,CLEAN_CONTINUATION,21
0.3,600,0.15,CLEAN_REVERSAL,18
0.3,600,0.15,INSUFFICIENT_MOVE,22
0.3,600,0.2,NOISY_MOVE,2569
0.3,600,0.2,CLEAN_CONTINUATION,48
0.3,600,0.2,CLEAN_REVERSAL,57
0.3,600,0.2,INSUFFICIENT_MOVE,22
0.3,600,0.25,NOISY_MOVE,2454
0.3,600,0.25,CLEAN_CONTINUATION,104
0.3,600,0.25,CLEAN_REVERSAL,116
0.3,600,0.25,INSUFFICIENT_MOVE,22
0.3,600,0.3,NOISY_MOVE,2324
0.3,600,0.3,CLEAN_REVERSAL,182
0.3,600,0.3,CLEAN_CONTINUATION,168
0.3,600,0.3,INSUFFICIENT_MOVE,22
0.3,600,0.4,CLEAN_REVERSAL,337
0.3,600,0.4,NOISY_MOVE,2021
0.3,600,0.4,CLEAN_CONTINUATION,316
0.3,600,0.4,INSUFFICIENT_MOVE,22
0.3,900,0.15,NOISY_MOVE,2635
0.3,900,0.15,CLEAN_CONTINUATION,21
0.3,900,0.15,CLEAN_REVERSAL,18
0.3,900,0.15,INSUFFICIENT_MOVE,22
0.3,900,0.2,NOISY_MOVE,2569
0.3,900,0.2,CLEAN_CONTINUATION,48
0.3,900,0.2,CLEAN_REVERSAL,57
0.3,900,0.2,INSUFFICIENT_MOVE,22
0.3,900,0.25,NOISY_MOVE,2454
0.3,900,0.25,CLEAN_CONTINUATION,104
0.3,900,0.25,CLEAN_REVERSAL,116
0.3,900,0.25,INSUFFICIENT_MOVE,22
0.3,900,0.3,NOISY_MOVE,2324
0.3,900,0.3,CLEAN_REVERSAL,182
0.3,900,0.3,CLEAN_CONTINUATION,168
0.3,900,0.3,INSUFFICIENT_MOVE,22
0.3,900,0.4,CLEAN_REVERSAL,339
0.3,900,0.4,NOISY_MOVE,2016
0.3,900,0.4,CLEAN_CONTINUATION,319
0.3,900,0.4,INSUFFICIENT_MOVE,22
