feature,bin,count,clusters,clean_continuation_rate,clean_reversal_rate,either_clean_rate,ci_low,ci_high,noisy_rate,insufficient_rate
spread_percentile,Q1,181,179,0.11049723756906077,0.10497237569060773,0.2154696132596685,0.15555555555555556,0.2777777777777778,0.7845303867403315,0.0
spread_percentile,Q2,333,324,0.04504504504504504,0.057057057057057055,0.1021021021021021,0.07164179104477612,0.13414634146341464,0.8978978978978979,0.0
spread_percentile,Q3,525,516,0.024761904761904763,0.02857142857142857,0.05333333333333334,0.035847368795082254,0.0741444866920152,0.9352380952380952,0.011428571428571429
spread_percentile,Q4,744,715,0.005376344086021506,0.013440860215053764,0.01881720430107527,0.009523486024844721,0.029451137884872823,0.956989247311828,0.024193548387096774
activity_percentile,Q1,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
activity_percentile,Q2,1651,1588,0.02786190187764991,0.03270745003028468,0.06056935190793458,0.04948686806200459,0.07265124198717948,0.9267110841913991,0.012719563900666263
activity_percentile,Q3,0,0,nan,nan,nan,nan,nan,nan,nan
activity_percentile,Q4,131,130,0.04580152671755725,0.06870229007633588,0.11450381679389313,0.06153846153846154,0.17424242424242425,0.8625954198473282,0.022900763358778626
atr_percentile,Q1,793,767,0.01008827238335435,0.012610340479192938,0.02269861286254729,0.012722242160295643,0.033751056007509384,0.9546027742749055,0.02269861286254729
atr_percentile,Q2,500,490,0.018,0.03,0.048,0.03024041425975206,0.06822729514549425,0.942,0.01
atr_percentile,Q3,317,312,0.0473186119873817,0.056782334384858045,0.10410094637223975,0.07006369426751592,0.13968253968253969,0.8927444794952681,0.0031545741324921135
atr_percentile,Q4,173,170,0.11560693641618497,0.11560693641618497,0.23121387283236994,0.1676300578034682,0.2982456140350877,0.7687861271676301,0.0
