reference_geometry,group,feature,count,mean,median,p25,p75
TP0.40_H900_MAE0.25,CLEAN_MOVE,spread_atr_t0,188,0.1853924632201915,0.17218728505550002,0.14706198715025,0.20835006923625002
TP0.40_H900_MAE0.25,NOISY_MOVE,spread_atr_t0,2473,0.519278309641171,0.428638334848,0.26741785174,0.678651852005
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,spread_atr_t0,84,0.17695931509789287,0.169458978945,0.13813043820374998,0.21086237240300001
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,spread_atr_t0,104,0.19220385208820193,0.1734994599665,0.15207832880375,0.2075590568515
TP0.40_H900_MAE0.25,CLEAN_MOVE,tick_activity_ratio,188,0.9858156028368776,1.0,1.0,1.0
TP0.40_H900_MAE0.25,NOISY_MOVE,tick_activity_ratio,2473,0.895538482275239,1.0,1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,tick_activity_ratio,84,0.9523809523809523,1.0,1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,tick_activity_ratio,104,1.0128205128205097,1.0,1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_MOVE,atr14_m5,188,0.09299629517606382,0.10275660965,0.07692338977499999,0.12408301955
TP0.40_H900_MAE0.25,NOISY_MOVE,atr14_m5,2473,0.027684640896967243,0.0005735194,0.0003599874,0.0618350683
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,atr14_m5,84,0.10148736428214286,0.1062496998,0.084412803825,0.129600470325
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,atr14_m5,104,0.08613812397500001,0.10145136375,0.070599895375,0.118065562175
TP0.40_H900_MAE0.25,CLEAN_MOVE,pre_return_5m_dir_atr,188,0.06712814312798936,0.116546070985,-0.364590392002,0.5261988875935
TP0.40_H900_MAE0.25,NOISY_MOVE,pre_return_5m_dir_atr,2473,0.045600724192941366,0.052852346389,-0.418978096544,0.513011300904
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,pre_return_5m_dir_atr,84,0.03865332531277381,0.06361311287499999,-0.40129751287475,0.49875165171625
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,pre_return_5m_dir_atr,104,0.09012703444027885,0.1878469582895,-0.3356217897215,0.631435590799
TP0.40_H900_MAE0.25,CLEAN_MOVE,m5_ema20_slope_dir_atr,188,-0.004223221940845743,0.0022057505565,-0.27992883223525,0.30648276791875
TP0.40_H900_MAE0.25,NOISY_MOVE,m5_ema20_slope_dir_atr,2473,0.011782038628250707,0.012172198845,-0.280195460627,0.310592303168
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,m5_ema20_slope_dir_atr,84,-0.042294356183511905,-0.0257385585355,-0.36125650296,0.332483444571
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,m5_ema20_slope_dir_atr,104,0.026526540332076926,0.030590092681,-0.2103441246835,0.29027647547175
TP0.40_H900_MAE0.25,CLEAN_MOVE,m15_alignment_dir,188,-0.0851063829787234,-1.0,-1.0,1.0
TP0.40_H900_MAE0.25,NOISY_MOVE,m15_alignment_dir,2470,0.017813765182186234,1.0,-1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,m15_alignment_dir,84,-0.09523809523809523,-1.0,-1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,m15_alignment_dir,104,-0.07692307692307693,-1.0,-1.0,1.0
TP0.40_H900_MAE0.25,CLEAN_MOVE,pre_extension_15m_dir_atr,188,0.022608516936271278,0.096052461918,-0.4362332518335,0.47074688503175
TP0.40_H900_MAE0.25,NOISY_MOVE,pre_extension_15m_dir_atr,2473,0.047134396969797814,0.043063014021,-0.406235697466,0.481300503617
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,pre_extension_15m_dir_atr,84,0.0005479053926428568,0.07911280117,-0.45496138408925,0.503666174275
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,pre_extension_15m_dir_atr,104,0.04042670318304808,0.1111708694275,-0.41295413311675,0.4613630424
TP0.40_H900_MAE0.25,CLEAN_MOVE,day_range_position_dir,188,0.06450344785215957,0.08183079557799999,-0.48016987778075004,0.62420507330125
TP0.40_H900_MAE0.25,NOISY_MOVE,day_range_position_dir,2473,0.08673075045928508,0.092636579572,-0.459491425192,0.638938053097
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,day_range_position_dir,84,0.01684693587213095,0.030693219565500002,-0.56431658708575,0.63505767710725
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,day_range_position_dir,104,0.102995245989875,0.1117588378325,-0.398619527549,0.5972929428485001
TP0.40_H900_MAE0.25,CLEAN_MOVE,detection_efficiency,188,0.857742169475968,1.0,1.0,1.0
