tp_atr,max_pre_tp_mae_atr,holding_seconds,episodes,clean_count,clean_rate,median_clean_mae_atr
0.3,0.15,300,2696,38,0.014094955489614243,0.12335158288209158
0.3,0.15,600,2696,39,0.014465875370919881,0.1236425008943304
0.3,0.15,900,2696,39,0.014465875370919881,0.1236425008943304
0.3,0.15,1800,2696,39,0.014465875370919881,0.1236425008943304
0.3,0.15,3600,2696,39,0.014465875370919881,0.1236425008943304
0.3,0.2,300,2696,103,0.03820474777448071,0.161296039102031
0.3,0.2,600,2696,105,0.03894658753709199,0.161296039102031
0.3,0.2,900,2696,105,0.03894658753709199,0.161296039102031
0.3,0.2,1800,2696,105,0.03894658753709199,0.161296039102031
0.3,0.2,3600,2696,105,0.03894658753709199,0.161296039102031
0.3,0.25,300,2696,214,0.07937685459940653,0.20152082143506167
0.3,0.25,600,2696,220,0.08160237388724036,0.2026969421593009
0.3,0.25,900,2696,220,0.08160237388724036,0.2026969421593009
0.3,0.25,1800,2696,220,0.08160237388724036,0.2026969421593009
0.3,0.25,3600,2696,220,0.08160237388724036,0.2026969421593009
0.3,0.3,300,2696,336,0.12462908011869436,0.22678422395792336
0.3,0.3,600,2696,350,0.1298219584569733,0.2275970758370749
0.3,0.3,900,2696,350,0.1298219584569733,0.2275970758370749
0.3,0.3,1800,2696,350,0.1298219584569733,0.2275970758370749
0.3,0.3,3600,2696,350,0.1298219584569733,0.2275970758370749
0.3,0.4,300,2696,594,0.22032640949554896,0.28616774557275193
0.3,0.4,600,2696,653,0.2422106824925816,0.2916244947026755
0.3,0.4,900,2696,658,0.24406528189910978,0.29194204676230945
0.3,0.4,1800,2696,658,0.24406528189910978,0.29194204676230945
0.3,0.4,3600,2696,658,0.24406528189910978,0.29194204676230945
0.4,0.15,300,2696,36,0.013353115727002967,0.1230343497968261
0.4,0.15,600,2696,37,0.013724035608308606,0.12306066486985276
0.4,0.15,900,2696,37,0.013724035608308606,0.12306066486985276
0.4,0.15,1800,2696,37,0.013724035608308606,0.12306066486985276
0.4,0.15,3600,2696,37,0.013724035608308606,0.12306066486985276
0.4,0.2,300,2696,87,0.0322700296735905,0.15527835645087903
0.4,0.2,600,2696,90,0.03338278931750742,0.15564958180299296
0.4,0.2,900,2696,90,0.03338278931750742,0.15564958180299296
0.4,0.2,1800,2696,90,0.03338278931750742,0.15564958180299296
0.4,0.2,3600,2696,90,0.03338278931750742,0.15564958180299296
0.4,0.25,300,2696,174,0.064540059347181,0.1993714704753346
0.4,0.25,600,2696,187,0.0693620178041543,0.20096387211033545
0.4,0.25,900,2696,188,0.06973293768545995,0.20129464087325488
0.4,0.25,1800,2696,188,0.06973293768545995,0.20129464087325488
0.4,0.25,3600,2696,188,0.06973293768545995,0.20129464087325488
0.4,0.3,300,2696,276,0.10237388724035608,0.22737373723560111
0.4,0.3,600,2696,306,0.11350148367952523,0.2294330786135872
0.4,0.3,900,2696,309,0.11461424332344214,0.2294945123272212
0.4,0.3,1800,2696,309,0.11461424332344214,0.2294945123272212
0.4,0.3,3600,2696,309,0.11461424332344214,0.2294945123272212
0.4,0.4,300,2696,482,0.17878338278931752,0.28481718701340253
0.4,0.4,600,2696,562,0.20845697329376855,0.2916469582150441
0.4,0.4,900,2696,577,0.2140207715133531,0.2935615021320719
0.4,0.4,1800,2696,577,0.2140207715133531,0.2935615021320719
0.4,0.4,3600,2696,577,0.2140207715133531,0.2935615021320719
0.5,0.15,300,2696,29,0.010756676557863502,0.12268193591635904
0.5,0.15,600,2696,31,0.011498516320474777,0.12306066486985276
0.5,0.15,900,2696,32,0.011869436201780416,0.12424546905261032
0.5,0.15,1800,2696,32,0.011869436201780416,0.12424546905261032
0.5,0.15,3600,2696,32,0.011869436201780416,0.12424546905261032
0.5,0.2,300,2696,72,0.026706231454005934,0.15564958180299296
0.5,0.2,600,2696,78,0.028931750741839762,0.15633632343219556
0.5,0.2,900,2696,79,0.0293026706231454,0.15602080715510688
0.5,0.2,1800,2696,79,0.0293026706231454,0.15602080715510688
0.5,0.2,3600,2696,79,0.0293026706231454,0.15602080715510688
0.5,0.25,300,2696,150,0.055637982195845696,0.20399404154570666
0.5,0.25,600,2696,165,0.061201780415430264,0.2033161135588139
0.5,0.25,900,2696,169,0.06268545994065282,0.2033161135588139
0.5,0.25,1800,2696,169,0.06268545994065282,0.2033161135588139
0.5,0.25,3600,2696,169,0.06268545994065282,0.2033161135588139
0.5,0.3,300,2696,237,0.0879080118694362,0.2275061457056689
0.5,0.3,600,2696,268,0.09940652818991098,0.23028432041636182
0.5,0.3,900,2696,276,0.10237388724035608,0.23028432041636182
0.5,0.3,1800,2696,276,0.10237388724035608,0.23028432041636182
0.5,0.3,3600,2696,276,0.10237388724035608,0.23028432041636182
0.5,0.4,300,2696,408,0.1513353115727003,0.28347529204485367
0.5,0.4,600,2696,492,0.1824925816023739,0.2916469582150441
0.5,0.4,900,2696,512,0.18991097922848665,0.2928066526336003
0.5,0.4,1800,2696,516,0.1913946587537092,0.2935277417525127
0.5,0.4,3600,2696,516,0.1913946587537092,0.2935277417525127
