session,episodes,clusters,relative_state_ready,high_movement,clean_continuation_rate,clean_reversal_rate,either_clean_rate,noisy_rate,median_pre_tp_mae_atr,median_time_to_hit_s
LONDON,655,626,420,16,0.007633587786259542,0.035114503816793895,0.042748091603053436,0.9511450381679389,0.7312856739917551,354.872
NEW_YORK,701,642,450,107,0.04992867332382311,0.047075606276747506,0.09700427960057062,0.8958630527817404,0.5267866969251629,284.106
OTHER,108,97,65,8,0.08333333333333333,0.037037037037037035,0.12037037037037036,0.8518518518518519,0.5334058582140335,358.576
OVERLAP,569,520,371,33,0.0351493848857645,0.04745166959578207,0.08260105448154657,0.9156414762741653,0.6963191414712953,279.802
TOKYO,663,653,477,21,0.02262443438914027,0.02564102564102564,0.048265460030165915,0.918552036199095,0.7623748286891459,372.195
