reference_geometry,group,feature,count,mean,median
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,spread_atr_t0,84,0.17695931509789287,0.169458978945
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,spread_atr_t0,104,0.19220385208820193,0.1734994599665
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,tick_activity_ratio,84,0.9523809523809523,1.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,tick_activity_ratio,104,1.0128205128205097,1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,atr14_m5,84,0.10148736428214286,0.1062496998
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,atr14_m5,104,0.08613812397500001,0.10145136375
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,pre_return_5m_dir_atr,84,0.03865332531277381,0.06361311287499999
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,pre_return_5m_dir_atr,104,0.09012703444027885,0.1878469582895
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,m5_ema20_slope_dir_atr,84,-0.042294356183511905,-0.0257385585355
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,m5_ema20_slope_dir_atr,104,0.026526540332076926,0.030590092681
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,m15_alignment_dir,84,-0.09523809523809523,-1.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,m15_alignment_dir,104,-0.07692307692307693,-1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,pre_extension_15m_dir_atr,84,0.0005479053926428568,0.07911280117
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,pre_extension_15m_dir_atr,104,0.04042670318304808,0.1111708694275
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,day_range_position_dir,84,0.01684693587213095,0.030693219565500002
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,day_range_position_dir,104,0.102995245989875,0.1117588378325
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,detection_efficiency,84,0.8535307285307143,1.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,detection_efficiency,104,0.8611437179317499,1.0
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,severity,84,3.7920051928085003,3.5447022025845003
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,severity,104,3.8891338753952023,3.751381445622
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,confirmation_retention,72,1.143160986087611,0.98611111111
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,confirmation_retention,92,0.3188416688951739,0.9875452898549999
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,spread_efficiency_interaction,84,0.15098775281208332,0.1568330270945
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,spread_efficiency_interaction,104,0.16644171087876922,0.165129067766
TP0.40_H900_MAE0.25,CLEAN_CONTINUATION,flow_efficiency_interaction,84,0.022963130495678573,0.0
TP0.40_H900_MAE0.25,CLEAN_REVERSAL,flow_efficiency_interaction,104,0.08778085653149038,0.002645760319
