tp_atr,max_hold_seconds,max_pre_tp_mae_atr,rr_equivalent,eligible_count,eligible_clusters,clean_continuation,clean_reversal,either_clean,either_clean_clusters,both_clean,noisy,insufficient,clean_rate,support_status
0.3,600,0.15,2.0,2696,2537,21,18,39,38,0,2635,22,0.014465875370919881,SUPPORTED_COUNT_ONLY
0.3,600,0.2,1.4999999999999998,2696,2537,48,57,105,104,0,2569,22,0.03894658753709199,SUPPORTED_COUNT_ONLY
0.3,600,0.25,1.2,2696,2537,104,116,220,218,0,2454,22,0.08160237388724036,SUPPORTED_COUNT_ONLY
0.3,600,0.3,1.0,2696,2537,168,182,350,347,0,2324,22,0.1298219584569733,SUPPORTED_COUNT_ONLY
0.3,600,0.4,0.7499999999999999,2696,2537,316,337,653,642,0,2021,22,0.2422106824925816,SUPPORTED_COUNT_ONLY
0.3,900,0.15,2.0,2696,2537,21,18,39,38,0,2635,22,0.014465875370919881,SUPPORTED_COUNT_ONLY
0.3,900,0.2,1.4999999999999998,2696,2537,48,57,105,104,0,2569,22,0.03894658753709199,SUPPORTED_COUNT_ONLY
0.3,900,0.25,1.2,2696,2537,104,116,220,218,0,2454,22,0.08160237388724036,SUPPORTED_COUNT_ONLY
0.3,900,0.3,1.0,2696,2537,168,182,350,347,0,2324,22,0.1298219584569733,SUPPORTED_COUNT_ONLY
0.3,900,0.4,0.7499999999999999,2696,2537,319,339,658,647,0,2016,22,0.24406528189910978,SUPPORTED_COUNT_ONLY
0.3,1800,0.15,2.0,2696,2537,21,18,39,38,0,2635,22,0.014465875370919881,SUPPORTED_COUNT_ONLY
0.3,1800,0.2,1.4999999999999998,2696,2537,48,57,105,104,0,2569,22,0.03894658753709199,SUPPORTED_COUNT_ONLY
0.3,1800,0.25,1.2,2696,2537,104,116,220,218,0,2454,22,0.08160237388724036,SUPPORTED_COUNT_ONLY
0.3,1800,0.3,1.0,2696,2537,168,182,350,347,0,2324,22,0.1298219584569733,SUPPORTED_COUNT_ONLY
0.3,1800,0.4,0.7499999999999999,2696,2537,319,339,658,647,0,2016,22,0.24406528189910978,SUPPORTED_COUNT_ONLY
0.4,600,0.15,2.666666666666667,2696,2537,19,18,37,36,0,2624,35,0.013724035608308606,SUPPORTED_COUNT_ONLY
0.4,600,0.2,2.0,2696,2537,40,50,90,89,0,2571,35,0.03338278931750742,SUPPORTED_COUNT_ONLY
0.4,600,0.25,1.6,2696,2537,84,103,187,185,0,2474,35,0.0693620178041543,SUPPORTED_COUNT_ONLY
0.4,600,0.3,1.3333333333333335,2696,2537,144,162,306,303,0,2355,35,0.11350148367952523,SUPPORTED_COUNT_ONLY
0.4,600,0.4,1.0,2696,2537,270,292,562,551,0,2099,35,0.20845697329376855,SUPPORTED_COUNT_ONLY
0.4,900,0.15,2.666666666666667,2696,2537,19,18,37,36,0,2624,35,0.013724035608308606,SUPPORTED_COUNT_ONLY
0.4,900,0.2,2.0,2696,2537,40,50,90,89,0,2571,35,0.03338278931750742,SUPPORTED_COUNT_ONLY
0.4,900,0.25,1.6,2696,2537,84,104,188,186,0,2473,35,0.06973293768545995,SUPPORTED_COUNT_ONLY
0.4,900,0.3,1.3333333333333335,2696,2537,145,164,309,306,0,2352,35,0.11461424332344214,SUPPORTED_COUNT_ONLY
0.4,900,0.4,1.0,2696,2537,277,300,577,566,0,2084,35,0.2140207715133531,SUPPORTED_COUNT_ONLY
0.4,1800,0.15,2.666666666666667,2696,2537,19,18,37,36,0,2624,35,0.013724035608308606,SUPPORTED_COUNT_ONLY
0.4,1800,0.2,2.0,2696,2537,40,50,90,89,0,2571,35,0.03338278931750742,SUPPORTED_COUNT_ONLY
0.4,1800,0.25,1.6,2696,2537,84,104,188,186,0,2473,35,0.06973293768545995,SUPPORTED_COUNT_ONLY
0.4,1800,0.3,1.3333333333333335,2696,2537,145,164,309,306,0,2352,35,0.11461424332344214,SUPPORTED_COUNT_ONLY
0.4,1800,0.4,1.0,2696,2537,277,300,577,566,0,2084,35,0.2140207715133531,SUPPORTED_COUNT_ONLY
0.5,600,0.15,3.3333333333333335,2696,2537,16,15,31,30,0,2613,52,0.011498516320474777,SUPPORTED_COUNT_ONLY
0.5,600,0.2,2.5,2696,2537,37,41,78,77,0,2566,52,0.028931750741839762,SUPPORTED_COUNT_ONLY
0.5,600,0.25,2.0,2696,2537,76,89,165,163,0,2479,52,0.061201780415430264,SUPPORTED_COUNT_ONLY
0.5,600,0.3,1.6666666666666667,2696,2537,126,142,268,265,0,2376,52,0.09940652818991098,SUPPORTED_COUNT_ONLY
0.5,600,0.4,1.25,2696,2537,229,263,492,484,0,2152,52,0.1824925816023739,SUPPORTED_COUNT_ONLY
0.5,900,0.15,3.3333333333333335,2696,2537,17,15,32,31,0,2612,52,0.011869436201780416,SUPPORTED_COUNT_ONLY
0.5,900,0.2,2.5,2696,2537,38,41,79,78,0,2565,52,0.0293026706231454,SUPPORTED_COUNT_ONLY
0.5,900,0.25,2.0,2696,2537,77,92,169,167,0,2475,52,0.06268545994065282,SUPPORTED_COUNT_ONLY
0.5,900,0.3,1.6666666666666667,2696,2537,129,147,276,273,0,2368,52,0.10237388724035608,SUPPORTED_COUNT_ONLY
0.5,900,0.4,1.25,2696,2537,239,273,512,504,0,2132,52,0.18991097922848665,SUPPORTED_COUNT_ONLY
0.5,1800,0.15,3.3333333333333335,2696,2537,17,15,32,31,0,2612,52,0.011869436201780416,SUPPORTED_COUNT_ONLY
0.5,1800,0.2,2.5,2696,2537,38,41,79,78,0,2565,52,0.0293026706231454,SUPPORTED_COUNT_ONLY
0.5,1800,0.25,2.0,2696,2537,77,92,169,167,0,2475,52,0.06268545994065282,SUPPORTED_COUNT_ONLY
0.5,1800,0.3,1.6666666666666667,2696,2537,129,147,276,273,0,2368,52,0.10237388724035608,SUPPORTED_COUNT_ONLY
0.5,1800,0.4,1.25,2696,2537,242,274,516,508,0,2128,52,0.1913946587537092,SUPPORTED_COUNT_ONLY
