event_id,symbol,detector_version,feature_schema,direction,spec_sha256,candidate_time_msc,confirmed_time_msc,trigger_horizon_ms,horizons_triggered_mask,raw_p_250,raw_p_500,raw_p_1000,adjusted_p_250,adjusted_p_500,adjusted_p_1000,empirical_percentile,severity,local_score,local_sigma,baseline_samples,tail_calibration_samples,quantile_half_width,time_of_day_bucket,volatility_regime,noise_return,efficiency,tick_intensity_ratio,move_spread_ratio,spread_ratio,quote_age_ms,statistical_shock,directional_burst,activity_elevated,liquidity_normal,cost_feasible,strategy_signal,symbol_cluster_id,market_cluster_id,symbol_overlap_event,market_overlap_event,abs_return_1s,abs_return_3s,abs_return_10s,abs_return_30s,abs_return_120s,mfe_120s,mae_120s,realized_volatility_120s,spread_change_120s,tick_activity_120s,quote_reversion_ratio,record_status
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999587250_1","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1740999587000","1740999587250","250","1","0.008336602589","","","0.008336602589","","","99.16633974","P990","2.8216307377","0.000013869991","2310","10195","0.001764890841","2","NORMAL","0.000006661027","1.00000000","2.00000000","0.30555556","1.00000000","71","true","true","true","true","false","false","1","1","false","false","0.000029975171","0.000063281969","0.000069943462","0.000183195632","0.000163209023","0.007500000000","0.031000000000","0.000249280280","0.001000000000","251","4.90000000","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999625000_2","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1740999624750","1740999625000","250","1","0.005839984427","","","0.005839984427","","","99.41600156","P990","3.1438711070","0.000013773538","2351","10273","0.001473398696","2","NORMAL","0.000006661604","1.00000000","1.00000000","0.03125000","0.88888889","193","true","true","false","true","false","false","2","2","false","false","0.000006661493","0.000056620898","0.000066612489","0.000066612489","0.000249836358","0.017000000000","0.050000000000","0.000207886376","-0.003000000000","212","15.00000000","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999661250_3","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","SHORT","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1740999661000","1740999661250","250","1","0.006407144937","","","0.006407144937","","","99.35928551","P990","3.0144400417","0.000013812194","2342","10300","0.001540823459","2","NORMAL","0.000006662003","1.00000000","1.00000000","0.02777778","1.00000000","168","true","true","false","true","false","false","3","3","false","false","0.000009992988","0.000000000000","0.000003331007","0.000033309573","0.000079947501","0.037500000000","0.008000000000","0.000205512916","0.000000000000","211","0.00000000","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999760750_4","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1740999760500","1740999760750","250","1","0.005106464977","","","0.005106464977","","","99.48935350","P990","3.2645595383","0.000013775528","2361","10378","0.001371282073","2","NORMAL","0.000006662025","1.00000000","1.00000000","0.11764706","1.00000000","11","true","true","false","true","false","false","4","4","false","false","0.000019985877","0.000049965441","0.000119921252","0.000053296559","0.000206539990","0.006500000000","0.035000000000","0.000234510837","-0.000000000000","256","6.20000000","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845250_6","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1740999845000","1740999845250","250","1","0.007160588123","","","0.007160588123","","","99.28394119","P990","2.9569030880","0.000013799828","2371","10473","0.001614781026","2","NORMAL","0.000006661604","1.00000000","1.00000000","0.33333333","1.00000000","159","true","true","false","true","false","false","5","5","true","true","0.000043301795","0.000033308907","0.000046632780","0.000239848896","0.000563069644","0.000000000000","0.087500000000","0.000234677719","0.003000000000","249","18.77777778","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1740999845000_5","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1740999844750","1740999845000","250","1","0.009261911582","","","0.009261911582","","","99.07380884","P990","2.7156295317","0.000013799828","2371","10472","0.001834637494","2","NORMAL","0.000006661870","1.00000000","1.00000000","0.30555556","1.00000000","158","true","true","false","true","false","false","5","5","false","false","0.000053294251","0.000043301363","0.000056625236","0.000249841352","0.000573062100","0.000000000000","0.089000000000","0.000234890360","0.002000000000","250","7.47826087","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000198250_7","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","SHORT","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1741000198000","1741000198250","250","1","0.006125290023","","","0.006125290023","","","99.38747100","P990","3.0372102426","0.000013993355","2334","10774","0.001473250442","2","NORMAL","0.000006667111","1.00000000","1.00000000","0.09375000","0.88888889","204","true","true","false","true","false","false","6","6","false","false","0.000003333706","0.000086672445","0.000063342307","0.000046670711","0.000096672628","0.012500000000","0.024500000000","0.000243577519","-0.001000000000","231","1.81250000","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741000392750_8","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1741000392500","1741000392750","250","1","0.008909090909","","","0.008909090909","","","99.10909091","P990","2.7407632055","0.000013989893","2377","10999","0.001756035011","2","NORMAL","0.000006668089","0.00000000","0.00000000","0.00000000","1.11111111","25","true","false","false","true","false","false","7","7","false","false","0.000000000000","0.000026673246","0.000060015804","0.000106697253","0.000073353139","0.001500000000","0.017500000000","0.000196072560","0.000000000000","230","3.66666667","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001029000_9","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1741001028750","1741001029000","250","1","0.008493479753","","","0.008493479753","","","99.15065202","P990","2.7229900728","0.000013762170","2443","11655","0.001665988185","2","NORMAL","0.000006661826","1.00000000","1.00000000","0.03125000","0.88888889","134","true","true","false","true","false","false","8","8","false","false","0.000003330907","0.000033309573","0.000066620255","0.000079944838","0.000083276012","0.003000000000","0.025000000000","0.000206612974","0.003000000000","207","12.50000000","COMPLETE_120S"
"ts15n_delayed_decision_r2_202503_USDJPY_TAIL_V1_PERSISTENT_stat_w250_1741001732500_10","USDJPY","TAIL_V1_PERSISTENT","tickshock-detector-feature-v2","LONG","53DB75EEE4641D98F4917E74B9C26B84D07533CE8EA1A6689AF7F36BAAEA64EA","1741001732250","1741001732500","250","1","0.002491694352","","","0.002491694352","","","99.75083056","P995","3.8135348007","0.000013969420","2232","12039","0.000890529831","2","NORMAL","0.000006658743","1.00000000","1.00000000","0.02631579","1.11764706","178","true","true","false","true","false","false","9","9","false","false","0.000063256687","0.000069915053","0.000043281324","0.000266316905","0.000066585876","0.045500000000","0.000000000000","0.000231201681","-0.002000000000","231","0.00000000","COMPLETE_120S"
