run_id,stage,count
"full2025_f_child_stop","symbols_scanned","445734"
"full2025_f_child_stop","parent_flips_detected","4536"
"full2025_f_child_stop","valid_parent_wave1","4536"
"full2025_f_child_stop","parent_wave2_started","3967"
"full2025_f_child_stop","parent_wave2_invalidated","71"
"full2025_f_child_stop","child_countertrend_confirmed","7869"
"full2025_f_child_stop","child_trend_flips_detected","2839"
"full2025_f_child_stop","first_flip_signals","2839"
"full2025_f_child_stop","signals_consumed","2839"
"full2025_f_child_stop","trades_taken","154"
"full2025_f_child_stop","expired_signals","0"
