period,run,scenario,selection_mode,scan_minutes,artifact_files,artifact_bytes,csv_bytes,diagnostic_csv_bytes,scan_csv_bytes,signal_csv_bytes,trade_diag_csv_bytes,summary_csv_bytes,scan_csv_rows,signal_csv_rows,trade_diag_csv_rows,summary_csv_rows,diagnostic_csv_kb
2025,A,ThirdWave_regime_BOTH_best_5m,best,5,11,6857494,6228013,6186041,5638724,267269,278039,2009,74183,664,911,2,6041.06
2025,B,ThirdWave_regime_BOTH_best_10m,best,10,11,3683641,3167555,3134678,2822640,143833,166208,1997,37134,361,554,2,3061.21
2025,C,ThirdWave_regime_BOTH_best_15m,best,15,11,2518054,2098153,2073919,1883800,82606,105524,1989,24783,209,356,2,2025.31
2025,D,ThirdWave_regime_BOTH_all_5m,all,5,11,6947313,6270426,6224662,5638786,279212,304653,2011,74183,669,938,2,6078.77
2025,E,ThirdWave_regime_BOTH_all_10m,all,10,11,3729668,3193725,3159299,2822627,151992,182681,1999,37134,365,567,2,3085.25
2025,F,ThirdWave_regime_BOTH_all_15m,all,15,11,2542988,2113319,2088231,1883791,86893,115557,1990,24783,209,361,2,2039.29
2024,A,ThirdWave_regime_BOTH_best_5m,best,5,11,6484185,6041021,6013866,5672857,165431,173569,2009,74633,412,571,2,5872.92
2024,B,ThirdWave_regime_BOTH_best_10m,best,10,11,3415904,3044630,3023761,2838707,83759,99301,1994,37346,211,333,2,2952.89
2024,C,ThirdWave_regime_BOTH_best_15m,best,15,11,2342336,2033685,2017872,1893862,54173,67851,1986,24916,137,229,2,1970.58
2024,D,ThirdWave_regime_BOTH_all_5m,all,5,11,6560376,6076107,6045693,5672884,176225,194573,2011,74633,423,601,2,5904.0
2024,E,ThirdWave_regime_BOTH_all_10m,all,10,11,3457687,3066950,3044362,2838710,91044,112613,1995,37346,219,351,2,2973.01
2024,F,ThirdWave_regime_BOTH_all_15m,all,15,11,2370324,2047547,2030558,1893889,58221,76461,1987,24916,140,239,2,1982.97
2026YTD,A,ThirdWave_regime_BOTH_best_5m,best,5,11,2872086,2576726,2561675,2366061,94796,98826,1992,31128,235,323,2,2501.64
2026YTD,B,ThirdWave_regime_BOTH_best_10m,best,10,11,1537459,1297490,1287041,1183935,46053,55078,1975,15576,115,183,2,1256.88
2026YTD,C,ThirdWave_regime_BOTH_best_15m,best,15,11,1066175,864608,857231,789923,29162,36180,1966,10392,73,121,2,837.14
2026YTD,D,ThirdWave_regime_BOTH_all_5m,all,5,11,2893018,2588654,2572923,2366069,98312,106548,1994,31128,235,327,2,2512.62
2026YTD,E,ThirdWave_regime_BOTH_all_10m,all,10,11,1543532,1303552,1293103,1183946,48068,59113,1976,15576,115,183,2,1262.8
2026YTD,F,ThirdWave_regime_BOTH_all_15m,all,15,11,1070263,868685,861308,789901,30515,38925,1967,10392,73,121,2,841.12
