run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
A,ThirdWave_BOTH,2025-01,32,16,16,50.0,332.81,1165.98,-833.17,1.399,10.4,72.87,-52.07
A,ThirdWave_BOTH,2025-02,40,19,21,47.5,293.01,1404.76,-1111.75,1.264,7.33,73.93,-52.94
A,ThirdWave_BOTH,2025-03,32,7,25,21.88,-745.32,493.24,-1238.56,0.398,-23.29,70.46,-49.54
A,ThirdWave_BOTH,2025-04,62,22,40,35.48,-371.0,1484.89,-1855.89,0.8,-5.98,67.5,-46.4
A,ThirdWave_BOTH,2025-05,39,12,27,30.77,-393.82,804.16,-1197.98,0.671,-10.1,67.01,-44.37
A,ThirdWave_BOTH,2025-06,40,16,24,40.0,-44.11,1021.27,-1065.38,0.959,-1.1,63.83,-44.39
A,ThirdWave_BOTH,2025-07,41,18,23,43.9,285.56,1313.02,-1027.46,1.278,6.96,72.95,-44.67
A,ThirdWave_BOTH,2025-08,25,12,13,48.0,224.46,823.24,-598.78,1.375,8.98,68.6,-46.06
A,ThirdWave_BOTH,2025-09,37,11,26,29.73,-441.2,708.09,-1149.29,0.616,-11.92,64.37,-44.2
A,ThirdWave_BOTH,2025-10,33,16,17,48.48,278.63,946.39,-667.76,1.417,8.44,59.15,-39.28
A,ThirdWave_BOTH,2025-11,39,19,20,48.72,338.12,1160.35,-822.23,1.411,8.67,61.07,-41.11
A,ThirdWave_BOTH,2025-12,31,11,20,35.48,-221.55,675.21,-896.76,0.753,-7.15,61.38,-44.84
B,ThirdWave_LONG_ONLY,2025-01,25,11,14,44.0,27.27,755.91,-728.64,1.037,1.09,68.72,-52.05
B,ThirdWave_LONG_ONLY,2025-02,21,10,11,47.62,127.31,728.61,-601.3,1.212,6.06,72.86,-54.66
B,ThirdWave_LONG_ONLY,2025-03,23,5,18,21.74,-536.6,312.01,-848.61,0.368,-23.33,62.4,-47.15
B,ThirdWave_LONG_ONLY,2025-04,39,13,26,33.33,-336.89,835.32,-1172.21,0.713,-8.64,64.26,-45.09
B,ThirdWave_LONG_ONLY,2025-05,17,5,12,29.41,-243.19,299.96,-543.15,0.552,-14.31,59.99,-45.26
B,ThirdWave_LONG_ONLY,2025-06,17,6,11,35.29,-114.53,387.9,-502.43,0.772,-6.74,64.65,-45.68
B,ThirdWave_LONG_ONLY,2025-07,28,9,19,32.14,-255.81,557.76,-813.57,0.686,-9.14,61.97,-42.82
B,ThirdWave_LONG_ONLY,2025-08,14,7,7,50.0,122.65,437.49,-314.84,1.39,8.76,62.5,-44.98
B,ThirdWave_LONG_ONLY,2025-09,20,5,15,25.0,-329.13,286.83,-615.96,0.466,-16.46,57.37,-41.06
B,ThirdWave_LONG_ONLY,2025-10,24,13,11,54.17,281.96,702.18,-420.22,1.671,11.75,54.01,-38.2
B,ThirdWave_LONG_ONLY,2025-11,21,10,11,47.62,125.49,572.14,-446.65,1.281,5.98,57.21,-40.6
B,ThirdWave_LONG_ONLY,2025-12,22,7,15,31.82,-233.09,380.85,-613.94,0.62,-10.59,54.41,-40.93
C,ThirdWave_SHORT_ONLY,2025-01,10,6,4,60.0,232.79,425.51,-192.72,2.208,23.28,70.92,-48.18
C,ThirdWave_SHORT_ONLY,2025-02,19,9,10,47.37,158.78,651.16,-492.38,1.322,8.36,72.35,-49.24
C,ThirdWave_SHORT_ONLY,2025-03,10,2,8,20.0,-250.35,150.92,-401.27,0.376,-25.04,75.46,-50.16
C,ThirdWave_SHORT_ONLY,2025-04,33,11,22,33.33,-269.25,784.65,-1053.9,0.745,-8.16,71.33,-47.9
C,ThirdWave_SHORT_ONLY,2025-05,24,6,18,25.0,-406.75,414.61,-821.36,0.505,-16.95,69.1,-45.63
C,ThirdWave_SHORT_ONLY,2025-06,25,11,14,44.0,66.96,723.68,-656.72,1.102,2.68,65.79,-46.91
C,ThirdWave_SHORT_ONLY,2025-07,16,9,7,56.25,437.92,767.95,-330.03,2.327,27.37,85.33,-47.15
C,ThirdWave_SHORT_ONLY,2025-08,13,5,8,38.46,-0.91,361.57,-362.48,0.997,-0.07,72.31,-45.31
C,ThirdWave_SHORT_ONLY,2025-09,17,6,11,35.29,-85.97,430.94,-516.91,0.834,-5.06,71.82,-46.99
C,ThirdWave_SHORT_ONLY,2025-10,13,6,7,46.15,97.31,398.23,-300.92,1.323,7.49,66.37,-42.99
C,ThirdWave_SHORT_ONLY,2025-11,18,9,9,50.0,179.4,595.15,-415.75,1.432,9.97,66.13,-46.19
C,ThirdWave_SHORT_ONLY,2025-12,10,5,5,50.0,86.77,323.62,-236.85,1.366,8.68,64.72,-47.37
