period,run,scenario,fail_reason,label,breakout_quality_label,context_quality_label,rows
2025-02,A,instant_all_r12,spread_guard,neckline_break_late,unclassified,not_evaluated,6
2025-02,A,instant_all_r12,spread_guard,neckline_break_initial,unclassified,not_evaluated,2
2025-02,A,instant_all_r12,spread_guard,clean_nested_nwave_entry,unclassified,not_evaluated,1
2025-02,B,retest_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,490
2025-02,B,retest_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,96
2025-02,B,retest_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,58
2025-02,B,retest_all_r12,no_retest_detected,h1_counter_trend_nwave,unclassified,not_evaluated,36
2025-02,B,retest_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,18
2025-02,B,retest_all_r12,spread_guard,retest_then_go_after_return_inside,unclassified,not_evaluated,3
2025-02,B,retest_all_r12,spread_guard,retest_confirmation_entry,unclassified,not_evaluated,1
2025-02,C,breakout_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,437
2025-02,C,breakout_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,170
2025-02,C,breakout_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,43
2025-02,C,breakout_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,18
2025-02,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,mixed_context,13
2025-02,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,clean_context,8
2025-02,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,clean_context,7
2025-02,C,breakout_router_all_r12,dirty_breakout,dirty_breakout,dirty_breakout,poor_context,6
2025-02,C,breakout_router_all_r12,weak_breakout_waiting_retest,weak_breakout,weak_breakout,mixed_context,4
2025-02,C,breakout_router_all_r12,spread_guard,strong_breakout,strong_breakout,clean_context,1
2025-02,D,context_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,437
2025-02,D,context_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,170
2025-02,D,context_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,43
2025-02,D,context_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,18
2025-02,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,13
2025-02,D,context_router_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,8
2025-02,D,context_router_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,6
2025-02,D,context_router_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,4
2025-02,D,context_router_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,1
2025-02,D,context_router_all_r12,spread_guard,strong_breakout_clean_context,strong_breakout,clean_context,1
2025-02,E,context_router_v2_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,437
2025-02,E,context_router_v2_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,170
2025-02,E,context_router_v2_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,43
2025-02,E,context_router_v2_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,18
2025-02,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_mixed_context,dirty_breakout,mixed_context,13
2025-02,E,context_router_v2_all_r12,context_router_dirty_wait_retest,dirty_breakout_clean_context,dirty_breakout,clean_context,8
2025-02,E,context_router_v2_all_r12,context_router_dirty_poor_context,dirty_breakout_poor_context,dirty_breakout,poor_context,6
2025-02,E,context_router_v2_all_r12,context_router_weak_wait_retest,weak_breakout_mixed_context,weak_breakout,mixed_context,4
2025-02,E,context_router_v2_all_r12,context_router_v2_weak_body_too_small,weak_breakout_clean_context_body_too_small,weak_breakout,clean_context,2
2025-02,E,context_router_v2_all_r12,spread_guard,weak_breakout_clean_context,weak_breakout,clean_context,1
2025-02,E,context_router_v2_all_r12,spread_guard,strong_breakout_clean_context,strong_breakout,clean_context,1
2025-08,A,instant_all_r12,spread_guard,neckline_break_late,unclassified,not_evaluated,10
2025-08,A,instant_all_r12,spread_guard,neckline_break_initial,unclassified,not_evaluated,4
2025-08,A,instant_all_r12,spread_guard,clean_nested_nwave_entry,unclassified,not_evaluated,2
2025-08,B,retest_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,317
2025-08,B,retest_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,72
2025-08,B,retest_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,58
2025-08,B,retest_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,13
2025-08,B,retest_all_r12,no_retest_detected,h1_counter_trend_nwave,unclassified,not_evaluated,9
2025-08,B,retest_all_r12,spread_guard,retest_confirmation_entry,unclassified,not_evaluated,3
2025-08,B,retest_all_r12,spread_guard,retest_then_go_after_return_inside,unclassified,not_evaluated,2
2025-08,C,breakout_router_all_r12,no_retest_confirmation_break,h1_counter_trend_nwave,unclassified,not_evaluated,299
2025-08,C,breakout_router_all_r12,sl_too_wide,sl_too_wide,unclassified,not_evaluated,104
2025-08,C,breakout_router_all_r12,no_retest_trigger,h1_counter_trend_nwave,unclassified,not_evaluated,41
2025-08,C,breakout_router_all_r12,retest_invalidated,h1_counter_trend_nwave,unclassified,not_evaluated,13
