period,selection_mode,scan_minutes,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,all,10,-1R--0.25R,9,0,9,0.0,-449.09,0.0,-449.09,0.0,-49.9,0.0,-49.9
2024,all,10,1.5R+,54,54,0,100.0,3952.67,3952.67,0.0,,73.2,73.2,0.0
2024,all,10,1R-1.5R,5,5,0,100.0,360.79,360.79,0.0,,72.16,72.16,0.0
2024,all,10,<-1R,64,0,64,0.0,-3298.55,0.0,-3298.55,0.0,-51.54,0.0,-51.54
2024,all,15,-1R--0.25R,5,0,5,0.0,-245.43,0.0,-245.43,0.0,-49.09,0.0,-49.09
2024,all,15,1.5R+,36,36,0,100.0,2436.5,2436.5,0.0,,67.68,67.68,0.0
2024,all,15,1R-1.5R,4,4,0,100.0,255.8,255.8,0.0,,63.95,63.95,0.0
2024,all,15,<-1R,54,0,54,0.0,-2690.22,0.0,-2690.22,0.0,-49.82,0.0,-49.82
2024,all,5,-1R--0.25R,11,0,11,0.0,-549.08,0.0,-549.08,0.0,-49.92,0.0,-49.92
2024,all,5,1.5R+,69,69,0,100.0,5236.07,5236.07,0.0,,75.89,75.89,0.0
2024,all,5,1R-1.5R,9,9,0,100.0,622.87,622.87,0.0,,69.21,69.21,0.0
2024,all,5,<-1R,89,0,89,0.0,-4595.61,0.0,-4595.61,0.0,-51.64,0.0,-51.64
2024,best,10,-1R--0.25R,7,0,7,0.0,-348.96,0.0,-348.96,0.0,-49.85,0.0,-49.85
2024,best,10,1.5R+,51,51,0,100.0,3738.41,3738.41,0.0,,73.3,73.3,0.0
2024,best,10,1R-1.5R,4,4,0,100.0,279.63,279.63,0.0,,69.91,69.91,0.0
2024,best,10,<-1R,60,0,60,0.0,-3084.4,0.0,-3084.4,0.0,-51.41,0.0,-51.41
2024,best,15,-1R--0.25R,5,0,5,0.0,-240.56,0.0,-240.56,0.0,-48.11,0.0,-48.11
2024,best,15,1.5R+,33,33,0,100.0,2215.85,2215.85,0.0,,67.15,67.15,0.0
2024,best,15,1R-1.5R,4,4,0,100.0,259.15,259.15,0.0,,64.79,64.79,0.0
2024,best,15,<-1R,50,0,50,0.0,-2499.48,0.0,-2499.48,0.0,-49.99,0.0,-49.99
2024,best,5,-1R--0.25R,11,0,11,0.0,-557.98,0.0,-557.98,0.0,-50.73,0.0,-50.73
2024,best,5,1.5R+,64,64,0,100.0,4905.19,4905.19,0.0,,76.64,76.64,0.0
2024,best,5,1R-1.5R,7,7,0,100.0,466.91,466.91,0.0,,66.7,66.7,0.0
2024,best,5,<-1R,77,0,77,0.0,-3981.71,0.0,-3981.71,0.0,-51.71,0.0,-51.71
2025,all,10,-1R--0.25R,16,0,16,0.0,-750.88,0.0,-750.88,0.0,-46.93,0.0,-46.93
2025,all,10,1.5R+,68,68,0,100.0,4702.7,4702.7,0.0,,69.16,69.16,0.0
2025,all,10,1R-1.5R,6,6,0,100.0,414.22,414.22,0.0,,69.04,69.04,0.0
