time,symbol,direction,event,regime,regime_reason,higher_tf_swing_state,ema_slope,trend_strength,volatility_state,entry_allowed_by_regime,blocked_by_regime_reason,lower_reversal_quality,pullback_depth_atr,sl_atr,order_retcode,order_comment,entry_price,sl,tp,volume,risk_r,rr,skip_reason,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,spread_atr,max_spread_atr,spread_guard_pass,spread_guard_blocked,spread_points,atr_value,strategy_name
2025.02.05 10:49:59,USDJPY,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.856 range_atr=9.67 vol=normal,LL_LH,-0.234,0.8560,normal,true,,100.00,1.57,2.91,0,,153.027,153.357,152.532,0.23,0.330,1.50,all_score_passing_candidate,,,true,,true,,90.00,true,2.98,3,0.21,0.1674,0.2000,true,false,19.0,0.113,DowFractal_ThirdWave_Regime
2025.02.05 10:49:59,USDJPY,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.856 range_atr=9.67 vol=normal,LL_LH,-0.234,0.8560,normal,true,,100.00,1.57,2.91,10009,order_sent,153.027,153.357,152.532,0.23,0.330,1.50,all_score_passing_candidate,,,true,,true,,90.00,true,2.98,3,0.21,0.1674,0.2000,true,false,19.0,0.113,DowFractal_ThirdWave_Regime
2025.02.05 11:00:00,USDJPY,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.856 range_atr=9.67 vol=normal,LL_LH,-0.234,0.8560,normal,true,,100.00,1.57,2.90,0,existing_position,153.045,153.356,152.579,0.24,0.311,1.50,existing_position,,existing_position,true,,true,,35.00,false,1.44,1,0.43,0.1678,0.2000,true,false,18.0,0.107,DowFractal_ThirdWave_Regime
2025.02.05 19:09:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.838 range_atr=8.84 vol=normal,HH_HL,7.10,0.8383,normal,true,,100.00,2.38,3.70,0,,2875.11,2862.84,2893.52,0.04,12.27,1.50,all_score_passing_candidate,,,true,,true,,70.00,true,1.64,3,0.39,0.0543,0.2000,true,false,18.0,3.31,DowFractal_ThirdWave_Regime
2025.02.05 19:09:59,XAUUSD,LONG,order_sent,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.838 range_atr=8.84 vol=normal,HH_HL,7.10,0.8383,normal,true,,100.00,2.38,3.70,10009,order_sent,2875.11,2862.84,2893.52,0.04,12.27,1.50,all_score_passing_candidate,,,true,,true,,70.00,true,1.64,3,0.39,0.0543,0.2000,true,false,18.0,3.31,DowFractal_ThirdWave_Regime
2025.02.05 19:19:59,XAUUSD,LONG,order_blocked,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.838 range_atr=8.84 vol=normal,HH_HL,7.10,0.8383,normal,true,,100.00,2.53,3.51,0,existing_position,2874.01,2862.86,2890.74,0.04,11.15,1.50,existing_position,,existing_position,true,,true,,0.00,false,0.08,1,0.81,0.0567,0.2000,true,false,18.0,3.18,DowFractal_ThirdWave_Regime
2025.02.07 18:34:59,USDJPY,SHORT,order_attempt,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.330 range_atr=6.11 vol=normal,LL_LH,-0.105,0.3300,normal,true,,100.00,2.68,3.93,0,,151.126,151.771,150.159,0.11,0.645,1.50,all_score_passing_candidate,,,true,,true,,35.00,false,1.01,4,0.40,0.0976,0.2000,true,false,16.0,0.164,DowFractal_ThirdWave_Regime
2025.02.07 18:34:59,USDJPY,SHORT,order_sent,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.330 range_atr=6.11 vol=normal,LL_LH,-0.105,0.3300,normal,true,,100.00,2.68,3.93,10009,order_sent,151.126,151.771,150.159,0.11,0.645,1.50,all_score_passing_candidate,,,true,,true,,35.00,false,1.01,4,0.40,0.0976,0.2000,true,false,16.0,0.164,DowFractal_ThirdWave_Regime
2025.02.07 18:49:59,USDJPY,SHORT,order_blocked,REGIME_TREND_DOWN,trend_down swing=LL_LH strength=0.330 range_atr=6.11 vol=normal,LL_LH,-0.105,0.3300,normal,true,,100.00,2.61,3.81,0,existing_position,151.174,151.773,150.276,0.12,0.599,1.50,existing_position,,existing_position,true,,true,,70.00,true,1.29,6,1.22,0.1144,0.2000,true,false,18.0,0.157,DowFractal_ThirdWave_Regime
2025.02.10 05:59:59,XAUUSD,LONG,order_attempt,REGIME_TREND_UP,trend_up swing=HH_HL strength=0.021 range_atr=5.29 vol=normal,HH_HL,0.21,0.0211,normal,true,,100.00,4.89,2.78,0,,2875.74,2871.13,2882.66,0.10,4.61,1.50,all_score_passing_candidate,,,true,,true,,20.00,false,1.10,2,0.19,0.1086,0.2000,true,false,18.0,1.66,DowFractal_ThirdWave_Regime
