entry_selection_mode,period,breakout_quality_reason,candidates,hypothetical_wins,hypothetical_losses,hypothetical_win_rate,hypothetical_net_profit,hypothetical_profit_factor,hypothetical_expected_payoff,hypothetical_avg_R,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct,same_bar_ambiguous,fx_hypothetical_net,xauusd_hypothetical_net,long_hypothetical_net,short_hypothetical_net
ALL_SCORE_PASSING,2025-02,instant_entry_quality,3,1,2,33.33,6.05,1.066,2.02,0.0,0.83,0.861,33.33,33.33,33.33,66.67,0,-91.11,97.16,0,6.05
ALL_SCORE_PASSING,2025-02,route_to_retest_confirmation,11,5,6,45.45,185.85,1.649,16.9,0.364,2.571,0.772,54.55,45.45,45.45,54.55,0,137.75,48.1,-93.68,279.53
ALL_SCORE_PASSING,2025-02,shallow_close_distance,2,0,2,0.0,-92.61,0.0,-46.3,-1.0,1.19,2.252,100.0,50.0,0.0,100.0,0,-92.61,0,-92.61,0
ALL_SCORE_PASSING,2025-02,shallow_close_distance|weak_directional_close,1,0,1,0.0,-47.11,0.0,-47.11,-1.0,0.098,1.024,0.0,0.0,0.0,100.0,0,-47.11,0,-47.11,0
ALL_SCORE_PASSING,2025-02,shallow_close_distance|weak_directional_close|large_directional_wick,4,2,2,50.0,100.67,2.049,25.17,0.5,2.14,0.544,50.0,50.0,50.0,25.0,0,100.67,0,-49.68,150.35
ALL_SCORE_PASSING,2025-02,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,0,1,0.0,-42.48,0.0,-42.48,-1.0,0.28,1.094,0.0,0.0,0.0,100.0,0,0,-42.48,-42.48,0
ALL_SCORE_PASSING,2025-02,shallow_close_distance|weak_directional_close|sl_too_wide_for_router,1,0,1,0.0,-47.25,0.0,-47.25,-1.0,0.062,1.351,0.0,0.0,0.0,100.0,0,-47.25,0,-47.25,0
ALL_SCORE_PASSING,2025-02,sl_too_wide_for_router,2,0,2,0.0,-94.4,0.0,-47.2,-1.0,0.505,1.131,50.0,0.0,0.0,50.0,0,-94.4,0,-47.56,-46.84
ALL_SCORE_PASSING,2025-02,sl_too_wide_for_router|breakout_bar_overextended,1,1,0,100.0,90.91,,90.91,2.0,2.135,0.055,100.0,100.0,100.0,0.0,0,90.91,0,0,90.91
ALL_SCORE_PASSING,2025-02,weak_directional_close,9,5,4,55.56,277.41,2.481,30.82,0.667,3.439,0.616,88.89,66.67,55.56,22.22,0,184.01,93.4,-0.32,277.73
ALL_SCORE_PASSING,2025-02,weak_directional_close|breakout_bar_overextended,1,0,1,0.0,-48.72,0.0,-48.72,-1.0,0.31,1.04,0.0,0.0,0.0,100.0,0,-48.72,0,-48.72,0
ALL_SCORE_PASSING,2025-02,weak_directional_close|large_directional_wick,4,0,4,0.0,-186.09,0.0,-46.52,-1.0,0.61,1.145,75.0,0.0,0.0,75.0,0,-186.09,0,-46.96,-139.13
ALL_SCORE_PASSING,2025-02,weak_directional_close|sl_too_wide_for_router,1,0,1,0.0,-48.9,0.0,-48.9,-1.0,0.444,1.066,0.0,0.0,0.0,100.0,0,-48.9,0,0,-48.9
ALL_SCORE_PASSING,2025-08,large_directional_wick,1,1,0,100.0,92.52,,92.52,2.0,2.03,0.957,100.0,100.0,100.0,0.0,0,0,92.52,92.52,0
ALL_SCORE_PASSING,2025-08,route_to_retest_confirmation,5,2,3,40.0,51.26,1.368,10.25,0.2,1.132,1.273,80.0,40.0,40.0,80.0,0,51.26,0,96.18,-44.92
ALL_SCORE_PASSING,2025-08,shallow_close_distance,2,2,0,100.0,182.94,,91.47,2.0,2.117,0.636,100.0,100.0,100.0,0.0,0,182.94,0,182.94,0
ALL_SCORE_PASSING,2025-08,shallow_close_distance|weak_directional_close,1,0,1,0.0,-45.08,0.0,-45.08,-1.0,0.0,1.084,0.0,0.0,0.0,100.0,0,-45.08,0,-45.08,0
ALL_SCORE_PASSING,2025-08,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,1,0,100.0,90.42,,90.42,2.0,2.26,0.309,100.0,100.0,100.0,0.0,0,90.42,0,90.42,0
ALL_SCORE_PASSING,2025-08,sl_too_wide_for_router,2,0,2,0.0,-93.25,0.0,-46.62,-1.0,0.105,1.94,0.0,0.0,0.0,100.0,0,-93.25,0,-48.67,-44.58
ALL_SCORE_PASSING,2025-08,weak_directional_close,3,1,2,33.33,0.7,1.008,0.23,0.0,1.008,0.961,66.67,33.33,33.33,100.0,0,0.7,0,91.49,-90.79
ALL_SCORE_PASSING,2025-08,weak_directional_close|large_directional_wick,2,2,0,100.0,188.44,,94.22,2.0,2.109,0.472,100.0,100.0,100.0,100.0,0,91.42,97.02,188.44,0
ALL_SCORE_PASSING,2025-08,weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,0,1,0.0,-44.49,0.0,-44.49,-1.0,1.523,1.158,100.0,100.0,0.0,0.0,0,-44.49,0,0,-44.49
ALL_SCORE_PASSING,2025-08,weak_directional_close|sl_too_wide_for_router,1,1,0,100.0,90.19,,90.19,2.0,2.051,0.764,100.0,100.0,100.0,100.0,0,90.19,0,90.19,0
ALL_SCORE_PASSING,2025-10,instant_entry_quality,5,5,0,100.0,484.31,,96.86,2.0,2.125,0.479,100.0,100.0,100.0,80.0,0,293.51,190.8,190.8,293.51
ALL_SCORE_PASSING,2025-10,route_to_retest_confirmation,7,4,3,57.14,251.46,2.77,35.92,0.714,1.428,0.83,71.43,71.43,57.14,71.43,0,153.88,97.58,54.18,197.28
ALL_SCORE_PASSING,2025-10,shallow_close_distance,1,1,0,100.0,94.4,,94.4,2.0,2.093,0.107,100.0,100.0,100.0,0.0,0,94.4,0,0,94.4
ALL_SCORE_PASSING,2025-10,shallow_close_distance|sl_too_wide_for_router,1,1,0,100.0,64.76,,64.76,2.0,2.298,0.776,100.0,100.0,100.0,0.0,0,0,64.76,64.76,0
ALL_SCORE_PASSING,2025-10,shallow_close_distance|weak_directional_close,1,0,1,0.0,-43.08,0.0,-43.08,-1.0,1.667,1.174,100.0,100.0,0.0,100.0,0,-43.08,0,0,-43.08
ALL_SCORE_PASSING,2025-10,shallow_close_distance|weak_directional_close|large_directional_wick,3,2,1,66.67,143.37,4.054,47.79,1.0,1.995,0.496,100.0,100.0,66.67,33.33,0,143.37,0,94.42,48.95
ALL_SCORE_PASSING,2025-10,shallow_close_distance|weak_directional_close|sl_too_wide_for_router,1,0,1,0.0,-47.2,0.0,-47.2,-1.0,0.367,1.022,0.0,0.0,0.0,100.0,0,-47.2,0,0,-47.2
ALL_SCORE_PASSING,2025-10,sl_too_wide_for_router,4,1,3,25.0,-52.7,0.637,-13.17,-0.25,0.894,1.01,50.0,25.0,25.0,100.0,0,-52.7,0,-4.94,-47.76
ALL_SCORE_PASSING,2025-10,weak_directional_close,1,1,0,100.0,96.64,,96.64,2.0,2.05,0.925,100.0,100.0,100.0,100.0,0,0,96.64,96.64,0
ALL_SCORE_PASSING,2025-10,weak_directional_close|large_directional_wick,1,0,1,0.0,-47.04,0.0,-47.04,-1.0,0.006,1.015,0.0,0.0,0.0,100.0,0,0,-47.04,-47.04,0
ALL_SCORE_PASSING,2025-10,weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,1,0,100.0,99.61,,99.61,2.0,2.234,0.614,100.0,100.0,100.0,0.0,0,99.61,0,0,99.61
ALL_SCORE_PASSING,2025-10,weak_directional_close|sl_too_wide_for_router,2,0,2,0.0,-96.44,0.0,-48.22,-1.0,0.487,1.293,50.0,0.0,0.0,50.0,0,-96.44,0,-48.9,-47.54
ALL_SCORE_PASSING,2026-Q1,instant_entry_quality,8,3,5,37.5,83.31,1.403,10.41,0.125,1.264,1.086,75.0,62.5,37.5,87.5,0,165.51,-82.2,-37.16,120.47
ALL_SCORE_PASSING,2026-Q1,large_directional_wick,3,2,1,66.67,151.99,4.326,50.66,1.0,1.942,0.678,100.0,100.0,66.67,0.0,0,151.99,0,197.69,-45.7
ALL_SCORE_PASSING,2026-Q1,large_directional_wick|sl_too_wide_for_router,2,0,2,0.0,-98.0,0.0,-49.0,-1.0,1.194,1.052,50.0,50.0,0.0,0.0,0,-98.0,0,0,-98.0
ALL_SCORE_PASSING,2026-Q1,route_to_retest_confirmation,35,10,25,28.57,-222.04,0.807,-6.34,-0.143,1.192,1.1,71.43,54.29,25.71,65.71,0,148.34,-370.38,-203.55,-18.49
ALL_SCORE_PASSING,2026-Q1,shallow_close_distance,10,2,8,20.0,-172.76,0.533,-17.28,-0.4,1.156,1.257,70.0,40.0,20.0,90.0,0,-92.37,-80.39,-231.14,58.38
ALL_SCORE_PASSING,2026-Q1,shallow_close_distance|large_directional_wick,1,0,1,0.0,-49.03,0.0,-49.03,-1.0,0.796,1.179,100.0,0.0,0.0,100.0,0,-49.03,0,-49.03,0
ALL_SCORE_PASSING,2026-Q1,shallow_close_distance|sl_too_wide_for_router,2,0,2,0.0,-97.23,0.0,-48.62,-1.0,0.248,1.208,0.0,0.0,0.0,100.0,0,-97.23,0,-97.23,0
ALL_SCORE_PASSING,2026-Q1,shallow_close_distance|sl_too_wide_for_router|entry_far_from_neckline,1,0,1,0.0,-47.84,0.0,-47.84,-1.0,0.072,1.077,0.0,0.0,0.0,100.0,0,-47.84,0,0,-47.84
ALL_SCORE_PASSING,2026-Q1,shallow_close_distance|weak_directional_close,3,0,3,0.0,-146.27,0.0,-48.76,-1.0,0.522,1.052,33.33,0.0,0.0,100.0,0,-146.27,0,-97.07,-49.2
ALL_SCORE_PASSING,2026-Q1,shallow_close_distance|weak_directional_close|large_directional_wick,6,3,3,50.0,131.17,1.909,21.86,0.5,1.714,0.731,83.33,83.33,50.0,50.0,0,102.13,29.04,27.7,103.47
ALL_SCORE_PASSING,2026-Q1,sl_too_wide_for_router,9,2,7,22.22,-117.4,0.626,-13.04,-0.333,1.243,1.04,77.78,66.67,22.22,55.56,0,-88.08,-29.32,-142.89,25.49
ALL_SCORE_PASSING,2026-Q1,weak_directional_close,18,6,12,33.33,51.2,1.095,2.84,0.0,1.179,1.015,77.78,50.0,33.33,66.67,0,160.37,-109.17,-92.12,143.32
ALL_SCORE_PASSING,2026-Q1,weak_directional_close|large_directional_wick,10,2,8,20.0,-158.26,0.554,-15.83,-0.4,1.002,1.111,70.0,30.0,20.0,80.0,0,-89.16,-69.1,-70.12,-88.14
ALL_SCORE_PASSING,2026-Q1,weak_directional_close|large_directional_wick|sl_too_wide_for_router,5,2,3,40.0,53.44,1.388,10.69,0.2,1.391,0.937,80.0,80.0,40.0,60.0,0,96.15,-42.71,49.96,3.48
ALL_SCORE_PASSING,2026-Q1,weak_directional_close|sl_too_wide_for_router,5,0,5,0.0,-233.93,0.0,-46.79,-1.0,1.593,1.238,100.0,100.0,0.0,0.0,0,-194.26,-39.67,-88.46,-145.47
ALL_SCORE_PASSING,2026-Q1,weak_directional_close|sl_too_wide_for_router|entry_far_from_neckline,1,0,1,0.0,-48.62,0.0,-48.62,-1.0,0.0,1.133,0.0,0.0,0.0,100.0,0,-48.62,0,-48.62,0
BEST_ONLY,2025-02,instant_entry_quality,3,1,2,33.33,6.05,1.066,2.02,0.0,0.83,0.861,33.33,33.33,33.33,66.67,0,-91.11,97.16,0,6.05
BEST_ONLY,2025-02,route_to_retest_confirmation,11,5,6,45.45,185.85,1.649,16.9,0.364,2.571,0.772,54.55,45.45,45.45,54.55,0,137.75,48.1,-93.68,279.53
BEST_ONLY,2025-02,shallow_close_distance,2,0,2,0.0,-92.61,0.0,-46.3,-1.0,1.19,2.252,100.0,50.0,0.0,100.0,0,-92.61,0,-92.61,0
BEST_ONLY,2025-02,shallow_close_distance|weak_directional_close,1,0,1,0.0,-47.11,0.0,-47.11,-1.0,0.098,1.024,0.0,0.0,0.0,100.0,0,-47.11,0,-47.11,0
BEST_ONLY,2025-02,shallow_close_distance|weak_directional_close|large_directional_wick,4,2,2,50.0,100.67,2.049,25.17,0.5,2.14,0.544,50.0,50.0,50.0,25.0,0,100.67,0,-49.68,150.35
BEST_ONLY,2025-02,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,0,1,0.0,-42.48,0.0,-42.48,-1.0,0.28,1.094,0.0,0.0,0.0,100.0,0,0,-42.48,-42.48,0
BEST_ONLY,2025-02,shallow_close_distance|weak_directional_close|sl_too_wide_for_router,1,0,1,0.0,-47.25,0.0,-47.25,-1.0,0.062,1.351,0.0,0.0,0.0,100.0,0,-47.25,0,-47.25,0
BEST_ONLY,2025-02,sl_too_wide_for_router,2,0,2,0.0,-94.4,0.0,-47.2,-1.0,0.505,1.131,50.0,0.0,0.0,50.0,0,-94.4,0,-47.56,-46.84
BEST_ONLY,2025-02,sl_too_wide_for_router|breakout_bar_overextended,1,1,0,100.0,90.91,,90.91,2.0,2.135,0.055,100.0,100.0,100.0,0.0,0,90.91,0,0,90.91
BEST_ONLY,2025-02,weak_directional_close,9,5,4,55.56,277.41,2.481,30.82,0.667,3.439,0.616,88.89,66.67,55.56,22.22,0,184.01,93.4,-0.32,277.73
BEST_ONLY,2025-02,weak_directional_close|breakout_bar_overextended,1,0,1,0.0,-48.72,0.0,-48.72,-1.0,0.31,1.04,0.0,0.0,0.0,100.0,0,-48.72,0,-48.72,0
BEST_ONLY,2025-02,weak_directional_close|large_directional_wick,4,0,4,0.0,-186.09,0.0,-46.52,-1.0,0.61,1.145,75.0,0.0,0.0,75.0,0,-186.09,0,-46.96,-139.13
BEST_ONLY,2025-02,weak_directional_close|sl_too_wide_for_router,1,0,1,0.0,-48.9,0.0,-48.9,-1.0,0.444,1.066,0.0,0.0,0.0,100.0,0,-48.9,0,0,-48.9
BEST_ONLY,2025-08,large_directional_wick,1,1,0,100.0,92.52,,92.52,2.0,2.03,0.957,100.0,100.0,100.0,0.0,0,0,92.52,92.52,0
BEST_ONLY,2025-08,route_to_retest_confirmation,5,2,3,40.0,51.26,1.368,10.25,0.2,1.132,1.273,80.0,40.0,40.0,80.0,0,51.26,0,96.18,-44.92
BEST_ONLY,2025-08,shallow_close_distance,2,2,0,100.0,182.94,,91.47,2.0,2.117,0.636,100.0,100.0,100.0,0.0,0,182.94,0,182.94,0
BEST_ONLY,2025-08,shallow_close_distance|weak_directional_close,1,0,1,0.0,-45.08,0.0,-45.08,-1.0,0.0,1.084,0.0,0.0,0.0,100.0,0,-45.08,0,-45.08,0
BEST_ONLY,2025-08,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,1,0,100.0,90.42,,90.42,2.0,2.26,0.309,100.0,100.0,100.0,0.0,0,90.42,0,90.42,0
BEST_ONLY,2025-08,sl_too_wide_for_router,2,0,2,0.0,-93.25,0.0,-46.62,-1.0,0.105,1.94,0.0,0.0,0.0,100.0,0,-93.25,0,-48.67,-44.58
BEST_ONLY,2025-08,weak_directional_close,3,1,2,33.33,0.7,1.008,0.23,0.0,1.008,0.961,66.67,33.33,33.33,100.0,0,0.7,0,91.49,-90.79
BEST_ONLY,2025-08,weak_directional_close|large_directional_wick,2,2,0,100.0,188.44,,94.22,2.0,2.109,0.472,100.0,100.0,100.0,100.0,0,91.42,97.02,188.44,0
BEST_ONLY,2025-08,weak_directional_close|large_directional_wick|sl_too_wide_for_router,1,0,1,0.0,-44.49,0.0,-44.49,-1.0,1.523,1.158,100.0,100.0,0.0,0.0,0,-44.49,0,0,-44.49
BEST_ONLY,2025-08,weak_directional_close|sl_too_wide_for_router,1,1,0,100.0,90.19,,90.19,2.0,2.051,0.764,100.0,100.0,100.0,100.0,0,90.19,0,90.19,0
BEST_ONLY,2025-10,instant_entry_quality,5,5,0,100.0,484.31,,96.86,2.0,2.125,0.479,100.0,100.0,100.0,80.0,0,293.51,190.8,190.8,293.51
BEST_ONLY,2025-10,route_to_retest_confirmation,7,4,3,57.14,251.46,2.77,35.92,0.714,1.428,0.83,71.43,71.43,57.14,71.43,0,153.88,97.58,54.18,197.28
BEST_ONLY,2025-10,shallow_close_distance,1,1,0,100.0,94.4,,94.4,2.0,2.093,0.107,100.0,100.0,100.0,0.0,0,94.4,0,0,94.4
